phu_name,HR_UID,HA_Name
Central Vancouver Island Health Service Delivery Area,5942,Vancouver Island
East Kootenay Health Service Delivery Area,5911,Interior
Fraser East Health Service Delivery Area,5921,Fraser
Fraser North Health Service Delivery Area,5922,Fraser
Fraser South Health Service Delivery Area,5923,Fraser
Kootenay-Boundary Health Service Delivery Area,5912,Interior
North Shore/Coast Garibaldi Health Service Delivery Area,5933,Vancouver Coastal
North Vancouver Island Health Service Delivery Area,5943,Vancouver Island
Northeast Health Service Delivery Area,5953,Northern
Northern Interior Health Service Delivery Area,5952,Northern
Northwest Health Service Delivery Area,5951,Northern
Okanagan Health Service Delivery Area,5913,Interior
Richmond Health Service Delivery Area,5931,Vancouver Coastal
South Vancouver Island Health Service Delivery Area,5941,Vancouver Island
Thompson/Cariboo Health Service Delivery Area,5914,Interior
Vancouver Health Service Delivery Area,5932,Vancouver Coastal
