GEO_NAME,GEO_CODE (POR),Population density per square kilometre,15 to 64 years,65 years and over,Median age of the population,Average household size,Median total income of households in 2015 ($),Median after-tax income of households in 2015 ($),Single-detached house prop,Married or living common law prop,Not married and not living common law prop,Owner prop,Renter prop,One person or fewer per room prop,More than 1 person per room prop,Suitable prop,Not suitable prop,"No certificate, diploma or degree prop",Secondary (high) school diploma or equivalency certificate prop,"Postsecondary certificate, diploma or degree prop",In the labour force prop,Employed prop,Unemployed prop,Not in the labour force prop,"Car, truck, van - as a driver prop",Non-movers prop,Movers prop
Central Vancouver Island Health Service Delivery Area,5942,22.2,60.8,25.5,50.3,2.2,62238.0,55443.0,0.6864571864148387,0.6023531928548508,0.3976254144828324,0.7472029157484319,0.2502119003220885,0.9929649093066621,0.006992710628920156,0.9715193897012079,0.028480610298792116,0.1681306826937895,0.2955991458071902,0.536314202056227,0.5610813904849966,0.9212116456093542,0.07882759161892804,0.4389186095150034,0.8131191051708612,0.848688352570829,0.1513307259372317
East Kootenay Health Service Delivery Area,5911,1.8,63.5,21.0,46.4,2.3,71383.0,62283.0,0.7049441786283892,0.6368081795954657,0.36319182040453435,0.7806152060359838,0.2188044109112014,0.9940510737086478,0.005948926291352292,0.9791062100986652,0.02089378990133488,0.16965643052599574,0.29515050167224083,0.5351930678017635,0.626149752945648,0.9210877746752458,0.07879082190117762,0.3739262637780312,0.7906810035842294,0.8623408518063724,0.13765914819362762
Fraser East Health Service Delivery Area,5921,26.1,63.9,18.0,41.2,2.7,69321.0,61172.0,0.5216508170990675,0.600961836157609,0.39901752358149806,0.7310924369747899,0.2666912919013759,0.978300013851055,0.02169998614894501,0.9527217323052772,0.04727826769472275,0.20751025962703865,0.33938633609049734,0.4531459312339195,0.6339492653469136,0.9328838800563494,0.06711611994365063,0.3660507346530864,0.8444680098974903,0.8453111305872042,0.15470639789658194
Fraser North Health Service Delivery Area,5922,226.4,70.3,14.7,40.9,2.5,73084.0,63682.0,0.30819336994428187,0.5770926732272229,0.4229165324176785,0.6793473903631845,0.3206325663433015,0.9687731745936303,0.031206782514581203,0.9297282129399503,0.0702717870600497,0.12882462686567164,0.29379664179104475,0.5773694029850747,0.6632742537313433,0.9416620958328059,0.058351968271380956,0.33671641791044776,0.6774608028104873,0.8458747562573922,0.1541332353035195
Fraser South Health Service Delivery Area,5923,937.8,66.9,15.7,40.3,2.9,79638.0,69572.0,0.40120225654305003,0.6036800641351773,0.3963199358648228,0.7346021529242037,0.2653053675137795,0.9569415159249806,0.04305848407501942,0.9283653312617911,0.07163466873820885,0.1745334022848009,0.3251610173475624,0.5003055803676367,0.6528763731528059,0.9401853007536844,0.059814699246315585,0.34712362684719417,0.7661130854432567,0.8507883470815496,0.14921165291845045
Kootenay-Boundary Health Service Delivery Area,5912,2.8,62.8,23.1,49.2,2.1,57982.0,51624.0,0.7652575587905935,0.5990065979687152,0.40099340203128475,0.7787721996923507,0.22122780030764927,0.9949657390574744,0.005034260942525521,0.9765067822682142,0.023493217731785764,0.16505886821116597,0.2767945309532852,0.5581466008355488,0.5883782757311052,0.9137619416473018,0.08623805835269817,0.4116217242688948,0.7923985946981795,0.8649198844234305,0.1351457840819543
North Shore/Coast Garibaldi Health Service Delivery Area,5933,5.5,65.2,19.7,45.2,2.4,77259.0,66984.0,0.4882214117142244,0.595511201291979,0.4044680939169324,0.7058243266426488,0.2898438840281352,0.9820723966375021,0.01788471435923829,0.9514496483101733,0.04855035168982673,0.10768548999746771,0.2538406347598548,0.6384738752426775,0.6426868128389642,0.9427023477261534,0.05729765227384666,0.3573342899951463,0.6939072152460936,0.849195336012543,0.15082268557732162
North Vancouver Island Health Service Delivery Area,5943,3.0,62.0,23.4,49.3,2.2,62649.0,55727.0,0.6735449245859165,0.607764198418404,0.392235801581596,0.747062632991026,0.25006938662225925,0.9943560325684678,0.005643967431532199,0.9764063656550703,0.02359363434492968,0.1771786465723932,0.3007290698243382,0.5220433527425747,0.5822283113959975,0.9117572905286159,0.08824270947138416,0.41777168860400254,0.7790072073901126,0.8493991091688378,0.1506008908311623
North West Health Service Delivery Area,5951,0.3,66.7,14.9,41.0,2.5,71843.0,62927.0,0.7139881985421729,0.5853031860226104,0.4146968139773895,0.7253778009379885,0.2607260726072607,0.9848879624804586,0.015112037519541427,0.9560535000868507,0.0441202014938336,0.24771996873099975,0.29123599409363327,0.46104403717536696,0.6615999305133328,0.8733097019824078,0.12669029801759224,0.3383132111526101,0.7682809493264914,0.863308324401572,0.13662022150768133
Northeast Health Service Delivery Area,5953,0.4,68.7,10.0,34.3,2.5,93963.0,79626.0,0.661345496009122,0.6078908002991773,0.3922026925953628,0.70321109633289,0.2812084362530876,0.9844195325859776,0.015580467414022421,0.9566787003610109,0.04332129963898917,0.2411646394023561,0.31299683938320083,0.4460300737477253,0.7287875885845624,0.8777923784494087,0.12207621550591327,0.271308178509864,0.8557581731559061,0.8284204884771457,0.1715795115228543
