phu_name,HR_UID,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Breast milk feeding initiation,Chronic obstructive pulmonary disease (COPD; 35 years and over),"Current smoker, daily","Current smoker, daily or occasional",Diabetes,"Exclusive breastfeeding, at least 6 months",Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Physical activity, 150 minutes per week, adult (18 years and over)","Physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
Central Vancouver Island Health Service Delivery Area,5942,60100.0,22200.0,48500.0,81400.0,3200.0,11900.0,10900.0,21700.0,29900.0,14200.0,6000.0,210800.0,46700.0,42500.0,82800.0,211800.0,27700.0,33000.0,135500.0,44500.0,23500.0,152300.0,143700.0,7300.0,160600.0
East Kootenay Health Service Delivery Area,5911,16200.0,5300.0,18200.0,21500.0,,2400.0,2400.0,8100.0,11800.0,5800.0,,56700.0,16600.0,12800.0,20300.0,60500.0,5500.0,9900.0,42500.0,11900.0,5700.0,44700.0,45500.0,2900.0,50400.0
Fraser East Health Service Delivery Area,5921,49700.0,26700.0,59100.0,83100.0,2200.0,12000.0,10200.0,22600.0,30300.0,17800.0,,218700.0,34800.0,48800.0,81000.0,217900.0,25700.0,35700.0,144300.0,55500.0,22900.0,157300.0,139000.0,10000.0,170300.0
Fraser North Health Service Delivery Area,5922,83700.0,41900.0,111000.0,169400.0,9200.0,24000.0,10700.0,36700.0,65600.0,31700.0,13400.0,480000.0,92400.0,86400.0,171300.0,512900.0,52200.0,65000.0,339500.0,117900.0,51300.0,361200.0,313200.0,24700.0,364400.0
Fraser South Health Service Delivery Area,5923,116700.0,39700.0,163500.0,221900.0,9700.0,29300.0,9000.0,40900.0,63100.0,44000.0,13900.0,590700.0,127700.0,112000.0,235000.0,623100.0,56800.0,74900.0,443300.0,167800.0,43700.0,474800.0,378800.0,31300.0,491700.0
Kootenay-Boundary Health Service Delivery Area,5912,21000.0,5600.0,16100.0,22000.0,,3400.0,3800.0,8100.0,11900.0,3300.0,,59500.0,18500.0,11700.0,18900.0,61800.0,8000.0,10100.0,41000.0,12000.0,8000.0,40100.0,43900.0,3200.0,51200.0
North Shore/Coast Garibaldi Health Service Delivery Area,5933,41100.0,15900.0,32700.0,71000.0,3400.0,8400.0,3900.0,14600.0,26500.0,11800.0,,204000.0,46800.0,34400.0,72900.0,220700.0,16900.0,25200.0,158700.0,48400.0,16200.0,163900.0,157600.0,11300.0,177100.0
North Vancouver Island Health Service Delivery Area,5943,27300.0,11400.0,26200.0,32900.0,1400.0,4300.0,5000.0,11300.0,15800.0,7600.0,1700.0,95700.0,21000.0,15100.0,38400.0,95400.0,9200.0,13400.0,65500.0,19200.0,7200.0,72600.0,67300.0,3100.0,77800.0
Northeast Health Service Delivery Area,5953,8500.0,4900.0,16500.0,15100.0,1000.0,3900.0,,8600.0,11300.0,3200.0,2000.0,41700.0,13400.0,9100.0,7800.0,46900.0,5900.0,6200.0,31700.0,12000.0,4100.0,35000.0,28700.0,1900.0,37500.0
Northern Interior Health Service Delivery Area,5952,26900.0,8300.0,31200.0,35000.0,2300.0,5900.0,4100.0,14000.0,18500.0,8100.0,2900.0,94400.0,23100.0,20100.0,35200.0,102700.0,13100.0,15600.0,65400.0,25800.0,9400.0,71100.0,71000.0,4200.0,82800.0
Northwest Health Service Delivery Area,5951,12000.0,4000.0,14700.0,13500.0,,2600.0,1800.0,4700.0,9100.0,3500.0,800.0,46900.0,11500.0,9100.0,13600.0,46200.0,5300.0,6300.0,30000.0,11300.0,4400.0,30100.0,29100.0,2200.0,40600.0
Okanagan Health Service Delivery Area,5913,69300.0,20400.0,70500.0,91800.0,4000.0,16100.0,12000.0,33800.0,49400.0,17400.0,,256500.0,73800.0,58500.0,102000.0,283100.0,26600.0,34400.0,196300.0,56400.0,23700.0,212600.0,185000.0,9400.0,215300.0
Richmond Health Service Delivery Area,5931,19800.0,9300.0,20400.0,55000.0,,5900.0,3500.0,9700.0,17000.0,13100.0,3900.0,168000.0,22800.0,35800.0,71000.0,176700.0,8300.0,23900.0,108400.0,28400.0,11400.0,125400.0,113000.0,5000.0,127400.0
South Vancouver Island Health Service Delivery Area,5941,58700.0,32500.0,59300.0,110800.0,2500.0,12900.0,7600.0,26900.0,45700.0,20200.0,5300.0,260200.0,68400.0,47000.0,129900.0,305800.0,42900.0,49300.0,213800.0,71200.0,34700.0,230000.0,228700.0,10700.0,225000.0
Thompson/Cariboo Health Service Delivery Area,5914,39700.0,18800.0,47800.0,59500.0,1500.0,7200.0,8900.0,26400.0,36300.0,16000.0,2500.0,145800.0,37100.0,36500.0,60900.0,166300.0,22900.0,23800.0,111800.0,38200.0,13700.0,119500.0,98300.0,6700.0,126100.0
Vancouver Health Service Delivery Area,5932,79800.0,37000.0,68100.0,172100.0,,21600.0,9000.0,38500.0,76700.0,23000.0,13900.0,454600.0,118800.0,89700.0,203000.0,520000.0,67800.0,83000.0,364600.0,144600.0,68400.0,373500.0,407900.0,20200.0,381500.0
