phu_name,HR_UID,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Breast milk feeding initiation,Chronic obstructive pulmonary disease (COPD; 35 years and over),"Current smoker, daily","Current smoker, daily or occasional",Diabetes,"Exclusive breastfeeding, at least 6 months",Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Physical activity, 150 minutes per week, adult (18 years and over)","Physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
Central Vancouver Island Health Service Delivery Area,5942,25.8,9.3,23.7,39.7,26.8,92.1,6.0,9.1,12.6,5.9,49.1,87.9,19.8,17.8,36.4,92.9,11.6,13.8,56.5,18.6,10.3,66.8,65.3,60.0,72.4
East Kootenay Health Service Delivery Area,5911,24.1,7.8,30.4,35.9,,100.0,4.8,11.9,17.3,8.5,,82.9,24.4,18.6,31.2,91.6,8.0,14.5,61.8,17.3,8.6,67.9,71.9,73.3,76.5
Fraser East Health Service Delivery Area,5921,20.6,10.6,28.1,39.5,17.1,95.1,6.1,9.1,12.1,7.1,44.5,87.4,14.0,19.5,34.8,91.9,10.2,14.3,57.5,22.2,9.6,66.1,61.8,59.4,72.5
Fraser North Health Service Delivery Area,5922,15.1,7.2,22.1,33.8,27.0,99.2,2.8,6.3,11.3,5.5,56.3,82.8,16.1,14.9,30.9,91.4,9.0,11.2,58.5,20.4,9.1,64.2,59.3,64.9,65.8
Fraser South Health Service Delivery Area,5923,17.2,5.6,26.7,36.3,24.8,97.7,1.9,5.7,8.8,6.2,49.4,83.0,18.0,15.7,34.8,91.2,8.0,10.5,62.1,23.7,6.4,69.3,59.0,61.6,73.2
Kootenay-Boundary Health Service Delivery Area,5912,31.0,8.0,26.2,35.7,,100.0,7.3,11.5,17.0,4.8,,86.2,26.6,16.7,28.8,91.9,11.4,14.5,58.8,17.2,11.9,59.4,67.9,80.1,76.5
North Shore/Coast Garibaldi Health Service Delivery Area,5933,17.7,6.6,15.6,33.9,21.4,93.6,2.3,6.0,11.0,4.8,39.1,84.6,19.5,14.3,31.8,95.4,7.0,10.4,65.4,20.0,7.0,70.8,71.7,73.9,77.2
North Vancouver Island Health Service Delivery Area,5943,26.4,10.7,28.0,35.3,23.0,100.0,6.3,10.6,14.8,7.1,45.2,89.7,19.8,14.2,38.4,93.6,8.7,12.6,61.4,18.0,7.0,70.5,68.6,48.9,76.1
Northeast Health Service Delivery Area,5953,16.6,9.2,37.6,34.4,29.5,97.7,,16.1,21.1,6.0,54.7,78.0,25.0,17.1,15.5,92.7,11.0,11.6,59.0,22.5,8.1,69.0,62.9,56.5,73.9
Northern Interior Health Service Delivery Area,5952,24.3,7.2,31.6,35.4,30.1,90.8,5.4,12.1,15.9,7.0,46.3,81.7,20.0,17.4,31.8,92.2,11.3,13.5,56.4,22.4,8.5,63.8,67.6,56.4,75.0
Northwest Health Service Delivery Area,5951,24.3,7.7,32.5,29.8,,100.0,5.2,9.1,17.8,6.8,37.7,90.5,22.7,17.6,27.6,93.6,10.2,12.3,58.6,21.8,8.8,60.5,62.0,68.7,82.0
Okanagan Health Service Delivery Area,5913,22.9,6.5,25.6,33.4,23.6,97.3,5.4,10.9,15.9,5.6,,82.8,24.1,18.9,34.0,93.6,8.6,11.1,63.2,18.2,7.8,70.1,64.5,57.1,71.7
Richmond Health Service Delivery Area,5931,10.7,4.8,12.1,32.8,,91.9,2.7,5.0,8.8,6.8,62.6,87.5,11.9,18.6,38.9,95.6,4.3,12.4,56.2,14.8,6.1,67.5,63.8,42.0,69.5
South Vancouver Island Health Service Delivery Area,5941,17.8,9.5,19.3,35.9,15.3,92.8,3.2,7.9,13.3,5.9,40.8,75.9,20.0,13.8,39.0,91.3,12.5,14.3,62.2,20.7,10.4,68.7,71.6,59.9,68.6
Thompson/Cariboo Health Service Delivery Area,5914,21.9,10.0,29.4,36.6,16.0,100.0,6.6,14.0,19.3,8.5,37.2,77.9,19.8,19.4,34.3,92.4,12.2,12.6,59.5,20.3,7.6,66.4,56.7,64.7,70.8
Vancouver Health Service Delivery Area,5932,13.5,6.1,12.9,32.7,,98.3,2.4,6.4,12.7,3.8,66.0,74.9,19.6,14.8,35.7,90.2,11.2,13.7,60.3,24.0,11.8,64.7,71.9,75.0,67.3
