HSDA_Name,amenity_dense,prox_idx_emp_HSDwt,prox_idx_pharma_HSDwt,prox_idx_childcare_HSDwt,prox_idx_health_HSDwt,prox_idx_grocery_HSDwt,prox_idx_educpri_HSDwt,prox_idx_educsec_HSDwt,prox_idx_lib_HSDwt,prox_idx_parks_HSDwt,prox_idx_transit_HSDwt,prox_idx_emp_HSDmed,prox_idx_pharma_HSDmed,prox_idx_childcare_HSDmed,prox_idx_health_HSDmed,prox_idx_grocery_HSDmed,prox_idx_educpri_HSDmed,prox_idx_educsec_HSDmed,prox_idx_lib_HSDmed,prox_idx_parks_HSDmed,prox_idx_transit_HSDmed,HSDPOP
Central Vancouver Island,0.0589010989010989,0.0028289902620659336,0.0034379369002523253,0.006786128767883539,0.0019287863397887235,0.0036770035041074852,0.01027987287123858,0.015564973251334184,0.005572496434586766,0.012972307354753783,0.0007704505004484998,0.0045,0.0237,0.0204,0.002,0.0399,0.0565,0.0846,0.0753,0.0447,0.0015,270229.0
East Kootenay,0.029567053854276663,0.0004089153963486718,0.0009610052569075443,0.0008617238765741341,0.0005448207098649094,0.0013075982647206238,0.003624548312615087,0.002900336274553516,0.002573708977274107,0.0020415337578309793,0.00013834745848583224,0.0016,0.0257,0.0163,0.0028,0.0417,0.05105,0.0557,0.0765,0.0303,0.0049,81058.0
Fraser East,0.09306378529104217,0.0029736871349458666,0.0030764700168484293,0.0043583785380835825,0.001182840966778412,0.002796979019830727,0.010081723558545691,0.004471834212373482,0.004083903851780069,0.006252365255923837,0.0006169266012079541,0.0101,0.0239,0.0304,0.0037,0.035,0.0683,0.0573,0.0745,0.0389,0.0027,300097.0
Fraser North,0.24532592218292068,0.022333637017515617,0.01623402579185889,0.026787096380651937,0.008499374977595175,0.023202523448458457,0.039968521767084625,0.04230149132311627,0.012323242102804324,0.014429070075361124,0.006613486896500673,0.058,0.0342,0.0682,0.0166,0.05945,0.1109,0.1198,0.0693,0.0359,0.013,648457.0
Fraser South,0.15786924939467312,0.020259332260985245,0.012018154385737707,0.022108992112344406,0.0055146969884443025,0.013356508501114181,0.04004382384197393,0.054236566065619704,0.011667749248643264,0.03375423552416894,0.0035476354957219764,0.0381,0.0226,0.0434,0.0068,0.0363,0.0811,0.11395,0.0707,0.06005,0.0056,780984.0
Kootenay Boundary,0.12726506531816267,0.00026445919783184686,0.0008883561727119077,0.001125403387604723,0.0002753517102175314,0.0014229147667627275,0.0037750325939076078,0.004460577651860582,0.002906975704197285,0.0013369129212382571,0.00013248150084642853,0.0014,0.021,0.02265,0.0016,0.04475,0.06905,0.08895,0.098,0.025750000000000002,0.0011,78456.0
North Shore/Coast Garibaldi,0.1478074210364919,0.008719157478320706,0.008582054455887021,0.013318758761776014,0.004652360908478002,0.010295819674177866,0.014671332895764725,0.02281330782237093,0.008049883978925365,0.011508226438179751,0.0028758076886033625,0.0071,0.0229,0.039650000000000005,0.0054,0.0443,0.0753,0.117,0.0745,0.0423,0.0066,283549.0
North Vancouver Island,0.0579185520361991,0.0010517656700718247,0.001174397041836333,0.0026755614638521974,0.0007327536605984758,0.0009317870948174059,0.005718909015816884,0.005316876633475514,0.0023419663011983675,0.0050582272959002585,0.0002468000335568306,0.0049,0.0163,0.0241,0.0026,0.04325,0.0542,0.0614,0.0898,0.04665,0.0022,120556.0
Northeast,0.06270096463022508,0.0012356632064590555,0.002302387543252595,0.00494366565743945,0.0013716144031141872,0.0024272642733564023,0.010464298587081883,0.00828001946366782,0.0037509796712802777,0.0019930756199538647,0.0003171626297577853,0.003,0.0247,0.0331,0.0078,0.0508,0.0659,0.0844,0.0729,0.0192,0.0025,66936.0
Northern Interior,0.01974483596597813,0.003627373486159171,0.002591176470588234,0.012913189878892733,0.0024282489907727824,0.004371248558246828,0.01852983383794693,0.02635078647635525,0.004504570717993081,0.026211172505767027,0.001190466767589389,0.0016,0.02325,0.0323,0.002,0.03665,0.0609,0.0911,0.0757,0.0714,0.0054,139244.0
Northwest,0.0,0.0008577678056516717,0.0014527050893886958,0.0036146691176470597,0.0010076816608996539,0.0028221658737024214,0.00872184292099192,0.006773589604959632,0.005090218425605539,0.001490340253748558,0.0,0.0012,0.0277,0.0296,0.0022,0.0442,0.0514,0.0709,0.0834,0.0208,,71260.0
Okanagan,0.04972129319955407,0.005883965418708421,0.007229428414321583,0.009338522418528755,0.002791490997326286,0.006588918746934823,0.01599946498705026,0.014152543135419075,0.00832972631925953,0.012436773493621054,0.0012398765687295739,0.0056,0.0248,0.0289,0.0024,0.05075,0.062,0.075,0.0745,0.0355,0.003,362545.0
Richmond,0.14823008849557523,0.007892667842632262,0.007984294706014545,0.011212385182833516,0.0023977328180011894,0.007392641535009646,0.019425449191508813,0.029461820862033895,0.003412118093580225,0.006331314186140251,0.002951105455219968,0.03775,0.0326,0.0555,0.0062,0.0422,0.1017,0.15250000000000002,0.0653,0.0302,0.0112,198492.0
South Vancouver Island,0.20404172099087353,0.018897831712495452,0.016150634159562728,0.021516569459412382,0.00997852143442543,0.0215334193764883,0.02757718690509227,0.0198503728034796,0.014811377314291985,0.03662590909970895,0.008075069081898024,0.0406,0.03155,0.0499,0.0134,0.0612,0.0702,0.0638,0.07,0.06964999999999999,0.0127,384020.0
Thompson Cariboo Shuswap,0.024084778420038536,0.0018687528118578238,0.002563125178168771,0.004509892470503355,0.002252720797547592,0.0027652746872673657,0.00919194508281217,0.011007277256950766,0.004365268202261916,0.005628323666622088,0.0007749612588476412,0.0004,0.0256,0.02305,0.0019,0.0429,0.0572,0.0859,0.0844,0.0283,0.006,218110.0
Vancouver,0.7516170763260026,0.10607405069612627,0.09535165684515427,0.07563419839336234,0.04108565922443359,0.1115815365078459,0.09043244800008565,0.11643391248747041,0.04989632290778611,0.04881284605671037,0.03542314312773553,0.1499,0.0743,0.1084,0.0354,0.1156,0.1454,0.19845000000000002,0.0787,0.0538,0.0416,639307.0
