name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,postal_code,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,outbreak,number_beds,CSDname,CSDuid,latitude,longitude,Report_Data_Extracted,Beds,Total_LTC_Resident_Deaths,outbreak_status,Total_LTC_Resident_Cases,Total_LTC_HCW_Cases
AFTON PARK PLACE LONG TERM CARE COMMUNITY,1200 Afton Drive,Erie St. Clair,For-Profit,No,Yes,Yes,Yes, N7S6L6,2010-09-16,70,37,12,31,17,5,29,14,6,6,3,1,afton park place long term care community,1,128,Sarnia,3538030,42.97632532,-82.36144406,2020-07-06,128,0,inactive,,
AFTON PARK PLACE LONG TERM CARE COMMUNITY,1200 Afton Drive,Erie St. Clair,For-Profit,No,Yes,Yes,Yes, N7S6L6,2010-09-16,70,37,12,31,17,5,29,14,6,6,3,1,afton park place long term care community,1,128,Sarnia,3538030,42.97632532,-82.36144406,2020-06-22,128,0,active,0,<5
"ALBRIGHT GARDENS HOMES, INCORPORATED",5050 Hillside Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No, L0R1B2,2010-11-03,40,26,16,18,10,6,13,8,7,7,7,3,albright gardens,1,231,Lincoln,3526057,43.15187669,-79.47659767,2020-04-27,231,0,inactive,,
"ALBRIGHT GARDENS HOMES, INCORPORATED",5050 Hillside Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No, L0R1B2,2010-11-03,40,26,16,18,10,6,13,8,7,7,7,3,albright gardens,1,231,Lincoln,3526057,43.15187669,-79.47659767,2020-04-24,231,0,active,<5,<5
ALEXANDER PLACE,329 Parkside Drive P. O.  Box 50,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes, L0R2H0,2010-08-17,28,17,8,11,6,3,8,5,2,4,4,2,alexander place,1,128,Hamilton,3525005,43.34234541,-79.90081952,2020-06-02,128,0,inactive,,
ALEXANDER PLACE,329 Parkside Drive P. O.  Box 50,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes, L0R2H0,2010-08-17,28,17,8,11,6,3,8,5,2,4,4,2,alexander place,1,128,Hamilton,3525005,43.34234541,-79.90081952,2020-05-19,128,0,active,<5,0
ALLENDALE,185 Ontario Street South,Mississauga Halton,Municipal,No,Yes,Yes,Yes, L9T2M4,2010-09-14,39,21,16,16,9,6,14,6,6,11,7,6,allendale,1,200,Milton,3524009,43.51655054,-79.87240973,2020-04-24,200,0,inactive,,
ALMONTE COUNTRY HAVEN,333 Country Street P.O. Box 250,Champlain,For-Profit,No,Yes,Yes,Yes, K0A1A0,2010-11-09,50,28,11,22,12,4,20,12,6,3,2,1,almonte country haven,1,82,Mississippi Mills,3509030,45.2188403,-76.19075728,2020-06-30,82,29,inactive,,
ALMONTE COUNTRY HAVEN,333 Country Street P.O. Box 250,Champlain,For-Profit,No,Yes,Yes,Yes, K0A1A0,2010-11-09,50,28,11,22,12,4,20,12,6,3,2,1,almonte country haven,1,82,Mississippi Mills,3509030,45.2188403,-76.19075728,2020-04-24,82,25,active,44,17
ALTAMONT CARE COMMUNITY,92 Island Road,Central East,For-Profit,Yes,Yes,Yes,Yes, M1C2P5,2010-09-16,37,23,16,13,6,6,14,9,5,10,10,6,altamont care community,1,159,Toronto,3520005,43.79854962,-79.14005432,2020-06-12,159,53,inactive,,
ALTAMONT CARE COMMUNITY,92 Island Road,Central East,For-Profit,Yes,Yes,Yes,Yes, M1C2P5,2010-09-16,37,23,16,13,6,6,14,9,5,10,10,6,altamont care community,1,159,Toronto,3520005,43.79854962,-79.14005432,2020-04-24,159,32,active,125,45
ANSON PLACE CARE CENTRE,85 Main Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,No,Yes, N0A1H0,2011-10-19,22,12,6,11,5,3,6,4,3,1,,,anson place care centre,1,61,Haldimand County,3528018,42.96738873,-80.04801284,2020-06-25,61,23,inactive,,
ANSON PLACE CARE CENTRE,85 Main Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,No,Yes, N0A1H0,2011-10-19,22,12,6,11,5,3,6,4,3,1,,,anson place care centre,1,61,Haldimand County,3528018,42.96738873,-80.04801284,2020-04-24,61,23,active,28,33
ARBOUR CREEK LONG-TERM CARE CENTRE,2717 King Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No, L8G1J3,2010-08-17,62,22,16,30,9,8,15,4,4,16,6,3,arbour creek long-term care centre,1,129,Hamilton,3525005,43.22141329,-79.77670807,2020-05-23,129,0,inactive,,
ARBOUR CREEK LONG-TERM CARE CENTRE,2717 King Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No, L8G1J3,2010-08-17,62,22,16,30,9,8,15,4,4,16,6,3,arbour creek long-term care centre,1,129,Hamilton,3525005,43.22141329,-79.77670807,2020-05-11,129,0,active,0,<5
AVALON RETIREMENT CENTRE,355 Broadway Avenue,Central West,For-Profit,Yes,Yes,Yes,Yes, L9W3Y3,2011-11-08,31,17,11,15,8,5,9,4,4,7,5,3,avalon retirement centre,1,137,Orangeville,3522014,43.9169995,-80.11650514,2020-05-15,137,0,inactive,,
AVALON RETIREMENT CENTRE,355 Broadway Avenue,Central West,For-Profit,Yes,Yes,Yes,Yes, L9W3Y3,2011-11-08,31,17,11,15,8,5,9,4,4,7,5,3,avalon retirement centre,1,137,Orangeville,3522014,43.9169995,-80.11650514,2020-05-07,137,0,active,0,<5
BANWELL GARDENS CARE CENTRE,3000 Banwell Road,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes, N8N2M4,2010-10-07,74,36,16,34,23,11,31,8,3,3,3,,banwell gardens care centre,1,142,Windsor,3537039,42.31060008,-82.89979807,2020-05-26,142,0,inactive,,
BANWELL GARDENS CARE CENTRE,3000 Banwell Road,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes, N8N2M4,2010-10-07,74,36,16,34,23,11,31,8,3,3,3,,banwell gardens care centre,1,142,Windsor,3537039,42.31060008,-82.89979807,2020-05-13,142,0,active,0,<5
BAY RIDGES,900 Sandy Beach Road,Central East,For-Profit,No,Yes,Yes,Yes, L1W1Z4,2010-09-10,56,29,15,29,14,9,19,8,4,6,6,1,bay ridges,1,124,Pickering,3518001,43.82847003,-79.0771309,2020-05-08,124,0,inactive,,
BAY RIDGES,900 Sandy Beach Road,Central East,For-Profit,No,Yes,Yes,Yes, L1W1Z4,2010-09-10,56,29,15,29,14,9,19,8,4,6,6,1,bay ridges,1,124,Pickering,3518001,43.82847003,-79.0771309,2020-04-24,124,0,active,0,<5
BELMONT HOUSE,55 Belmont Street,Toronto Central,Non-Profit,No,Yes,Yes,Yes, M5R1R1,2011-09-06,13,8,6,2,,,4,3,3,2,2,2,belmont house,1,140,Toronto,3520005,43.67461349,-79.39106979,2020-05-12,140,0,inactive,,
BELMONT HOUSE,55 Belmont Street,Toronto Central,Non-Profit,No,Yes,Yes,Yes, M5R1R1,2011-09-06,13,8,6,2,,,4,3,3,2,2,2,belmont house,1,140,Toronto,3520005,43.67461349,-79.39106979,2020-04-24,140,0,active,0,<5
BELMONT LONG TERM CARE FACILITY,250 Bridge Street West,South East,For-Profit,No,Yes,No,Yes, K8P5N3,2010-08-10,37,22,10,11,3,1,17,13,7,3,1,,belmont long term care facility,1,128,Belleville,3512005,44.16007616,-77.40393509,2020-05-05,128,0,inactive,,
BELMONT LONG TERM CARE FACILITY,250 Bridge Street West,South East,For-Profit,No,Yes,No,Yes, K8P5N3,2010-08-10,37,22,10,11,3,1,17,13,7,3,1,,belmont long term care facility,1,128,Belleville,3512005,44.16007616,-77.40393509,2020-04-29,128,0,active,12,0
BELVEDERE HEIGHTS,21 Belvedere Avenue,North East,Municipal,No,Yes,Yes,Yes, P2A2A2,2010-12-07,44,27,17,16,7,5,12,9,7,17,11,4,belvedere heights,1,101,Parry Sound,3549032,45.34272524,-80.03862375,2020-07-16,101,0,inactive,,
BELVEDERE HEIGHTS,21 Belvedere Avenue,North East,Municipal,No,Yes,Yes,Yes, P2A2A2,2010-12-07,44,27,17,16,7,5,12,9,7,17,11,4,belvedere heights,1,101,Parry Sound,3549032,45.34272524,-80.03862375,2020-07-03,101,0,active,0,<5
BENDALE ACRES,2920 Lawrence Avenue East,Central East,Municipal,Yes,Yes,Yes,Yes, M1P2T8,2010-07-23,37,19,12,17,8,6,13,6,5,6,4,2,bendale acres,1,302,Toronto,3520005,43.75493801,-79.25183955,2020-05-14,302,0,inactive,,
BENDALE ACRES,2920 Lawrence Avenue East,Central East,Municipal,Yes,Yes,Yes,Yes, M1P2T8,2010-07-23,37,19,12,17,8,6,13,6,5,6,4,2,bendale acres,1,302,Toronto,3520005,43.75493801,-79.25183955,2020-04-24,302,0,active,0,<5
BENNETT HEALTH CARE CENTRE,1 Princess Anne Drive,Mississauga Halton,Non-Profit,No,Yes,Yes,Yes, L7G2B8,2011-02-09,26,16,8,9,4,3,9,5,4,6,6,3,bennett health care centre,1,66,Halton Hills,3524015,43.64477486,-79.93394806,2020-06-03,0,0,inactive,,
BENNETT HEALTH CARE CENTRE,1 Princess Anne Drive,Mississauga Halton,Non-Profit,No,Yes,Yes,Yes, L7G2B8,2011-02-09,26,16,8,9,4,3,9,5,4,6,6,3,bennett health care centre,1,66,Halton Hills,3524015,43.64477486,-79.93394806,2020-05-17,66,0,active,<5,0
BERKSHIRE CARE CENTRE,350 Dougall Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes, N9A4P4,2010-09-09,175,75,28,94,34,9,61,28,14,12,8,4,berkshire care centre,1,231,Windsor,3537039,42.31631637,-83.04161991,2020-05-25,231,0,inactive,,
BERKSHIRE CARE CENTRE,350 Dougall Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes, N9A4P4,2010-09-09,175,75,28,94,34,9,61,28,14,12,8,4,berkshire care centre,1,231,Windsor,3537039,42.31631637,-83.04161991,2020-05-06,231,0,active,0,<5
BETHANY LODGE,23 Second Street,Central,Non-Profit,No,Yes,Yes,No, L3R2C2,2011-03-28,18,14,6,2,1,1,6,6,3,4,4,1,bethany lodge,1,128,Markham,3519036,43.86204073,-79.30139068,2020-05-20,128,<5,inactive,,
BETHANY LODGE,23 Second Street,Central,Non-Profit,No,Yes,Yes,No, L3R2C2,2011-03-28,18,14,6,2,1,1,6,6,3,4,4,1,bethany lodge,1,128,Markham,3519036,43.86204073,-79.30139068,2020-04-24,128,<5,active,<5,<5
BILLINGS COURT MANOR,3700 Billings Court,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes, L7N3N6,2010-08-10,26,18,10,8,5,4,6,5,4,8,7,4,billings court manor,1,160,Burlington,3524002,43.36439192,-79.78777539,2020-07-21,160,<5,inactive,,
BILLINGS COURT MANOR,3700 Billings Court,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes, L7N3N6,2010-08-10,26,18,10,8,5,4,6,5,4,8,7,4,billings court manor,1,160,Burlington,3524002,43.36439192,-79.78777539,2020-06-19,160,0,active,<5,0
BLACKADAR CONTINUING CARE CENTRE,101 Creighton Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No, L9H3B7,2010-08-24,32,20,10,10,3,1,5,4,3,11,9,6,blackadar continuing care centre,1,80,Hamilton,3525005,43.26120069,-79.96830854,2020-05-25,80,0,inactive,,
BLACKADAR CONTINUING CARE CENTRE,101 Creighton Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No, L9H3B7,2010-08-24,32,20,10,10,3,1,5,4,3,11,9,6,blackadar continuing care centre,1,80,Hamilton,3525005,43.26120069,-79.96830854,2020-05-11,80,0,active,<5,0
BLUE WATER REST HOME,37792 Zurich-Hensall RD,South West,Non-Profit,No,Yes,No,No, N0M2T0,2010-10-27,22,14,5,6,3,,9,6,4,1,1,,blue water rest home,1,65,Bluewater,3540010,43.41978964,-81.63774028,2020-05-14,65,0,inactive,,
BLUE WATER REST HOME,37792 Zurich-Hensall RD,South West,Non-Profit,No,Yes,No,No, N0M2T0,2010-10-27,22,14,5,6,3,,9,6,4,1,1,,blue water rest home,1,65,Bluewater,3540010,43.41978964,-81.63774028,2020-04-27,65,0,active,<5,0
BONNECHERE MANOR,470 Albert Street,Champlain,Municipal,Yes,Yes,Yes,Yes, K7V4L5,2010-09-23,45,20,13,15,6,5,22,9,6,3,1,1,bonnechere manor,1,180,Renfrew,3547048,45.48345932,-76.70256458,2020-05-15,180,0,inactive,,
BONNECHERE MANOR,470 Albert Street,Champlain,Municipal,Yes,Yes,Yes,Yes, K7V4L5,2010-09-23,45,20,13,15,6,5,22,9,6,3,1,1,bonnechere manor,1,180,Renfrew,3547048,45.48345932,-76.70256458,2020-05-11,180,0,active,0,<5
BRADFORD VALLEY CARE COMMUNITY,2656 6th Line,Central,For-Profit,No,Yes,Yes,Yes, L3Z3H5,2011-01-10,40,19,8,20,8,3,14,7,4,10,7,2,bradford valley care community,1,246,Bradford West Gwillimbury,3543014,44.09967975,-79.57244678,2020-05-20,246,12,inactive,,
