name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,outbreak,number_beds,CSDname,CSDuid,latitude,longitude
AFTON PARK PLACE LONG TERM CARE COMMUNITY,1200 Afton Drive,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Sarnia, N7S6L6,2010-09-16,70,37,12,31,17,5,29,14,6,6,3,1,afton park place long term care community,1,128,Sarnia,3538030,42.97632532,-82.36144406
"ALBRIGHT GARDENS HOMES, INCORPORATED",5050 Hillside Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,,Beamsville, L0R1B2,2010-11-03,40,26,16,18,10,6,13,8,7,7,7,3,albright gardens,1,231,Lincoln,3526057,43.15187669,-79.47659767
ALEXANDER PLACE,329 Parkside Drive P. O.  Box 50,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Waterdown, L0R2H0,2010-08-17,28,17,8,11,6,3,8,5,2,4,4,2,alexander place,1,128,Hamilton,3525005,43.34234541,-79.90081952
ALGOMA MANOR NURSING HOME,145 Dawson Street,North East,Non-Profit,Yes,Yes,Yes,Yes,,Thessalon, P0R1L0,2012-02-16,25,16,9,8,6,3,4,3,2,6,3,1,algoma manor nursing home,0,96,Thessalon,3557028,46.2634618,-83.56324898
ALGONQUIN NURSING HOME,207 Turcotte Park Road P.O. Box 270,North East,Non-Profit,Yes,Yes,Yes,Yes,,Mattawa, P0H1V0,2011-12-01,24,15,6,4,2,1,11,7,4,6,4,1,algonquin nursing home,0,73,Mattawa,3548021,46.31349257,-78.71984132
ALLENDALE,185 Ontario Street South,Mississauga Halton,Municipal,No,Yes,Yes,Yes,,Milton, L9T2M4,2010-09-14,39,21,16,16,9,6,14,6,6,11,7,6,allendale,1,200,Milton,3524009,43.51655054,-79.87240973
ALMONTE COUNTRY HAVEN,333 Country Street P.O. Box 250,Champlain,For-Profit,No,Yes,Yes,Yes,,Almonte, K0A1A0,2010-11-09,50,28,11,22,12,4,20,12,6,3,2,1,almonte country haven,1,82,Mississippi Mills,3509030,45.2188403,-76.19075728
ALTAMONT CARE COMMUNITY,92 Island Road,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1C2P5,2010-09-16,37,23,16,13,6,6,14,9,5,10,10,6,altamont care community,1,159,Toronto,3520005,43.79854962,-79.14005432
ANSON PLACE CARE CENTRE,85 Main Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,No,Yes,,Hagersville, N0A1H0,2011-10-19,22,12,6,11,5,3,6,4,3,1,,,anson place care centre,1,61,Haldimand County,3528018,42.96738873,-80.04801284
ARBOUR CREEK LONG-TERM CARE CENTRE,2717 King Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No,,Hamilton, L8G1J3,2010-08-17,62,22,16,30,9,8,15,4,4,16,6,3,arbour creek long-term care centre,1,129,Hamilton,3525005,43.22141329,-79.77670807
ARBOUR HEIGHTS,564 Tanner Drive,South East,For-Profit,No,Yes,Yes,Yes,,Kingston, K7M0C3,2010-12-22,70,33,13,29,11,4,23,14,7,13,7,2,arbour heights,0,174,Kingston,3510010,44.23937071,-76.55865852
