outbreak,cleaned_name,name,address,city,postal_code,LHIN,home_type,number_beds,short_stay,residents_council,family_council,accreditation,antipsychotic_percent,pressure_ulcers_percent,falls_percent,restraints_percent,depression_percent,pain_percent,first_inspection_date,last_inspection_date,last_rqi_date,3y_inspections,2y_inspections,1y_inspections,3y_withOrders,2y_withOrders,1y_withOrders,cum_resident_deaths,max_resident_cases,max_hcw_cases,date_first_outbreak,date_max_cases,date_max_HCWcases,date_first_resolved,CSDname,CSDuid,latitude,longitude
1.0,albright gardens,"ALBRIGHT GARDENS HOMES, INCORPORATED",5050 Hillside Drive,Beamsville, L0R1B2,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,231.0,No,Yes,Yes,No,26.0,3.8,19.5,5.4,34.8,2.3,2010-11-03,2020-11-12,2018-12-19,15.0,12.0,7.0,6.0,3.0,1.0,0.0,1.0,1.0,2020-04-24,2020-04-24,2020-04-24,2020-04-27,Lincoln,3526057.0,43.15187669,-79.47659767
0.0,atikokan general hospital,ATIKOKAN GENERAL HOSPITAL,120 Dorothy Street,Atikokan, P0T1C0,North West,Non-Profit,26.0,No,No,Yes,Yes,41.4,8.4,14.2,9.0,42.4,11.2,2011-08-16,2020-01-30,2018-06-27,3.0,2.0,1.0,1.0,1.0,0.0,,,,,,,,Atikokan,3559001.0,48.754155,-91.59760899999999
0.0,bella senior care residences,BELLA SENIOR CARE RESIDENCES INC.,8720 Willoughby Drive,Niagara Falls, L2G7X3,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,161.0,No,Yes,Yes,Yes,29.2,4.5,20.9,2.2,13.0,7.4,2010-09-29,2020-10-01,2018-10-01,26.0,12.0,5.0,6.0,3.0,1.0,,,,,,,,Niagara Falls,3526043.0,43.05084229,-79.04543772
1.0,berkshire care centre,BERKSHIRE CARE CENTRE,350 Dougall Avenue,Windsor, N9A4P4,Erie St. Clair,For-Profit,231.0,No,Yes,Yes,Yes,21.2,3.9,15.8,6.4,16.8,3.8,2010-09-09,2020-10-19,2018-10-03,26.0,21.0,13.0,3.0,2.0,1.0,0.0,0.0,1.0,2020-05-06,2020-05-06,2020-05-06,2020-05-25,Windsor,3537039.0,42.31631637,-83.04161991
1.0,centre d'accueil roger seguin,CENTRE D'ACCUEIL ROGER SEGUIN,435 Lemay Street,Clarence Creek, K0A1N0,Champlain,Non-Profit,113.0,Yes,Yes,Yes,No,11.5,1.3,16.3,6.1,30.0,0.3,2011-11-01,2020-10-13,2018-01-08,22.0,20.0,12.0,6.0,4.0,2.0,0.0,0.0,1.0,2020-04-24,2020-04-24,2020-04-24,2020-05-01,Clarence-Rockland,3502036.0,45.51025689,-75.21616879
1.0,copernicus lodge,COPERNICUS LODGE,66 Roncesvalles Avenue,Toronto, M6R3A7,Toronto Central,Non-Profit,228.0,Yes,Yes,Yes,No,29.8,2.1,10.5,4.9,23.0,2.1,2011-04-27,2020-01-29,2018-10-09,13.0,6.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,2020-04-24,2020-04-24,2020-04-24,2020-05-13,Toronto,3520005.0,43.64020808,-79.447311
1.0,elm grove living centre,ELM GROVE LIVING CENTRE,35 Elm Grove Avenue,Toronto, M6K2J2,Toronto Central,For-Profit,126.0,No,Yes,No,Yes,28.8,2.0,13.6,0.0,6.5,0.2,2011-06-27,2020-02-05,2018-08-24,5.0,4.0,3.0,1.0,1.0,1.0,18.0,44.0,44.0,2020-04-24,2020-04-30,2020-04-24,2020-05-22,Toronto,3520005.0,43.64031588,-79.4307008
0.0,fairview mennonite home,FAIRVIEW MENNONITE HOME,515 Langs Drive,Cambridge, N3H5E4,Waterloo Wellington,Non-Profit,84.0,No,Yes,Yes,Yes,16.1,3.1,21.6,2.9,47.0,2.8,2010-09-01,2020-11-12,2019-01-28,8.0,5.0,4.0,4.0,3.0,2.0,,,,,,,,Cambridge,3530010.0,43.398556400000004,-80.34314607
0.0,geraldton district hospital,GERALDTON DISTRICT HOSPITAL,500 Hogarth Avenue West,Geraldton, P0T1M0,North West,Non-Profit,19.0,No,Yes,Yes,Yes,62.8,1.4,5.2,8.8,7.5,48.0,2011-12-12,2020-06-04,2018-08-09,6.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,Greenstone,3558075.0,49.7226939,-86.9547123
0.0,grove park home for senior citizens,GROVE PARK HOME FOR SENIOR CITIZENS,234 Cook Street,Barrie, L4M4H5,North Simcoe Muskoka,Non-Profit,143.0,No,Yes,No,Yes,12.3,4.1,18.3,1.5,30.0,6.4,2012-02-01,2020-07-31,2017-12-27,9.0,8.0,6.0,1.0,0.0,0.0,,,,,,,,Barrie,3543042.0,44.406020700000006,-79.66946724
1.0,hellenic care for seniors (toronto),HELLENIC CARE FOR SENIORS (TORONTO),215 Tyrrel Avenue,Toronto, M6G4A9,Toronto Central,Non-Profit,81.0,No,Yes,No,Yes,8.7,0.6,3.8,0.2,8.4,0.6,2011-12-01,2020-01-20,2017-10-20,7.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,2020-05-16,2020-05-16,2020-05-16,2020-06-19,Toronto,3520005.0,43.67679399,-79.43034200000002
1.0,heritage green nursing home,HERITAGE GREEN NURSING HOME,353 Isaac Brock Drive,Stoney Creek, L8J2J3,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,167.0,No,Yes,Yes,Yes,28.9,3.3,13.1,9.3,17.9,0.9,2010-08-06,2020-01-20,2018-05-18,19.0,15.0,10.0,6.0,3.0,1.0,1.0,9.0,1.0,2020-04-24,2020-04-24,2020-04-24,2020-04-28,Hamilton,3525005.0,43.19352179,-79.78959737
0.0,highland wood,HIGHLAND WOOD,7199 Gelert Road P.O. Box 115,Haliburton, K0M1S0,Central East,Non-Profit,30.0,No,Yes,Yes,Yes,16.0,1.6,22.6,7.7,36.5,16.7,2011-08-19,2020-02-27,2017-10-06,6.0,5.0,4.0,1.0,1.0,1.0,,,,,,,,Dysart et al,3546024.0,45.03824146,-78.52941943
0.0,hornepayne community hospital,HORNEPAYNE COMMUNITY HOSPITAL,278 Front Street P.O. Box 190,Hornepayne, P0M1Z0,North East,Non-Profit,12.0,No,No,No,Yes,2.0,0.0,10.5,0.0,15.6,3.4,2011-06-14,2020-10-01,2018-06-21,5.0,4.0,2.0,4.0,3.0,2.0,,,,,,,,Hornepayne,3557096.0,49.212827000000004,-84.774059
1.0,idlewyld manor,IDLEWYLD MANOR,449 Sanatorium Road,Hamilton, L9C2A7,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,192.0,No,Yes,Yes,Yes,22.4,4.4,14.2,3.2,31.9,8.9,2010-08-17,2020-11-10,2017-04-12,12.0,10.0,6.0,8.0,6.0,5.0,0.0,1.0,0.0,2020-05-11,2020-05-11,2020-05-11,2020-05-21,Hamilton,3525005.0,43.23618909,-79.91485732
0.0,kemptville district hospital,KEMPTVILLE DISTRICT HOSPITAL,2675 Concession Road P. O. Bag 2007,Kemptville, K0G1J0,Champlain,Non-Profit,12.0,Yes,Yes,Yes,Yes,,,,,,,2011-10-19,2019-08-16,2019-02-11,6.0,4.0,2.0,3.0,1.0,0.0,,,,,,,,North Grenville,3507065.0,45.0099179,-75.64134820000002
0.0,sante manitouwadge health,SANTÉ MANITOUWADGE HEALTH,1 Health Care Crescent,Manitouwadge, P0T2C0,North West,Non-Profit,9.0,No,Yes,Yes,Yes,43.6,2.4,9.7,,19.7,3.9,2011-08-16,2020-11-06,2018-11-19,4.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,Manitouwadge,3558066.0,49.12743949,-85.82432229
1.0,maxville manor,MAXVILLE MANOR,80 Mechanic Street West,Maxville, K0C1T0,Champlain,Non-Profit,122.0,Yes,Yes,Yes,No,19.7,4.2,21.0,13.9,30.2,3.8,2010-09-17,2020-03-05,2017-11-10,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2020-05-21,2020-05-21,2020-05-21,2020-06-02,North Glengarry,3501050.0,45.28415857,-74.86345425
1.0,maynard nursing home,MAYNARD NURSING HOME,28 Halton Street,Toronto, M6J1R3,Toronto Central,For-Profit,77.0,No,Yes,Yes,Yes,27.6,2.7,15.0,0.8,28.2,2.3,2011-08-25,2020-01-03,2018-04-18,6.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2020-04-24,2020-04-24,2020-04-24,2020-06-02,Toronto,3520005.0,43.64880888,-79.4191815
0.0,mill creek care centre,MILL CREEK CARE CENTRE,286 Hurst Drive,Barrie, L4N0Z3,North Simcoe Muskoka,Non-Profit,160.0,Yes,Yes,Yes,Yes,13.2,1.4,20.2,0.0,7.8,3.6,2011-01-30,2020-10-09,2018-10-10,10.0,6.0,4.0,5.0,2.0,0.0,,,,,,,,Barrie,3543042.0,44.368993100000004,-79.65609964
0.0,nipigon district memorial hospital,NIPIGON DISTRICT MEMORIAL HOSPITAL,125 Hogan Road P O Box 37,Nipigon, P0T2J0,North West,Non-Profit,15.0,No,Yes,No,Yes,23.5,0.0,31.3,0.0,16.4,19.2,2011-10-03,2020-08-10,2018-10-12,6.0,4.0,3.0,2.0,2.0,2.0,,,,,,,,Nipigon,3558044.0,49.0155755,-88.2759054
1.0,nisbet lodge,NISBET LODGE,740 Pape Avenue,Toronto, M4K3S7,Toronto Central,Non-Profit,103.0,No,Yes,Yes,Yes,27.8,1.7,17.0,1.8,12.8,4.4,2011-07-07,2020-07-07,2018-06-14,6.0,5.0,2.0,2.0,2.0,1.0,8.0,44.0,25.0,2020-06-11,2020-07-04,2020-06-30,,Toronto,3520005.0,43.68025289,-79.34558197
0.0,north renfrew long-term care services inc.,NORTH RENFREW LONG-TERM CARE SERVICES,47 Ridge Road P.O. Box 1988,Deep River, K0J1P0,Champlain,Non-Profit,21.0,Yes,Yes,No,No,6.7,0.0,13.9,11.1,38.1,13.0,2011-11-23,2019-10-09,2018-06-04,7.0,5.0,3.0,1.0,0.0,0.0,,,,,,,,Deep River,3547096.0,46.10283609,-77.48846579
1.0,parkwood mennonite home,PARKWOOD MENNONITE HOME,726 New Hampshire Street,Waterloo, N2K4M1,Waterloo Wellington,Non-Profit,96.0,No,Yes,Yes,Yes,19.2,5.9,18.5,1.3,37.3,11.8,2010-09-01,2020-08-19,2017-11-08,8.0,7.0,7.0,3.0,3.0,3.0,0.0,0.0,1.0,2020-05-18,2020-05-18,2020-05-18,2020-06-05,Waterloo,3530016.0,43.51640151,-80.50225763
1.0,providence healthcare,PROVIDENCE HEALTHCARE,3276 St. Clair Avenue East,Scarborough, M1L1W1,Toronto Central,Non-Profit,288.0,No,Yes,Yes,Yes,19.8,4.8,17.6,2.5,14.0,4.8,2010-11-09,2020-02-28,2018-01-23,22.0,11.0,6.0,4.0,2.0,1.0,1.0,13.0,7.0,2020-04-24,2020-04-24,2020-05-01,2020-05-09,Toronto,3520005.0,43.71220510000001,-79.28502950000002
1.0,saint luke's place,SAINT LUKE'S PLACE,1624 Franklin Boulevard,Cambridge, N3C3P4,Waterloo Wellington,Non-Profit,114.0,No,Yes,Yes,Yes,5.7,0.9,11.7,2.6,35.8,3.4,2010-11-16,2020-09-29,2017-05-19,6.0,4.0,3.0,2.0,2.0,2.0,0.0,,,,,,2020-04-24,Cambridge,3530010.0,43.4253246,-80.31029116
1.0,shalom manor long term care home,SHALOM MANOR LONG TERM CARE HOME,12 Bartlett Avenue,Grimsby, L3M4N5,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,144.0,No,Yes,Yes,No,17.1,3.0,17.8,1.2,31.4,12.2,2010-09-01,2019-11-15,2017-06-21,11.0,9.0,9.0,2.0,2.0,2.0,0.0,,,,,,2020-04-24,Grimsby,3526065.0,43.1869815,-79.52455129
0.0,shalom village nursing home,SHALOM VILLAGE NURSING HOME,70 Macklin Street North,Hamilton, L8S3S1,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,127.0,No,Yes,Yes,Yes,22.5,0.6,19.2,0.0,20.3,6.3,2010-12-09,2020-10-19,2018-09-06,9.0,6.0,4.0,3.0,2.0,1.0,,,,,,,,Hamilton,3525005.0,43.26411849,-79.89518251
0.0,sherwood park manor,SHERWOOD PARK MANOR,1814 County Road  #2 East,Brockville, K6V5T1,South East,Non-Profit,107.0,No,Yes,Yes,No,14.7,1.3,16.7,13.3,26.3,7.6,2010-10-04,2020-08-31,2019-03-12,13.0,9.0,8.0,4.0,4.0,4.0,,,,,,,,Elizabethtown-Kitley,3507014.0,44.60514000000001,-75.662296
0.0,smooth rock falls hospital,SMOOTH ROCK FALLS HOSPITAL,107 Kelly Road P.O. Box 219,Smooth Rock Falls, P0L2B0,North East,Non-Profit,20.0,No,Yes,No,Yes,17.9,0.0,12.1,23.1,1.8,7.2,2011-05-04,2020-05-22,2018-10-12,5.0,4.0,3.0,1.0,1.0,0.0,,,,,,,,Smooth Rock Falls,3556048.0,49.272285,-81.610265
0.0,the west nipissing general hospital,THE WEST NIPISSING GENERAL HOSPITAL,725 Coursol,Sturgeon Falls, P2B2Y6,North East,Non-Profit,48.0,No,Yes,No,Yes,30.2,3.9,4.4,9.9,13.9,43.5,2011-09-22,2020-08-26,2017-10-20,5.0,4.0,4.0,2.0,1.0,1.0,,,,,,,,West Nipissing / Nipissing Ouest,3548055.0,46.37244272,-79.91782482
0.0,township of osgoode care centre,TOWNSHIP OF OSGOODE CARE CENTRE,7650 Snake Island Road,Metcalfe, K0A2P0,Champlain,Non-Profit,100.0,Yes,Yes,Yes,No,27.5,4.1,22.3,2.9,33.3,12.3,2011-05-13,2020-10-27,2018-02-08,5.0,5.0,3.0,0.0,0.0,0.0,,,,,,,,Ottawa,3506008.0,45.22188813,-75.50384886
1.0,vision nursing home,VISION '74 INC.,229 Wellington Street,Sarnia, N7T1G9,Erie St. Clair,Non-Profit,146.0,Yes,Yes,Yes,Yes,12.8,2.6,15.4,4.3,21.2,2.5,2010-06-09,2020-10-29,2018-06-11,4.0,3.0,2.0,0.0,0.0,0.0,10.0,16.0,20.0,2020-04-24,2020-05-22,2020-05-27,2020-06-22,Sarnia,3538030.0,42.96819132,-82.40364827
0.0,west lake terrace,WEST LAKE TERRACE,"1673 County Road, 12 R. R. #1",Picton, K0K2T0,South East,For-Profit,47.0,No,Yes,No,Yes,7.8,1.3,9.2,0.0,33.8,0.2,2010-08-16,2020-02-24,2017-10-20,4.0,3.0,2.0,0.0,0.0,0.0,,,,,,,,Prince Edward County,3513020.0,43.92704133,-77.25758022
0.0,wildwood care centre,WILDWOOD CARE CENTRE,100 Ann Street P.O. Box 2200,St. Marys, N4X1A1,South West,For-Profit,60.0,No,Yes,Yes,Yes,9.0,2.4,17.2,3.9,30.2,2.2,2011-07-28,2020-02-04,2018-01-02,6.0,5.0,2.0,0.0,0.0,0.0,,,,,,,,St. Marys,3531016.0,43.26076283,-81.15463991
0.0,brouillette manor,BROUILLETTE MANOR,11900 Brouillette Court,Tecumseh, N8N4X8,Erie St. Clair,For-Profit,60.0,No,Yes,Yes,Yes,28.2,5.2,33.0,0.4,27.9,4.7,2011-01-05,2020-07-08,2018-08-21,4.0,3.0,1.0,0.0,0.0,0.0,,,,,,,,Tecumseh,3537048.0,42.3064019,-82.8920717
0.0,arbour heights,ARBOUR HEIGHTS,564 Tanner Drive,Kingston, K7M0C3,South East,For-Profit,174.0,No,Yes,Yes,Yes,12.0,3.9,15.2,8.9,30.2,3.0,2010-12-22,2020-10-15,2018-04-06,18.0,11.0,3.0,2.0,2.0,0.0,,,,,,,,Kingston,3510010.0,44.23937071,-76.55865852
0.0,st. jacques nursing home,ST. JACQUES NURSING HOME,915 Notre Dame Street P. O. Box 870,Embrun, K0A1W0,Champlain,Non-Profit,60.0,No,Yes,Yes,Yes,11.9,9.4,16.7,14.5,33.9,0.0,2011-11-01,2019-12-19,2017-03-15,12.0,8.0,6.0,0.0,0.0,0.0,,,,,,,,Russell,3502048.0,45.27229585,-75.28638399
0.0,sandfield place,SANDFIELD PLACE,220 Emma Street,Cornwall, K6J5V8,Champlain,For-Profit,53.0,No,Yes,Yes,Yes,17.8,1.4,20.4,10.2,33.0,3.9,2011-05-10,2020-08-14,2018-08-02,13.0,10.0,4.0,3.0,2.0,0.0,,,,,,,,Cornwall,3501012.0,45.03749423,-74.75148549
1.0,cedarvale terrace,CEDARVALE TERRACE,429 Walmer Road,Toronto, M5P2X9,Toronto Central,For-Profit,218.0,Yes,Yes,Yes,Yes,19.1,1.2,10.7,0.9,10.3,1.2,2010-09-02,2020-09-25,2017-12-15,17.0,14.0,10.0,7.0,6.0,3.0,0.0,0.0,1.0,2020-04-24,2020-04-24,2020-04-24,2020-05-17,Toronto,3520005.0,43.68545859,-79.41242340000002
