name,address,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,last_rqi_date,first_inspection_date,last_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
AFTON PARK PLACE LONG TERM CARE COMMUNITY,1200 Afton Drive,Erie St. Clair,S & R Nursing Homes Ltd.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Sarnia, N7S6L6,128.0,2018-08-02,2010-09-16,2020-09-10,66.0,33.0,8.0,31.0,14.0,2.0,29.0,13.0,5.0,6.0,2.0,
"ALBRIGHT GARDENS HOMES, INCORPORATED",5050 Hillside Drive,Hamilton Niagara Haldimand Brant (Hnhb),"Albright Gardens Homes, Incorporated",,Non-Profit,Home with approximately 231 beds,No,Yes,Yes,No,,Beamsville, L0R1B2,231.0,2018-12-19,2010-11-03,2020-11-12,36.0,22.0,12.0,19.0,8.0,4.0,14.0,6.0,5.0,8.0,7.0,3.0
ALEXANDER PLACE,329 Parkside Drive P. O.  Box 50,Hamilton Niagara Haldimand Brant (Hnhb),Waterdown Long Term Care Centre Inc.,,For-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Waterdown, L0R2H0,128.0,2017-11-03,2010-08-17,2020-02-24,27.0,16.0,7.0,11.0,5.0,2.0,8.0,5.0,2.0,4.0,4.0,2.0
ALGOMA MANOR NURSING HOME,145 Dawson Street,North East,Algoma Manor Nursing Home,,,Home with approximately 96 beds,Yes,Yes,Yes,Yes,,Thessalon, P0R1L0,96.0,2018-01-16,2012-02-16,2020-07-29,20.0,11.0,4.0,8.0,4.0,1.0,4.0,1.0,,6.0,3.0,1.0
ALGONQUIN NURSING HOME,207 Turcotte Park Road P.O. Box 270,North East,Algonquin Nursing Home Of Mattawa,Hôpital De Mattawa Hospital,Non-Profit,Home with approximately 73 beds,Yes,Yes,Yes,Yes,,Mattawa, P0H1V0,73.0,2017-11-30,2011-12-01,2020-11-13,22.0,13.0,4.0,4.0,1.0,,13.0,6.0,3.0,6.0,3.0,
ALLENDALE,185 Ontario Street South,Mississauga Halton,The Regional Municipality Of Halton,,Municipal,Home with approximately 200 beds,No,Yes,Yes,Yes,,Milton, L9T2M4,200.0,2018-04-05,2010-09-14,2020-10-06,35.0,17.0,12.0,17.0,8.0,5.0,15.0,4.0,4.0,12.0,7.0,6.0
ALMONTE COUNTRY HAVEN,333 Country Street P.O. Box 250,Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 82 beds,No,Yes,Yes,Yes,,Almonte, K0A1A0,82.0,2017-12-22,2010-11-09,2020-11-02,47.0,25.0,8.0,23.0,12.0,4.0,21.0,10.0,4.0,3.0,2.0,1.0
ALTAMONT CARE COMMUNITY,92 Island Road,Central East,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 159 beds,Yes,Yes,Yes,Yes,,Scarborough, M1C2P5,159.0,2019-02-26,2010-09-16,2020-11-13,31.0,17.0,10.0,14.0,3.0,3.0,15.0,7.0,3.0,11.0,7.0,3.0
ANSON PLACE CARE CENTRE,85 Main Street North,Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,Home with approximately 61 beds,Yes,Yes,No,Yes,,Hagersville, N0A1H0,61.0,2017-06-19,2011-10-19,2020-11-17,20.0,10.0,4.0,12.0,4.0,2.0,7.0,3.0,2.0,1.0,,
ARBOUR CREEK LONG-TERM CARE CENTRE,2717 King Street East,Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Gp Inc.,,For-Profit,Home with approximately 129 beds,No,Yes,No,No,,Hamilton, L8G1J3,129.0,2018-02-08,2010-08-17,2020-09-15,59.0,19.0,13.0,30.0,7.0,6.0,15.0,3.0,3.0,16.0,6.0,3.0
ARBOUR HEIGHTS,564 Tanner Drive,South East,"Axr Operating (National) Lp, By Its General Partners",,For-Profit,Home with approximately 174 beds,No,Yes,Yes,Yes,,Kingston, K7M0C3,174.0,2018-04-06,2010-12-22,2020-10-15,68.0,31.0,11.0,30.0,11.0,4.0,24.0,12.0,5.0,13.0,7.0,2.0
ATIKOKAN GENERAL HOSPITAL,120 Dorothy Street,North West,Atikokan General Hospital,,Non-Profit,Home with approximately 26 beds,No,No,Yes,Yes,,Atikokan, P0T1C0,26.0,2018-06-27,2011-08-16,2020-01-30,9.0,5.0,2.0,1.0,,,2.0,,,3.0,2.0,1.0
AU CHATEAU,100 Michaud Street,North East,The Board Of Management Of The District Of Nipissing West,,Municipal,Home with approximately 162 beds,Yes,Yes,Yes,No,,Sturgeon Falls, P2B2Z4,162.0,2018-07-18,2011-02-10,2020-02-11,45.0,26.0,11.0,18.0,8.0,3.0,14.0,6.0,3.0,14.0,12.0,6.0
AVALON RETIREMENT CENTRE,355 Broadway Avenue,Central West,488491 Ontario Inc.,,For-Profit,Home with approximately 137 beds,Yes,Yes,Yes,Yes,,Orangeville, L9W3Y3,137.0,2018-01-15,2011-11-08,2020-07-16,29.0,15.0,9.0,15.0,7.0,4.0,9.0,3.0,3.0,7.0,5.0,3.0
BABCOCK COMMUNITY CARE CENTRE,196 Wellington Street P. O. Box 190,South West,Babcock Community Care Centre Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Wardsville, N0L2N0,60.0,2017-10-18,2010-09-17,2020-06-25,30.0,15.0,8.0,6.0,3.0,2.0,19.0,7.0,4.0,3.0,2.0,1.0
BANWELL GARDENS CARE CENTRE,3000 Banwell Road,Erie St. Clair,Rykka Care Centres Lp,,For-Profit,Home with approximately 142 beds,Yes,Yes,Yes,Yes,,Tecumseh, N8N2M4,142.0,2018-01-30,2010-10-07,2020-10-13,74.0,36.0,16.0,34.0,23.0,11.0,31.0,8.0,3.0,3.0,3.0,
BARNSWALLOW PLACE CARE COMMUNITY,120 Barnswallow Drive,Waterloo Wellington,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 96 beds,No,Yes,No,Yes,,Elmira, N3B2Y9,96.0,2017-11-14,2010-09-14,2020-08-28,16.0,8.0,2.0,3.0,1.0,1.0,10.0,2.0,1.0,1.0,1.0,
BAY HAVEN NURSING HOME,499 Hume Street,North Simcoe Muskoka,Bay Haven Nursing Home Incorporated,,For-Profit,Home with approximately 60 beds,No,Yes,No,No,,Collingwood, L9Y4H8,60.0,2017-12-12,2011-11-15,2020-09-11,13.0,9.0,5.0,5.0,3.0,2.0,4.0,3.0,3.0,,,
BAY RIDGES,900 Sandy Beach Road,Central East,Axr Operating (National) Lp,,For-Profit,Home with approximately 124 beds,No,Yes,Yes,Yes,,Pickering, L1W1Z4,124.0,2018-03-29,2010-09-10,2020-09-16,51.0,24.0,10.0,29.0,11.0,6.0,19.0,6.0,2.0,6.0,5.0,
BAYFIELD MANOR,100 Elvira Street P.O. Bag 3000,Champlain,"Cvh (No. 7) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 66 beds,No,Yes,Yes,No,,Kemptville, K0G1J0,66.0,2018-12-13,2011-04-11,2020-10-09,22.0,17.0,4.0,3.0,2.0,,8.0,7.0,3.0,5.0,4.0,
BAYWOODS PLACE,330 Main Street East,Hamilton Niagara Haldimand Brant (Hnhb),Baywoods Place Operating Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Hamilton, L8N3T9,128.0,2017-12-07,2010-08-05,2020-11-03,44.0,15.0,9.0,24.0,7.0,5.0,15.0,4.0,4.0,7.0,1.0,
