name,inspection_types,inspection_dates
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2020-09-10
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection  with Order(s) of the Inspector,2020-09-10
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2020-06-12
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2020-01-17
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2019-11-27
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2019-11-27
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2019-10-28
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2019-05-01
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2019-03-28
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2019-03-06
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Resident Quality Inspection,2018-08-02
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2018-02-02
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Resident Quality Inspection,2017-06-26
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2017-05-05
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2017-02-22
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2016-11-10
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2016-06-10
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2016-06-02
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2016-05-18
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2016-05-17
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2016-03-02
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2016-03-01
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Resident Quality Inspection,2016-02-25
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2016-02-12
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2016-02-11
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2016-02-10
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2015-11-09
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2015-09-17
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2015-08-20
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Follow-Up Inspection,2015-08-20
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Resident Quality Inspection with Order(s) of the Inspector,2015-06-09
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2015-05-19
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2015-05-07
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2015-03-20
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Follow-Up Inspection with Order(s) of the Inspector,2015-03-12
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2015-02-19
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2015-02-19
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Follow-Up Inspection with Order(s) of the Inspector,2014-12-18
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2014-12-18
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2014-11-03
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2014-11-03
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2014-11-03
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2014-07-30
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Resident Quality Inspection with Order(s) of the Inspector,2014-07-04
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2014-06-30
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2014-06-30
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2014-05-21
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2014-05-09
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2014-04-10
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2013-10-16
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2013-10-16
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2013-08-26
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2013-08-26
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2013-08-26
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2013-08-16
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2013-07-26
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2013-06-28
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2013-05-24
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2013-05-24
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2013-05-14
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2012-12-13
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2012-11-20
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Follow-Up Inspection,2012-03-14
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2012-02-28
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2011-10-05
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2011-06-24
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2011-05-13
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Critical Incident Inspection,2011-05-13
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Complaints Inspection,2011-03-28
AFTON PARK PLACE LONG TERM CARE COMMUNITY,Mandatory Inspection  with Order(s) of the Inspector,2010-09-16
