,1,2,3,4,5,6,Count
02-Sep-20,COVID-19 Visiting Policy,FAQs: COVID-19 Visiting Policy,Guide for visits,Limited visits during a COVID-19 outbreak,Visits with residents: a checklist for homes,,1
17-Jul-20,"Amendments to Emergency Order O. Reg. 95/20, under the Emergency Management and Civil Protection Act",Ontario Driving Development of New Long-Term Care Homes  (Modernized Funding Model),,,,,4
16-Jul-20,COVID-19 Testing for Long-Term Care Home Staff ,,,,,,5
15-Jul-20,Update to Visits at Long-Term Care Homes,FAQs: Update to Visits at Long-Term Care Homes,Compassionate care visits,Indoor visits with residents: a checklist for homes,Guide for indoor visits,,1
16-Jun-20,FAQs: Directive #3 Update: Long-Term Care Visitors and Admissions,Compassionate care visits,Outdoor visits with residents: a checklist for homes,Guide for outdoor visits,,,2
11-Jun-20,"News Release: Ontario to Resume Family Visits in Long-Term Care Homes, Retirement Homes, and Other Residential Care Settings",Resuming Visits in Long-Term Care Homes,COVID-19 Patient Screening Guidance Document,,,,3
19-May-20,Ontario Announces Independent Commission into Long-Term Care,,,,,,5
14-May-20,COVID-19 Provincial Testing Guidance - Updated,,,,,,5
13-May-20,News Release: Ontario Takes Steps to Better Protect Long-Term Care Residents and Staff During the COVID-19 Outbreak,,,,,,5
12-May-20,,Minister's Letter: Families and Caregivers of Long-Term Care Home  Residents (PDF),,,,,3
04-May-20,FAQs: Pandemic Pay Long-Term Care Eligibility Questions and Answers (PDF),,,,,,5
29-Apr-20,COVID-19: Infection Prevention and Control Checklist for Long-Term Care and Retirement Homes Checklist (PDF),,,,,,5
26-Apr-20,Regional COVID-19 staffing response in support of Long Term Care Homes (PDF),,,,,,5
25-Apr-20,Minister's Directive: COVID-19: Supporting Long-Term Care Homes,Memo: Minister's Directive: Supporting Long-Term Care Homes,News Release: Ontario Supporting Frontline Heroes of COVID-19 with Pandemic Pay,FAQs: Minister's Directive,,,2
24-Apr-20,COVID-19 Screening Tool for Long-Term  Care Homes and Retirement Homes,CMOH/MOH/OH Memo: Update on COVID-19 Preparations and Actions,,,,,4
23-Apr-20,News Release: Ontario Extends Emergency Orders to Help Stop the Spread of COVID-19,,,,,,5
15-Apr-20,COVID-19 Action Plan: Long-Term Care Homes,News Release: Ontario Taking Emergency Measures to Support Long-Term Care Homes During COVID-19,News Release: Ontario Ramping Up Protection for Long-Term Care Residents,COVID-19 Outbreak Guidance for Long-Term Care Homes (LTCH),,,2
08-Apr-20,CMOH/MOH/OH Memo: Follow-up on COVID-19  Preparations and Actions (PDF),COVID-19 Provincial Testing Guidance - Updated,"Directive: COVID-19: Directive #3 for Long-Term  Care Homes under the Long-Term Care Homes Act, 2007 (PDF)",Minister's Letter: Emergency Funding to the  Long-Term Care Home Sector,,,2
07-Apr-20,Memo: Office of the Chief Coroner for Ontario to  Long-Term Care Executive Directors and Administrators re Managing Resident  Deaths in Long-Term Care Orientation,,Who should be on the Managing Resident Death in  Long-Term Care Team,,,,2
06-Apr-20,CMOH Memo: Update on COVID-19 Preparations and  Actions (PDF),,,,,,5
03-Apr-20,Memo: Minister's Memo: Long-Term Care Capacity  During COVID-19,Temporary Emergency Long-Term Care Home Capacity  Form,Temporary Emergency Long-Term Care Home Capacity  Questions and Answers,,,,3
02-Apr-20,COVID-19 Outbreak Guidance for Long-Term Care Homes (LTCH),CMOH Memo to Stakeholders: Update on COVID-19  Preparations and Actions,MOH/MLTC/OH Memo: Hotels and Retirement Homes (PDF),COVID-19 Guidance: Use of Hotels and Retirement  Homes ,COVID-19 PPE Survey Guide,,1
01-Apr-20,"CMOH: COVID-19 Directive #3 for Long-Term Care  Homes under the Long-Term Care Homes Act, 2007",CMOH: COVID-19 Directive #1 for Health Care  Providers and Health Care Entities,CMOH: COVID-19 Directive #4 for Ambulance  Services and Paramedics under the Ambulance Act,Minister's Letter: 2020 Funding Increases,,,2
31-Mar-20,MOH/MLTC/OH Memo: Use of Alternate Health Facilities,COVID-19 Guidance:  Use of Alternate Health Facilities ,,,,,4
30-Mar-20,CMOH Directive: COVID-19 Directive #3 - More aggressive  screening,Minister's Order: PPE: Online Survey and How-to  Guide,News Release: Ontario Protecting Seniors During the COVID-19 Outbreak,,,,3
28-Mar-20,Order: Minister's Order: PPE: Supplies and  Equipment Data Collection Sheet,"Memo: Ministry of Health, Memo: Update on  COVID-19 Preparations: Supplies and Equipment","Order: Ministry of Health, Minister's Order:  Requirement to provide information respecting supplies of personal protective  equipment (PPE)",News Release: Ontario Taking Emergency Measures to Support  Long-Term Care Homes During COVID-19,,,2
27-Mar-20,Memo: CMOH Memo Regarding Non-Health Care  Settings,"Emergency Order issued – funds, resources and  flexibility to support staffing and protect residents",,,,,4
26-Mar-20,FAQs: Call for Applications LTC Development:  Deadline Extension FAQs,MOH ADM Letter: General approval under  subsection 4(2) of the Public Hospitals Act for COVID-19 capacity expansion,MOH ADM Letter: Hospital Classifications under  s. 32.1(1) of the Public Hospitals Act during the COVID-19 emergency,,,,3
24-Mar-20,"Memo: ADM Memo: Amendments to Ontario Regulation  79/10 under the Long-Term Care Homes Act, 2007 related to the COVID-19 Pandemic  – Admissions and Discharge","FAQs: Amendments to Ontario Regulation 79/10  under the Long-Term Care Homes Act, 2007 related to the COVID-19 Pandemic –  Admissions and Discharge",News Release: Ontario Implements Enhanced Measures to Protect  the Safety of Residents in Long-Term Care Homes,Statement: Two Deaths in Ontario Long-Term Care  Homes Related to COVID-19,Amendments to Ontario Regulation 79/10 – Admissions and Discharge,,1
