,LTC_Home,Beds
8914,Carleton Lodge,161.0
8915,Cawthra Gardens,192.0
8916,Columbia Forest,156.0
8917,Ã‰lisabeth-BruyÃ¨re Residence,71.0
8918,Extendicare Falconbridge,234.0
8919,Garden City Manor,200.0
8920,Hawthorn Woods Care Community,160.0
8921,Nisbet Lodge,103.0
8922,Pioneer Manor,433.0
8923,R. H. Lawson Eventide Home,101.0
8924,ReachView Village,100.0
8925,Rosebridge Manor,78.0
8926,Southlake Residential Care Village,224.0
8927,St. Patrick's Home,288.0
8928,The Meadows of Dorchester,121.0
8929,The Village of Riverside Glen,192.0
8930,Trillium Court,40.0
8931,Villa Colombo Homes for the Aged,391.0
8932,Villa Leonardo Gambin,168.0
19223,Afton Park Place Long Term Care Community,128.0
19224,"Albright Gardens Homes, Incorporated",231.0
19225,Alexander Place,128.0
19226,Allendale,200.0
19227,Almonte Country Haven,82.0
19228,Altamont Care Community,159.0
19229,Anson Place Care Centre,61.0
19230,Arbour Creek Long-Term Care Centre,129.0
19231,Avalon Retirement Centre,137.0
19232,Banwell Gardens Care Centre,142.0
19233,Bay Ridges,124.0
19234,Belmont House,140.0
19235,Belmont Long Term Care Facility,128.0
19236,Belvedere Heights,101.0
19237,Bendale Acres,302.0
19238,Bennett Health Care Centre,66.0
19239,Berkshire Care Centre,231.0
19240,Bethany Lodge,128.0
19241,Billings Court Manor,160.0
19242,Blackadar Continuing Care Centre,80.0
19243,Blue Water Rest Home,65.0
19244,Bonnechere Manor,180.0
19245,Bradford Valley Care Community,246.0
19246,Braemar Retirement Centre,69.0
19247,Brierwood Gardens,79.0
19248,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,144.0
19249,Burton Manor,128.0
19250,CAMA Woodlands Nursing Home,134.0
19251,Camilla Care Community,236.0
19252,Carefree Lodge,127.0
19253,Caressant Care Courtland,55.0
19254,Caressant Care Fergus Nursing Home,87.0
19255,Caressant Care Lindsay Nursing Home,124.0
19256,Caressant Care on Bonnie Place,116.0
19257,Carlingview Manor,303.0
19258,Case Manor Care Community,96.0
19259,Cassellholme,240.0
19260,Castleview Wychwood Towers,456.0
19261,Cedarvale Terrace,218.0
19262,Cedarwood Village,90.0
19263,Centre d'Accueil Champlain,160.0
19264,Centre d'Accueil Roger Seguin,113.0
19265,Chartwell Aurora Long Term Care Residence,235.0
19266,Chartwell Ballycliffe Long Term Care Residence,100.0
19267,Chartwell Brant Centre Long Term Care Residence,175.0
19268,Chartwell Elmira Long Term Care Residence,48.0
19269,Chartwell Gibson Long Term Care Residence,202.0
19270,Chartwell Pine Grove Long Term Care Residence,96.0
19271,Chartwell Royal Oak Long Term Care Residence,160.0
19272,Chartwell Trilogy Long Term Care Residence,197.0
19273,Chartwell Waterford Long Term Care Residence,168.0
19274,Chartwell Wenleigh Long Term Care Residence,161.0
19275,Chartwell Westbury Long Term Care Residence,187.0
19276,Chartwell Westmount Long Term Care Residence,160.0
19277,Chartwell White Eagle Long Term Care Residence,56.0
19278,Chartwell Woodhaven Long Term Care Residence,192.0
19279,Chartwell Wynfield Long Term Care Residence,172.0
19280,Chelsey Park,247.0
19281,Chester Village,203.0
19282,Collingwood Nursing Home,64.0
19283,Cooksville Care Centre,192.0
19284,Copernicus Lodge,228.0
19285,Country Terrace,120.0
19286,Country Village Homes - Woodslee,104.0
19287,Craiglee Nursing Home,169.0
19288,Creedan Valley Care Community,95.0
19289,Creek Way Village,144.0
19290,Crescent Park Lodge,68.0
19291,Cummer Lodge,391.0
19292,Deerwood Creek Care Community,160.0
19293,Delhi Long Term Care Centre,60.0
19294,Dom Lipa,66.0
19295,Douglas H. Rapelje Lodge,120.0
19296,Downsview Long Term Care Centre,252.0
