index,name,address,city_and_postal_code,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
0,AFTON PARK PLACE LONG TERM CARE COMMUNITY,1200 Afton Drive,"Sarnia, N7S6L6",Erie St. Clair,S & R Nursing Homes Ltd.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Sarnia, N7S6L6,128,2010-09-16,68,35,10,30,16,4,28,13,5,5,2,
1,"ALBRIGHT GARDENS HOMES, INCORPORATED",5050 Hillside Drive,"Beamsville, L0R1B2",Hamilton Niagara Haldimand Brant (Hnhb),"Albright Gardens Homes, Incorporated",,Non-Profit,Home with approximately 231 beds,No,Yes,Yes,No,,Beamsville, L0R1B2,231,2010-11-03,40,26,16,18,10,6,13,8,7,7,7,3
2,ALEXANDER PLACE,329 Parkside Drive P. O.  Box 50,"Waterdown, L0R2H0",Hamilton Niagara Haldimand Brant (Hnhb),Waterdown Long Term Care Centre Inc.,,For-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Waterdown, L0R2H0,128,2010-08-17,28,17,8,11,6,3,8,5,2,4,4,2
4,ALGOMA MANOR NURSING HOME,145 Dawson Street,"Thessalon, P0R1L0",North East,Algoma Manor Nursing Home,,,Home with approximately 96 beds,Yes,Yes,Yes,Yes,,Thessalon, P0R1L0,96,2012-02-16,25,16,9,8,6,3,4,3,2,6,3,1
5,ALGONQUIN NURSING HOME,207 Turcotte Park Road P.O. Box 270,"Mattawa, P0H1V0",North East,Algonquin Nursing Home Of Mattawa,Hôpital De Mattawa Hospital,Non-Profit,Home with approximately 73 beds,Yes,Yes,Yes,Yes,,Mattawa, P0H1V0,73,2011-12-01,24,15,6,4,2,1,11,7,4,6,4,1
6,ALLENDALE,185 Ontario Street South,"Milton, L9T2M4",Mississauga Halton,The Regional Municipality Of Halton,,Municipal,Home with approximately 200 beds,No,Yes,Yes,Yes,,Milton, L9T2M4,200,2010-09-14,39,21,16,16,9,6,14,6,6,11,7,6
7,ALMONTE COUNTRY HAVEN,333 Country Street P.O. Box 250,"Almonte, K0A1A0",Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 82 beds,No,Yes,Yes,Yes,,Almonte, K0A1A0,82,2010-11-09,50,28,11,22,12,4,20,12,6,3,2,1
8,ALTAMONT CARE COMMUNITY,92 Island Road,"Scarborough, M1C2P5",Central East,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 159 beds,Yes,Yes,Yes,Yes,,Scarborough, M1C2P5,159,2010-09-16,36,22,15,13,6,6,14,9,5,10,10,6
9,ANSON PLACE CARE CENTRE,85 Main Street North,"Hagersville, N0A1H0",Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,Home with approximately 61 beds,Yes,Yes,No,Yes,,Hagersville, N0A1H0,61,2011-10-19,22,12,6,11,5,3,6,4,3,1,,
10,ARBOUR CREEK LONG-TERM CARE CENTRE,2717 King Street East,"Hamilton, L8G1J3",Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Gp Inc.,,For-Profit,Home with approximately 129 beds,No,Yes,No,No,,Hamilton, L8G1J3,129,2010-08-17,60,20,14,29,8,7,14,3,3,16,6,3
11,ARBOUR HEIGHTS,564 Tanner Drive,"Kingston, K7M0C3",South East,"Axr Operating (National) Lp, By Its General Partners",,For-Profit,Home with approximately 174 beds,No,Yes,Yes,Yes,,Kingston, K7M0C3,174,2010-12-22,70,33,13,29,11,4,23,14,7,13,7,2
12,ATIKOKAN GENERAL HOSPITAL,120 Dorothy Street,"Atikokan, P0T1C0",North West,Atikokan General Hospital,,Non-Profit,Home with approximately 26 beds,No,No,Yes,Yes,,Atikokan, P0T1C0,26,2011-08-16,11,7,4,1,,,2,1,1,3,2,1
13,AU CHATEAU,100 Michaud Street,"Sturgeon Falls, P2B2Z4",North East,The Board Of Management Of The District Of Nipissing West,,Municipal,Home with approximately 162 beds,Yes,Yes,Yes,No,,Sturgeon Falls, P2B2Z4,162,2011-02-10,47,28,13,18,9,4,14,7,4,14,12,6
14,AVALON RETIREMENT CENTRE,355 Broadway Avenue,"Orangeville, L9W3Y3",Central West,488491 Ontario Inc.,,For-Profit,Home with approximately 137 beds,Yes,Yes,Yes,Yes,,Orangeville, L9W3Y3,137,2011-11-08,31,17,11,15,8,5,9,4,4,7,5,3
15,BABCOCK COMMUNITY CARE CENTRE,196 Wellington Street P. O. Box 190,"Wardsville, N0L2N0",South West,Babcock Community Care Centre Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Wardsville, N0L2N0,60,2010-09-17,33,18,11,6,4,3,19,9,6,3,2,1
16,BANWELL GARDENS CARE CENTRE,3000 Banwell Road,"Tecumseh, N8N2M4",Erie St. Clair,Rykka Care Centres Lp,,For-Profit,Home with approximately 142 beds,Yes,Yes,Yes,Yes,,Tecumseh, N8N2M4,142,2010-10-07,74,36,16,34,23,11,31,8,3,3,3,
17,BARNSWALLOW PLACE CARE COMMUNITY,120 Barnswallow Drive,"Elmira, N3B2Y9",Waterloo Wellington,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 96 beds,No,Yes,No,Yes,,Elmira, N3B2Y9,96,2010-09-14,18,10,4,3,1,1,10,4,3,1,1,
18,BAY HAVEN NURSING HOME,499 Hume Street,"Collingwood, L9Y4H8",North Simcoe Muskoka,Bay Haven Nursing Home Incorporated,,For-Profit,Home with approximately 60 beds,No,Yes,No,No,,Collingwood, L9Y4H8,60,2011-11-15,14,10,6,4,3,2,4,4,4,,,
19,BAY RIDGES,900 Sandy Beach Road,"Pickering, L1W1Z4",Central East,Axr Operating (National) Lp,,For-Profit,Home with approximately 124 beds,No,Yes,Yes,Yes,,Pickering, L1W1Z4,124,2010-09-10,54,27,13,28,13,8,18,7,3,5,5,
20,BAYFIELD MANOR,100 Elvira Street P.O. Bag 3000,"Kemptville, K0G1J0",Champlain,"Cvh (No. 7) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 66 beds,No,Yes,Yes,No,,Kemptville, K0G1J0,66,2011-04-11,22,17,4,3,2,,7,7,3,5,4,
21,BAYWOODS PLACE,330 Main Street East,"Hamilton, L8N3T9",Hamilton Niagara Haldimand Brant (Hnhb),Baywoods Place Operating Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Hamilton, L8N3T9,128,2010-08-05,47,18,12,23,9,7,14,5,5,7,1,
22,BELLA SENIOR CARE RESIDENCES INC.,8720 Willoughby Drive,"Niagara Falls, L2G7X3",Hamilton Niagara Haldimand Brant (Hnhb),Bella Senior Care Residences Inc.,Extendicare (Canada) Inc.,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,,Niagara Falls, L2G7X3,161,2010-09-29,67,46,13,35,22,5,12,8,4,18,12,3
23,BELMONT HOUSE,55 Belmont Street,"Toronto, M5R1R1",Toronto Central,Toronto Aged Men's And Women's Homes,,Non-Profit,Home with approximately 140 beds,No,Yes,Yes,Yes,,Toronto, M5R1R1,140,2011-09-06,13,8,6,2,,,4,3,3,2,2,2
24,BELMONT LONG TERM CARE FACILITY,250 Bridge Street West,"Belleville, K8P5N3",South East,Belcrest Nursing Homes Limited,,For-Profit,Home with approximately 128 beds,No,Yes,No,Yes,,Belleville, K8P5N3,128,2010-08-10,37,22,10,11,3,1,17,13,7,3,1,
25,BELVEDERE HEIGHTS,21 Belvedere Avenue,"Parry Sound, P2A2A2",North East,Board Of Management Of The District Of Parry Sound West,,Municipal,Home with approximately 101 beds,No,Yes,Yes,Yes,,Parry Sound, P2A2A2,101,2010-12-07,44,27,17,16,7,5,12,9,7,17,11,4
26,BENDALE ACRES,2920 Lawrence Avenue East,"Scarborough, M1P2T8",Central East,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 302 beds,Yes,Yes,Yes,Yes,"pavillon omer deslauriers, 37 beds, long term care services provided in french and english. ",Scarborough, M1P2T8,302,2010-07-23,37,19,12,17,8,6,13,6,5,6,4,2
27,BENNETT HEALTH CARE CENTRE,1 Princess Anne Drive,"Georgetown, L7G2B8",Mississauga Halton,Bennett Centre Long Term Care At Bennett Village,,Non-Profit,Home with approximately 66 beds,No,Yes,Yes,Yes,,Georgetown, L7G2B8,66,2011-02-09,26,16,8,9,4,3,9,5,4,6,6,3
28,BERKSHIRE CARE CENTRE,350 Dougall Avenue,"Windsor, N9A4P4",Erie St. Clair,Rykka Care Centres Lp,,For-Profit,Home with approximately 231 beds,No,Yes,Yes,Yes,,Windsor, N9A4P4,231,2010-09-09,174,74,27,94,34,9,60,27,13,12,8,4
29,BETHAMMI NURSING HOME,63 Carrie Street,"Thunder Bay, P7A4J2",North West,St. Joseph's Care Group,,Non-Profit,Home with approximately 110 beds,No,Yes,Yes,Yes,,Thunder Bay, P7A4J2,110,2011-12-01,38,32,22,8,6,4,11,8,6,16,15,10
30,BETHANY LODGE,23 Second Street,"Markham, L3R2C2",Central,Bethany Lodge,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,No,,Markham, L3R2C2,128,2011-03-28,18,14,6,2,1,1,6,6,3,4,4,1
31,BILLINGS COURT MANOR,3700 Billings Court,"Burlington, L7N3N6",Hamilton Niagara Haldimand Brant (Hnhb),Maryban Holdings Ltd.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Burlington, L7N3N6,160,2010-08-10,26,18,10,8,5,4,6,5,4,8,7,4
32,BIRCHWOOD TERRACE,237 Lakeview Drive R. R. #1,"Kenora, P9N4J7",North West,Southbridge Capital,Extendicare Assist,For-Profit,Home with approximately 96 beds,Yes,Yes,Yes,Yes,,Kenora, P9N4J7,96,2010-07-14,56,34,17,20,11,6,20,10,6,22,19,8
33,BLACKADAR CONTINUING CARE CENTRE,101 Creighton Road,"Dundas, L9H3B7",Hamilton Niagara Haldimand Brant (Hnhb),Blackadar Continuing Care Centre Inc.,,For-Profit,Home with approximately 80 beds,No,Yes,No,No,,Dundas, L9H3B7,80,2010-08-24,32,20,10,10,3,1,5,4,3,11,9,6
34,BLENHEIM COMMUNITY VILLAGE,10 Mary Avenue,"Blenheim, N0P1A0",Erie St. Clair,Revera Long Term Care Inc.,,For-Profit,Home with approximately 65 beds,No,Yes,Yes,Yes,,Blenheim, N0P1A0,65,2011-06-21,34,12,6,7,3,1,16,5,4,4,,
35,BLOOMINGTON COVE CARE COMMUNITY,13621 Ninth  Line RR #2,"Stouffville, L4A7X3",Central,Specialty Care Inc.,,For-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Stouffville, L4A7X3,112,2010-09-10,39,18,11,18,9,6,13,4,3,6,3,1
36,BLUE WATER REST HOME,37792 Zurich-Hensall RD,"Zurich, N0M2T0",South West,Blue Water Rest Home,,Non-Profit,Home with approximately 65 beds,No,Yes,No,No,,Zurich, N0M2T0,65,2010-10-27,22,14,5,6,3,,9,6,4,1,1,
37,BOB RUMBALL HOME FOR THE DEAF,1 Royal Parkside Drive,"Barrie, L4M0C4",North Simcoe Muskoka,The Ontario Mission Of The Deaf,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,,Barrie, L4M0C4,64,2010-12-02,36,18,8,12,5,,9,6,4,16,10,4
38,BOBIER VILLA,1 Bobier Lane,"Dutton, N0L1J0",South West,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Home with approximately 57 beds,Yes,Yes,Yes,No,,Dutton, N0L1J0,57,2010-11-18,19,8,2,4,3,1,10,1,,,,
39,BON AIR LONG TERM CARE RESIDENCE,131 Laidlaw Street South,"Cannington, L0E1E0",Central East,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 57 beds,Yes,Yes,Yes,Yes,,Cannington, L0E1E0,57,2010-11-24,22,12,6,7,2,2,8,6,4,3,1,1
40,BONNECHERE MANOR,470 Albert Street,"Renfrew, K7V4L5",Champlain,County Of Renfrew,,Municipal,Home with approximately 180 beds,Yes,Yes,Yes,Yes,,Renfrew, K7V4L5,180,2010-09-23,45,20,13,15,6,5,22,9,6,3,1,1
42,BRADFORD VALLEY CARE COMMUNITY,2656 6th Line,"Bradford, L3Z3H5",Central,Specialty Care - Bradford Inc.,,For-Profit,Home with approximately 246 beds,No,Yes,Yes,Yes,,Bradford, L3Z3H5,246,2011-01-10,40,19,8,20,8,3,14,7,4,10,7,2
43,BRAEMAR RETIREMENT CENTRE,"719 Josephine Street North,  R.R. #1 P.O. Box 1060","Wingham, N0G2W0",South West,Macgowan Nursing Homes Ltd.,,For-Profit,Home with approximately 69 beds,No,Yes,No,Yes,,Wingham, N0G2W0,69,2010-08-24,39,14,6,18,7,2,10,3,3,13,6,1
44,BRIERWOOD GARDENS,425 Park Road North,"Brantford, N3R7G5",Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 79 beds,No,Yes,Yes,Yes,,Brantford, N3R7G5,79,2010-11-08,55,15,9,20,3,1,13,5,4,26,7,4
45,BROADVIEW NURSING CENTRE,210 Brockville Street,"Smiths Falls, K7A3Z4",South East,Broadview Nursing Centre Limited,,For-Profit,Home with approximately 75 beds,No,Yes,No,No,,Smiths Falls, K7A3Z4,75,2011-04-12,33,20,12,14,8,6,11,8,5,3,1,1
46,BROUILLETTE MANOR,11900 Brouillette Court,"Tecumseh, N8N4X8",Erie St. Clair,1230839 Ontario Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Tecumseh, N8N4X8,60,2011-01-05,34,14,5,8,2,1,15,7,3,3,,
47,BRUCELEA HAVEN LONG TERM CARE HOME - CORPORATION OF THE COUNTY OF BRUCE,41 McGivern Street West P.O. Box 1600,"Walkerton, N0G2V0",South West,Corporation Of The County Of Bruce,,Municipal,Home with approximately 144 beds,No,Yes,No,No,,Walkerton, N0G2V0,144,2010-09-08,79,28,17,33,6,2,22,6,2,14,11,9
48,BURLOAK,5959 New Street,"Burlington, L7L6W5",Hamilton Niagara Haldimand Brant (Hnhb),Axr Operating (National) Lp,,For-Profit,Home with approximately 144 beds,No,Yes,Yes,Yes,,Burlington, L7L6W5,144,2010-12-01,24,11,8,12,4,4,7,4,4,1,1,1
49,BURNBRAE GARDENS LONG TERM CARE RESIDENCE,320 Burnbrae Road East P.O. Box 1090,"Campbellford, K0L1L0",Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 43 beds,No,Yes,Yes,Yes,,Campbellford, K0L1L0,43,2011-11-03,28,16,5,7,6,4,7,4,1,6,1,
50,BURTON MANOR,5 Sterritt Drive,"Brampton, L6Y5P3",Central West,1245556 Ontario Inc.,Primacare Living Solutions Inc.,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Brampton, L6Y5P3,128,2010-09-22,27,9,6,11,2,1,8,3,3,6,3,2
51,CAMA WOODLANDS NURSING HOME,159 Panin Road,"Burlington, L7P5A6",Hamilton Niagara Haldimand Brant (Hnhb),The Central Canadian District Of The Christian And Missionary Alliance In Canada,,Non-Profit,Home with approximately 134 beds,No,Yes,Yes,No,,Burlington, L7P5A6,134,2010-12-08,17,11,3,1,1,,5,4,2,6,5,2
52,CAMBRIDGE COUNTRY MANOR,3680 Speedsville Road R R 31,"Cambridge, N3H4R6",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,,Cambridge, N3H4R6,80,2010-09-15,35,19,8,15,6,3,11,5,3,6,5,2
