6, Population density per square kilometre
36, 15 to 64 years
37, 65 years and over
40, Median age of the population (6)
58, Average household size
742, Median total income of households in 2015 ($)
743, Median after-tax income of households in 2015 ($)
41, Total - Occupied private dwellings by structural type of dwelling - 100% data (7)
42, Single-detached house
59, Total - Marital status for the population aged 15 years and over - 100% data (11)
60, Married or living common law
63, Not married and not living common law
1617, Total - Private households by tenure - 25% sample data (156)
1618, Owner
1619, Renter
1640, Total - Private households by housing suitability - 25% sample data (161)
1641, Suitable
1642, Not suitable
1637, Total - Private households by number of persons per room - 25% sample data (160)
1638, One person or fewer per room
1639, More than 1 person per room
1683," Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data (178)"
1684," No certificate, diploma or degree"
1685, Secondary (high) school diploma or equivalency certificate (179)
1686," Postsecondary certificate, diploma or degree"
1865, Total - Population aged 15 years and over by Labour force status - 25% sample data (214)
1866, In the labour force
1867, Employed
1868, Unemployed
1869, Not in the labour force
1930, Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data (230)
1931," Car, truck, van - as a driver"
2230, Total - Mobility status 1 year ago - 25% sample data (237)
2231, Non-movers
2232, Movers
