Up to date as of 23h July 21,,,,,,,,,,
Deaths in Canadian LTC facilities,Questions or additions: nora.loreto@gmail.com | Attribution to Nora Loreto please. ,,,,,,,,,
Facility,Location,Prov.,Number of dead,Number of beds (appx),%,Public or private,Owners,Union,,
CHSLD Vigi Mont-Royal*,Montreal,QC,102,273,37.36%,Private,Vigi Santé,,"this figure is speculative from radio-canada - 70 confirmed dead 32 sent to hospital, presumed to die",
Centre d'hébergement Sainte-Dorothée,Laval,QC,101,285,35.44%,Public,,,,
Centre d'hébergement Notre-Dame-de-la-Merci,Montreal,QC,100,398,25.13%,Public,,,,
CHSLD Laurendeau,Montreal,QC,93,300,31.00%,Public,,,,
Centre d'hébergement Champlain–Marie-Victorin,Montreal,QC,85,280,30.36%,Private,"Sedna Canada, Groupe Champlain, Santé Valeo",,,
CHSLD Yvon-Brunet,Montreal,QC,77,185,41.62%,Public,,,,
CHSLD Vigi Dollard-des-Ormeaux,Dollard-des-Ormeaux,QC,74,160,46.25%,Private,Vigi Santé,,,
CHSLD Saint-Jude,Laval,QC,73,204,35.78%,"Private, for profit",Group Age3,,,
Orchard Villa LTC,Pickering,ON,70,233,30.04%,"Private, for profit",Southbridge Health Care LP,,,
CHSLD Pierre-Joseph-Triest,Montreal,QC,69,227,30.40%,Public,,,,
Camilla Care Community,Mississauga,ON,68,237,28.69%,"Private, for profit",Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,ONA,,
CHSLD Grace Dart,Montreal,QC,67,94,71.28%,Public,,,,
CHSLD Angelica,Montreal,QC,67,350,19.14%,"Private, not subsidized",,,,
Centre d'hébergement Jean-De La Lande,Montreal,QC,65,276,23.55%,Public,,,,
CHSLD Joseph-François-Perreault,Montreal,QC,64,192,33.33%,Public,,,,
Downsview Long Term Care Centre,North York,ON,64,252,25.40%,"Private, for profit",GEM Health Care Group,,,
Résidence Berthiaume-Du Tremblay,Montreal,QC,63,198,31.82%,Private,Fondation Berthiaume-Du Tremblay,,,
Carlingview Manor,Ottawa,ON,61,303,20.13%,"Public, for profit","Revera, Carlingview Manor Operating Inc.",,,
Villa Val des Arbres,Laval,QC,60,145,41.38%,Private,Privately held by Pierre Bélanger et Pierre Serrecchia,,,
Centre d'hébergement de Lasalle,LaSalle,QC,59,202,29.21%,Public,,,,
L’Institut universitaire de gériatrie de Montréal*,Montreal,QC,57,446,12.78%,Public,,,,* not all attributed to Covid but the deaths are more than 10x than comparable periods of time
Centre d'hébergement René-Lévesque,Longeuil,QC,55,224,24.55%,Public,,,,
Centre d'hébergement de Lachine,Lachine,QC,54,,#DIV/0!,Public,,,,
