FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,INCIDENT_OUTBREAK_100_CAT,INFRACTION_DISEASE_CAT
Aberdeen Hospital,9A616,Vancouver Island Health,HA,1450 Hillside Ave.,Victoria,V8T2B7,Hospital Act,Accredited,4.36,0.38,4.74,4.36,0.38,4.74,100,19,4,25,7,4,,,,,,,,,,,,,,,,,69,51.60%,21.70%,43.30%,844,24.30%,45.60%,16.00%,6.80%,0.50%,4,16.00%,0.77,9.20%,51.50%,45.10%,48.10%,22.70%,3.90%,1,2,0,0,0,0,2,0,0,0,0,0,0,0,48.4421967,-123.3432416,,,0,TRUE,TRUE,0,unknown,0
Acacia Ty Mawr,99549,Vancouver Island Health,PFP,2655 E Shawnigan Lake Rd,Shawnigan Lake,V0R2W0,Community Care & Assisted Living Act,Accredited,2.7,0.11,2.8,2.91,0.15,3.06,35,31,2,0,1,0,0,0,2,0,0,0,1,3,0,0,5.7,0,0,0,2.9,8.6,84,69.80%,52.20%,2.50%,862,10.40%,30.60%,38.90%,95.10%,10.40%,2,65.30%,0.56,0.00%,0.00%,0.00%,54.20%,37.80%,2.00%,2,1,0,0,0,0,0,0,0,0,0,1,0,0,48.649871,-123.62358,,,0,FALSE,TRUE,0,0,0
Acropolis Manor,9A8ID,Northern Health,HA,1325 Summit Avenue,Prince Rupert,V8J4C1,Community Care & Assisted Living Act,Accredited,3.14,0.32,3.47,3.08,0.35,3.43,61,49,6,0,1,1,1,1,8,0,0,3,1,3,1.6,1.6,13.1,0,0,4.9,1.6,4.9,83,59.20%,50.70%,4.40%,2,10.80%,36.80%,35.40%,61.30%,19.80%,1.5,80.70%,0.58,0.50%,25.90%,0.90%,37.70%,25.10%,8.80%,4,8,0,2,1,0,0,0,0,1,0,4,0,0,54.304055,-130.33,,,0,TRUE,TRUE,0,>0,0
Adanac Park Lodge,919G3,Vancouver Coastal Health,PNP,851 Boundary Road,Vancouver,V5K4T2,Community Care & Assisted Living Act,Not Accredited,3.11,0.32,3.43,3.11,0.33,3.44,73,67,3,0,0,0,2,0,11,0,0,2,2,2,2.7,0,15.1,0,0,2.7,2.7,2.7,63,24.80%,7.10%,55.30%,"3,225",19.10%,14.70%,8.50%,39.60%,7.80%,2.4,61.10%,0.49,0.00%,72.40%,0.00%,59.70%,58.90%,3.30%,2,2,0,0,1,1,0,0,0,0,0,0,0,0,49.2770771,-123.0245958,,,0,TRUE,FALSE,0,>0,0
Agassiz Seniors Community,9.36E+02,Fraser Health,PFP,1525 MacKay Crescent,Agassiz,V0M1A3,Community Care & Assisted Living Act,Unknown,2.6,0.26,2.87,3.03,0.33,3.36,74,68,0,0,1,0,1,0,3,0,0,1,0,3,1.4,0,4.1,0,0,1.4,0,4.1,85,59.30%,59.30%,2.80%,"1,144",5.80%,34.20%,37.40%,60.50%,11.60%,2.7,45.80%,0.56,4.20%,94.20%,0.00%,15.30%,3.10%,0.00%,2,5,0,2,1,1,0,0,1,0,0,0,0,0,49.2335015,-121.7681608,,,0,TRUE,TRUE,0.148648649,>0,0
Arbutus Care Centre,9B814,Vancouver Coastal Health,PFP,4505 Valley Drive,Vancouver,V6L2L1,Hospital Act,Accredited,2.58,0.22,2.8,2.64,0.21,2.85,156,58,49,0,1,0,1,1,10,0,0,5,0,3,0.6,0.6,6.4,0,0,3.2,0,1.9,86,71.40%,64.30%,4.00%,914,15.30%,31.00%,20.20%,61.90%,3.00%,1.5,79.30%,0.55,19.70%,0.20%,0.60%,24.80%,22.80%,0.10%,7,9,1,1,0,2,2,0,0,1,0,2,3,0,49.2478819,-123.1579085,1,0,1,TRUE,TRUE,0.025641026,>0,0
Arrowsmith Lodge,995A3,Vancouver Island Health,PNP,266 Moilliet St,Parksville,V9P1M9,Community Care & Assisted Living Act,Accredited,2.92,0.22,3.14,2.99,0.27,3.27,75,75,0,0,6,4,0,3,6,0,0,4,0,3,0,4,8,0,0,5.3,0,4,84,56.60%,54.40%,4.10%,"1,121",31.10%,33.80%,40.10%,79.80%,9.60%,2.2,56.80%,0.61,11.60%,0.00%,6.30%,60.90%,21.40%,14.90%,3,4,0,0,0,0,0,0,0,1,0,3,0,0,49.316385,-124.32359,,,0,TRUE,TRUE,0,0,0
Ayre Manor,9357A,Vancouver Island Health,PNP,6764 Ayre Rd,Sooke,V9Z1K1,Community Care & Assisted Living Act,Accredited,2.9,0.23,3.13,2.97,0.23,3.2,33,32,0,0,0,0,1,0,1,0,0,0,0,1,3,0,3,0,0,0,0,3,82,59.70%,38.00%,6.20%,784,37.10%,41.10%,30.60%,75.00%,14.50%,2.4,53.20%,0.59,0.00%,0.00%,0.00%,76.60%,47.90%,24.20%,3,3,0,1,0,0,2,0,0,0,0,0,0,0,48.378338,-123.72716,,,0,TRUE,TRUE,0.03030303,>0,0
Baillie House,9A6G9,Fraser Health,HA,11666 Laity St,Maple Ridge,V2X7G5,Hospital Act,Unknown,2.96,0.38,3.34,2.96,0.38,3.34,148,116,16,0,3,2,2,1,16,0,0,0,3,0,1.4,0.7,10.8,0,0,0,2,0,86,63.60%,63.50%,4.10%,"1,537",17.30%,24.70%,20.10%,50.90%,5.80%,2.8,47.50%,0.58,13.10%,53.00%,6.70%,38.20%,19.60%,5.00%,2,2,0,1,1,0,0,0,0,0,0,0,0,0,49.2171373,-122.631898,,,0,TRUE,TRUE,0,>0,0
Banfield Pavilion - Vancouver General Hospital,9A52F,Vancouver Coastal Health,HA,2785 Ash Street,Vancouver,V5Z1M9,Hospital Act,Accredited,2.79,0.27,3.06,2.79,0.27,3.06,156,17,13,36,3,0,0,0,5,0,0,1,2,6,0,0,3.2,0,0,0.6,1.3,3.8,82,54.00%,49.80%,7.50%,916,25.70%,44.10%,32.30%,47.70%,6.30%,2.6,52.60%,0.64,23.50%,0.60%,40.70%,39.70%,13.30%,10.80%,4,1,0,0,0,0,0,0,0,0,0,1,0,0,49.2611939,-123.1187682,,,0,TRUE,TRUE,0,0,0
Bastion Place,9C094,Interior Health,HA,700 11 St. NE,Salmon Arm,V1E4P9,Hospital Act,Accredited,2.84,0.32,3.16,3.09,0.59,3.68,80,69,2,3,0,0,0,2,6,0,0,0,3,1,0,2.5,7.5,0,0,0,3.8,1.3,82,67.60%,46.30%,9.40%,"1,040",30.10%,39.10%,28.90%,53.80%,4.50%,3.2,42.50%,0.62,18.40%,0.40%,4.10%,55.30%,23.90%,10.70%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7378252,-119.2720293,,,0,TRUE,TRUE,0,0,0
Beacon Hill Villa,91B60,Vancouver Island Health,PFP,635 Superior St,Victoria,V8V1V1,Community Care & Assisted Living Act,Accredited,2.86,0.23,3.09,2.94,0.22,3.16,80,66,7,0,4,3,0,2,9,0,0,2,0,4,0,2.5,11.3,0,0,2.5,0,5,84,72.30%,57.60%,6.10%,945,19.50%,24.80%,38.10%,52.20%,6.30%,2.7,51.10%,0.53,0.60%,29.90%,4.40%,47.80%,30.10%,5.30%,5,7,0,3,0,0,1,0,0,1,0,0,0,0,48.4180655,-123.3670916,,,0,TRUE,TRUE,0,0,0
Beckley Farm Lodge,9AB20,Vancouver Island Health,PNP,530 Simcoe St,Victoria,V8V4W4,Community Care & Assisted Living Act,Accredited,3.06,0.18,3.24,3.13,0.28,3.41,64,65,0,0,0,0,1,0,5,0,0,0,0,0,1.6,0,7.8,0,0,0,0,0,83,55.00%,50.70%,2.90%,849,27.70%,53.00%,42.00%,63.30%,11.40%,2.3,58.30%,0.58,1.90%,0.40%,0.40%,64.80%,12.00%,22.30%,2,1,0,0,1,0,0,0,0,0,0,0,0,0,48.415112,-123.37239,,,0,TRUE,TRUE,0,>0,0
Bella Coola General Hospital,9A8DC,Vancouver Coastal Health,HA,1025 Elcho Street,Bella Coola,V0T1C0,Hospital Act,Accredited,,,,,,,5,5,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52.3741762,-126.75795,,,0,TRUE,TRUE,0,unknown,0
Belvedere Care Centre,9BG96,Fraser Health,PFP,739 Alderson Avenue,Coquitlam,V3K7B3,Hospital Act,Unknown,2.49,0.29,2.78,2.66,0.29,2.95,123,146,2,0,5,1,0,1,7,0,0,0,3,0,0,0.8,5.7,0,0,0,2.4,0,88,75.70%,69.60%,0.40%,660,22.40%,33.30%,29.40%,62.50%,8.80%,3.9,26.50%,0.58,8.10%,75.00%,0.90%,45.80%,12.10%,3.30%,4,2,0,0,0,0,1,1,0,0,0,0,0,0,49.24008325,-122.8785698,,,0,TRUE,TRUE,0.544715447,0,>0
Berkley Care Centre,91GB3,Vancouver Coastal Health,HA,2444 Burr Place,North Vancouver,V7H3A5,Community Care & Assisted Living Act,Accredited,3.26,0.24,3.5,3.26,0.24,3.5,177,159,9,0,0,0,1,0,5,0,0,0,0,1,0.6,0,2.8,0,0,0,0,0.6,84,60.50%,57.90%,6.50%,"1,296",22.90%,49.30%,51.80%,66.10%,10.80%,2.1,66.30%,0.58,16.00%,65.60%,4.90%,56.40%,32.00%,28.00%,1,4,1,1,0,0,2,0,0,0,0,0,1,0,49.312278,-123.006,25,5,1,TRUE,TRUE,0,>0,0
Berkley Care Centre - Special Unit,93A60,Vancouver Coastal Health,HA,2444 Burr Place,North Vancouver,V7H3A5,Community Care & Assisted Living Act,Accredited,3.26,0.24,3.5,3.26,0.24,3.5,12,12,0,0,,,,,,,,,,,,,,,,,,,78,39.70%,13.80%,13.80%,317,30.00%,18.00%,70.00%,86.00%,32.00%,1.5,70.00%,0.53,0.00%,50.00%,0.00%,84.00%,71.30%,21.70%,,,,,,,,,,,,,,,49.1415955,-122.9054267,,,0,TRUE,TRUE,0,unknown,unknown
Bevan Village,9.23E+02,Fraser Health,PFP,33386 Bevan Ave.,Abbotsford,V2S5G6,Community Care & Assisted Living Act,Not Accredited,2.43,0.31,2.73,2.64,0.31,2.95,122,105,5,0,1,1,0,0,6,0,0,0,3,1,0,0,4.9,0,0,0,2.5,0.8,88,65.50%,73.40%,1.40%,802,40.30%,41.50%,11.90%,71.60%,15.30%,3.2,26.10%,0.6,2.30%,0.00%,0.00%,56.30%,29.40%,8.70%,1,3,0,1,0,0,1,0,0,0,0,1,0,0,49.0413325,-122.2992395,,,0,TRUE,TRUE,0.819672131,0,0
Birchview Residences,93GDH,Northern Health,PNP,7780 Hart Highway,Prince George,V2K3B3,Community Care & Assisted Living Act,Not Accredited,2.78,0,2.78,3.78,0,3.78,21,18,1,0,0,0,0,0,3,0,0,0,2,0,0,0,14.3,0,0,0,9.5,0,,,,,,,,,,,,,,,,,,,,1,3,0,0,1,1,0,0,0,1,0,0,0,0,53.999924,-122.8011,,,0,FALSE,TRUE,0.666666667,0,0
Blenheim Lodge,999BD,Vancouver Coastal Health,PNP,3263 Blenheim Street,Vancouver,V6L2X7,Community Care & Assisted Living Act,Not Accredited,2.57,0.18,2.75,2.66,0.18,2.84,100,65,17,0,2,1,0,1,24,0,0,3,0,9,0,1,24,0,0,3,0,9,88,83.50%,67.00%,0.00%,"1,154",22.50%,46.20%,44.90%,69.50%,4.70%,2.2,59.30%,0.6,0.00%,89.60%,0.00%,45.70%,17.00%,2.40%,6,4,0,1,1,0,2,0,0,0,0,0,0,0,49.2572761,-123.1791189,,,0,TRUE,TRUE,0.06,0,0
Braddan Private Hospital,91997,Vancouver Coastal Health,PFP,2450 West 2nd Ave,Vancouver,V6K1J6,Hospital Act,Not Accredited,2.69,0.12,2.81,2.72,0.12,2.84,62,22,20,0,0,0,0,1,3,0,1,2,0,0,0,1.6,4.8,0,1.6,3.2,0,0,85,78.70%,63.60%,1.60%,"1,111",13.30%,26.10%,17.80%,54.40%,3.30%,2.1,61.00%,0.54,0.00%,71.80%,0.00%,36.90%,8.00%,14.70%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2697848,-123.1610417,,,0,TRUE,TRUE,0.032258065,0,0
Bradley Center,9A6JG,Fraser Health,HA,45600 Menholm Rd,Chilliwack,V2P1P7,Hospital Act,Unknown,3.02,0.23,3.25,3.02,0.23,3.25,90,8,1,20,0,0,0,0,1,0,0,0,0,0,0,0,1.1,0,0,0,0,0,87,69.30%,69.50%,5.20%,648,19.00%,25.20%,19.70%,48.00%,4.10%,2.7,46.90%,0.59,0.30%,41.80%,0.70%,51.40%,25.40%,9.00%,1,5,0,0,1,1,1,1,0,1,0,0,0,0,49.16730645,-121.9648572,,,0,TRUE,FALSE,0,0,>0
Brandt's Creek Mews,937BA,Interior Health,PFP,2081 Cross Rd,Kelowna,V1V2G2,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,3,0.35,3.35,102,102,0,0,0,0,2,0,11,0,1,0,0,4,2,0,10.8,0,1,0,0,3.9,84,70.50%,50.80%,4.70%,715,57.30%,26.10%,33.80%,81.30%,24.90%,2.8,48.00%,0.59,17.70%,59.00%,15.30%,59.70%,6.80%,10.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9200841,-119.4354247,,,0,TRUE,TRUE,0.019607843,>0,0
Brentwood House,93290,Vancouver Island Health,PNP,1167 Stelly's Cross Road,Brentwood Bay,V8M1H4,Community Care & Assisted Living Act,Accredited,2.89,0.01,2.9,2.61,0.29,2.9,17,17,0,0,3,1,0,0,2,0,0,0,1,1,0,0,11.8,0,0,0,5.9,5.9,86,68.20%,54.50%,0.00%,237,15.00%,0.00%,8.30%,98.30%,0.00%,5.2,3.30%,0.5,0.00%,0.00%,0.00%,43.30%,7.70%,0.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5794252,-123.4509233,,,0,TRUE,TRUE,0.117647059,0,0
Broadway Pentecostal Lodge,9A9CE,Vancouver Coastal Health,PNP,1377 Lamey's Mill Rd,Vancouver,V6H3S9,Community Care & Assisted Living Act,Not Accredited,2.64,0.31,2.95,2.78,0.31,3.09,114,114,0,0,3,2,0,0,14,0,0,8,0,2,0,0,12.3,0,0,7,0,1.8,82,44.50%,40.10%,5.50%,753,25.40%,28.20%,28.90%,65.30%,5.90%,2.7,45.10%,0.53,0.40%,64.60%,0.00%,39.70%,38.00%,7.10%,6,8,0,2,1,0,5,0,0,0,0,0,0,0,49.2674372,-123.1343725,,,0,TRUE,FALSE,0,0,0
Brocklehurst Gemstone Care Centre,93E9A,Interior Health,PFP,1955 Tranquille Road,Kamloops,V2B3M4,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.97,0.35,3.32,130,126,4,0,0,0,0,0,31,0,1,0,6,3,0,0,23.8,0,0.8,0,4.6,2.3,85,68.80%,58.40%,2.80%,918,25.70%,28.50%,18.80%,68.10%,9.30%,2.7,47.50%,0.55,0.00%,0.40%,0.00%,54.70%,28.00%,10.30%,1,2,0,0,0,0,1,0,0,0,0,1,0,0,50.6997303,-120.3999925,,,0,TRUE,TRUE,0.038461538,0,0
Brookhaven Care Centre,917I9,Interior Health,HA,1775 Shannon Lake Rd,West Kelowna,V4T2N7,Hospital Act,Accredited,2.82,0.34,3.16,3.03,0.39,3.42,84,0,0,0,0,0,1,1,16,0,0,0,3,2,1.2,1.2,19,0,0,0,3.6,2.4,83,56.60%,55.20%,7.90%,645,28.00%,36.00%,32.50%,72.80%,10.20%,2.5,54.80%,0.59,8.10%,67.50%,51.60%,63.70%,26.80%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8648276,-119.5896005,,,0,TRUE,TRUE,0,>0,0
Brookside Lodge,937F0,Fraser Health,PFP,19550 Fraser Highway,Surrey,V3S6K5,Community Care & Assisted Living Act,Unknown,2.66,0.23,2.89,2.97,0.39,3.36,103,93,5,0,0,0,1,1,8,0,0,3,0,1,1,1,7.8,0,0,2.9,0,1,80,59.50%,47.10%,15.10%,946,11.50%,18.40%,19.10%,66.50%,8.90%,2.9,41.90%,0.6,12.40%,53.80%,1.70%,54.30%,21.40%,4.20%,8,13,0,3,4,3,2,0,0,0,0,1,0,0,49.114097,-122.681031,,,0,TRUE,TRUE,0.13592233,>0,0
Buchanan Lodge,9A500,Fraser Health,PNP,409 Blair Ave,New Westminster,V3L4A4,Community Care & Assisted Living Act,Unknown,2.71,0.35,3.06,2.76,0.36,3.12,112,104,4,0,1,0,3,2,10,0,0,2,1,1,2.7,1.8,8.9,0,0,1.8,0.9,0.9,86,69.20%,60.00%,3.30%,"1,386",13.70%,39.90%,26.70%,67.00%,8.40%,2.2,62.00%,0.57,8.40%,2.30%,0.20%,39.60%,19.40%,12.60%,3,3,0,1,1,0,0,1,0,0,0,0,0,0,49.22877315,-122.8980863,,,0,TRUE,TRUE,0,>0,>0
Bulkley Lodge,9BDH1,Northern Health,HA,3668 11th Avenue,Smithers,V0J2N0,Community Care & Assisted Living Act,Accredited,3.4,0.46,3.85,3.13,0.32,3.45,70,67,3,0,0,0,0,2,0,0,0,0,1,0,0,2.9,0,0,0,0,1.4,0,82,55.00%,45.00%,6.50%,734,15.60%,21.10%,20.40%,45.60%,6.10%,2.8,45.60%,0.55,0.00%,63.90%,38.10%,51.00%,28.70%,22.40%,4,6,0,2,0,0,0,0,0,0,0,4,0,0,54.779299,-127.15819,,,0,TRUE,TRUE,0,0,0
Cairnsmore Place,9A5F3,Vancouver Island Health,HA,250 Cairnsmore Street,Duncan,V9L4H2,Hospital Act,Accredited,2.86,0.36,3.22,2.86,0.36,3.22,100,8,4,21,2,0,,,,,,,,,,,,,,,,,83,68.30%,49.40%,5.80%,752,27.00%,33.00%,18.70%,57.00%,1.70%,3.7,29.30%,0.64,63.30%,0.00%,41.00%,56.30%,18.10%,5.50%,1,1,0,0,0,0,1,0,0,0,0,0,0,0,48.7854979,-123.7106333,,,0,TRUE,TRUE,0,unknown,0
Capilano Care Centre,9C414,Vancouver Coastal Health,PFP,525 Clyde Avenue,West Vancouver,V7T1C4,Hospital Act & Community Care & Assisted Living Act,Accredited,2.58,0.2,2.78,2.76,0.2,2.96,205,76,48,11,2,0,1,0,38,0,0,4,3,30,0.5,0,18.5,0,0,2,1.5,14.6,84,69.00%,54.60%,4.00%,"1,076",46.60%,19.00%,32.80%,74.40%,9.10%,2.9,45.70%,0.56,0.30%,29.60%,0.30%,59.60%,19.00%,0.70%,3,3,0,1,0,0,1,0,0,1,0,0,0,0,49.329066,-123.13,,,0,TRUE,TRUE,0,>0,0
