FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_TOTAL,BEDS_PRIVATEprop,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,latitude,longitude,outbreak
Aberdeen Hospital,9A616,Vancouver Island Health,HA,1450 Hillside Ave.,Victoria,V8T2B7,Hospital Act,Accredited,True,True,100,0.0,19,4,25,48.4421967,-123.34324160465658,0
Acacia Ty Mawr,99549,Vancouver Island Health,PFP,2655 E Shawnigan Lake Rd,Shawnigan Lake,V0R2W0,Community Care & Assisted Living Act,Accredited,False,True,35,0.0,31,2,0,48.64987100000001,-123.62358,0
Acropolis Manor,9A8ID,Northern Health,HA,1325 Summit Avenue,Prince Rupert,V8J4C1,Community Care & Assisted Living Act,Accredited,True,True,61,0.0,49,6,0,54.30405500000001,-130.33,0
Adanac Park Lodge,919G3,Vancouver Coastal Health,PNP,851 Boundary Road,Vancouver,V5K4T2,Community Care & Assisted Living Act,Not Accredited,True,False,73,0.0,67,3,0,49.2770771,-123.0245958,0
Agassiz Seniors Community,936E0,Fraser Health,PFP,1525 MacKay Crescent,Agassiz,V0M1A3,Community Care & Assisted Living Act,Unknown,True,True,74,0.14864864864864866,68,0,0,49.2335015,-121.7681608,0
Arbutus Care Centre,9B814,Vancouver Coastal Health,PFP,4505 Valley Drive,Vancouver,V6L2L1,Hospital Act,Accredited,True,True,156,0.02564102564102564,58,49,0,49.2478819,-123.1579085,1
Arrowsmith Lodge,995A3,Vancouver Island Health,PNP,266 Moilliet St,Parksville,V9P1M9,Community Care & Assisted Living Act,Accredited,True,True,75,0.0,75,0,0,49.316385,-124.32359,0
Ayre Manor,9357A,Vancouver Island Health,PNP,6764 Ayre Rd,Sooke,V9Z1K1,Community Care & Assisted Living Act,Accredited,True,True,33,0.030303030303030304,32,0,0,48.378338,-123.72716,0
Baillie House,9A6G9,Fraser Health,HA,11666 Laity St,Maple Ridge,V2X7G5,Hospital Act,Unknown,True,True,148,0.0,116,16,0,49.2171373,-122.631898,0
Banfield Pavilion - Vancouver General Hospital,9A52F,Vancouver Coastal Health,HA,2785 Ash Street,Vancouver,V5Z1M9,Hospital Act,Accredited,True,True,156,0.0,17,13,36,49.2611939,-123.1187682,0
Bastion Place,9C094,Interior Health,HA,700 11 St. NE,Salmon Arm,V1E4P9,Hospital Act,Accredited,True,True,80,0.0,69,2,3,50.7378252,-119.2720293,0
Beacon Hill Villa,91B60,Vancouver Island Health,PFP,635 Superior St,Victoria,V8V1V1,Community Care & Assisted Living Act,Accredited,True,True,80,0.0,66,7,0,48.4180655,-123.3670916,0
Beckley Farm Lodge,9AB20,Vancouver Island Health,PNP,530 Simcoe St,Victoria,V8V4W4,Community Care & Assisted Living Act,Accredited,True,True,64,0.0,65,0,0,48.415112,-123.37239,0
Bella Coola General Hospital,9A8DC,Vancouver Coastal Health,HA,1025 Elcho Street,Bella Coola,V0T1C0,Hospital Act,Accredited,True,True,5,0.0,5,0,0,52.37417620000001,-126.75795,0
Belvedere Care Centre,9BG96,Fraser Health,PFP,739 Alderson Avenue,Coquitlam,V3K7B3,Hospital Act,Unknown,True,True,123,0.5447154471544715,146,2,0,49.24008325,-122.87856982297993,0
Berkley Care Centre,91GB3,Vancouver Coastal Health,HA,2444 Burr Place,North Vancouver,V7H3A5,Community Care & Assisted Living Act,Accredited,True,True,177,0.0,159,9,0,49.312278000000006,-123.006,1
Berkley Care Centre - Special Unit,93A60,Vancouver Coastal Health,HA,2444 Burr Place,North Vancouver,V7H3A5,Community Care & Assisted Living Act,Accredited,True,True,12,0.0,12,0,0,49.1415955,-122.9054267,0
Bevan Village,923E0,Fraser Health,PFP,33386 Bevan Ave.,Abbotsford,V2S5G6,Community Care & Assisted Living Act,Not Accredited,True,True,122,0.819672131147541,105,5,0,49.0413325,-122.2992395,0
Birchview Residences,93GDH,Northern Health,PNP,7780 Hart Highway,Prince George,V2K3B3,Community Care & Assisted Living Act,Not Accredited,False,True,21,0.6666666666666666,18,1,0,53.999924,-122.8011,0
Blenheim Lodge,999BD,Vancouver Coastal Health,PNP,3263 Blenheim Street,Vancouver,V6L2X7,Community Care & Assisted Living Act,Not Accredited,True,True,100,0.06,65,17,0,49.2572761,-123.1791189,0
Braddan Private Hospital,91997,Vancouver Coastal Health,PFP,2450 West 2nd Ave,Vancouver,V6K1J6,Hospital Act,Not Accredited,True,True,62,0.03225806451612903,22,20,0,49.2697848,-123.1610416529879,0
Bradley Center,9A6JG,Fraser Health,HA,45600 Menholm Rd,Chilliwack,V2P1P7,Hospital Act,Unknown,True,False,90,0.0,8,1,20,49.16730645,-121.96485716719084,0
Brandt's Creek Mews,937BA,Interior Health,PFP,2081 Cross Rd,Kelowna,V1V2G2,Community Care & Assisted Living Act,Accredited,True,True,102,0.0196078431372549,102,0,0,49.9200841,-119.4354247,0
Brentwood House,93290,Vancouver Island Health,PNP,1167 Stelly's Cross Road,Brentwood Bay,V8M1H4,Community Care & Assisted Living Act,Accredited,True,True,17,0.11764705882352941,17,0,0,48.5794252,-123.4509233,0
Broadway Pentecostal Lodge,9A9CE,Vancouver Coastal Health,PNP,1377 Lamey's Mill Rd,Vancouver,V6H3S9,Community Care & Assisted Living Act,Not Accredited,True,False,114,0.0,114,0,0,49.2674372,-123.1343725,0
