OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
Dawson Creek Society for Community Living,115th Residence,Residential Care,1629 115 Ave,Dawson Creek,V1G 3C7,(250)782-3277,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=66F21043B85CB51388256A6300016854,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,8,N,,-120.2501096,55.7455893
Dawson Creek Society for Community Living,1416 Residence,Residential Care,1416 102 Ave,Dawson Creek,V1G2C9,(250)782-2611,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0D9AC9EC359B21A68825809F007977DB,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,5,N,,-120.242284,55.7598838
Fort St. John Association For Community Living,92A Street House,Residential Care,8704 92A St,Fort St. John,V1J 3J6,(250)787-0684,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2A0E07394B47B0C688256D50007C9693,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,12,N,,-120.8340087,56.2337165
South Peace Child Development Society,95th Avenue Residence,Residential Care,1625 95 Ave,Dawson Creek,V1G 1K2,(250)782-9171,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B8B59358D7150BC188256A6300016855,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,6,N,,-120.249386,55.7674715
Northern Health Authority - Prince Rupert,Acropolis Manor,Residential Care,1325 Summit Ave,Prince Rupert,V8J 4C1,(250)622-6461,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A93A76B9844EB6B188257F550081B972,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,61,N,,N,,-130.3295787,54.3043852
High Road Services Society,Alfred Adult Residential,Residential Care,3668 Alfred Ave,Smithers,V0J 2N0,(250)847-2956,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5B716D265C984F7888257942005EA8FE,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,4,N,,-127.1714404,54.7766473
Birchview Holdings Ltd.,Birchview Residences,Residential Care,7780 Hart Hwy,Prince George,V2K 3B3,(778)415-9790,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=9F31705662FA4C1788257FA700717496,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,20,N,,N,,-122.7997762,54.0012076
Northern Health Authority - Terrace and Kitimat,Birchwood Place,Residential Care,3183 Kofoed Dr,Thornhill,V8G 3P8,(250)635-2171,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B68DDD3739E1010888256B9900598426,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,Y,8,N,,N,,Y,8,N,,N,,-128.5451759,54.5163629
Northern Health Authority - Smithers,Bulkley Lodge,Residential Care,3668 11th Ave,Smithers,V0J 2N0,(250)847-4443,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2333127111B67FB688256DCE006AE3DC,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,Y,70,N,,Y,70,N,,N,,-127.1577223,54.7792679
AIMHI Prince George Association For Community Living,Burden Residential Home,Residential Care,1680 Burden St,Prince George,V2M 2J8,(250)564-0509,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=BF1901F3136DD9BE8825715D006696A5,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,6,N,,-122.7671907,53.9085192
AIMHI Prince George Association For Community Living,Campbell,Residential Care,4057 Campbell Ave,Prince George,V2M 5A3,(250)612-0433,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=846A062D60B9331D88257045006386AF,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,6,N,,-122.7971081,53.9002324
Dawson Creek Society for Community Living,Canalta Residence,Residential Care,1908 110 Ave,Dawson Creek,V1G 2W7,(250)782-2221,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=CA085DC54ED21F848825741A00598A63,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,10,N,,-120.2572876,55.7506542
