FACILITY_NAME,OWNERSHIP,REGULATION,ACCRED_STATUS,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,CMI,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,cleaned_name,facility_name,num_cases,num_deaths,outbreak,facility_design,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,BEDS_PUBLICprop,ROOMS_TOTAL,ROOMS_PRIVATEprop,ROOMS_SEMIprop,ROOMS_MULTIprop
Adanac Park Lodge,PNP,Community Care & Assisted Living Act,Not Accredited,3.11,0.33,3.44,0,73,73,67,3,0,0,0,2,0,11,0,0,2,2,2,2.7,0.0,15.1,0.0,0.0,2.7,2.7,2.7,0.49,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adanac park lodge,na,na,na,no,post1994,True,False,0.0,1.0,70,0.9571428571428572,0.04285714285714286,0.0
Agassiz Seniors Community,PFP,Community Care & Assisted Living Act,Unknown,3.03,0.33,3.36,11,63,74,68,0,0,1,0,1,0,3,0,0,1,0,3,1.4,0.0,4.1,0.0,0.0,1.4,0.0,4.1,0.56,2.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,agassiz seniors community,na,na,na,no,post1994,True,True,0.14864864864864866,0.8513513513513513,68,1.0,0.0,0.0
Arbutus Care Centre,PFP,Hospital Act,Accredited,2.64,0.21,2.85,4,152,156,58,49,0,1,0,1,1,10,0,0,5,0,3,0.6,0.6,6.4,0.0,0.0,3.2,0.0,1.9,0.55,7.0,9.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,arbutus care centre,Arbutus Care Centre,1.0,0.0,yes,pre1994,True,True,0.02564102564102564,0.9743589743589743,107,0.5420560747663551,0.45794392523364486,0.0
Baillie House,HA,Hospital Act,Unknown,2.96,0.38,3.34,0,148,148,116,16,0,3,2,2,1,16,0,0,0,3,0,1.4,0.7,10.8,0.0,0.0,0.0,2.0,0.0,0.58,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baillie house,na,na,na,no,post1994,True,True,0.0,1.0,132,0.8787878787878788,0.12121212121212122,0.0
Banfield Pavilion - Vancouver General Hospital,HA,Hospital Act,Accredited,2.79,0.27,3.06,0,156,156,17,13,36,3,0,0,0,5,0,0,1,2,6,0.0,0.0,3.2,0.0,0.0,0.6,1.3,3.8,0.64,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,banfield pavilion - vancouver general hospital,na,na,na,no,pre1994,True,True,0.0,1.0,66,0.25757575757575757,0.19696969696969696,0.5454545454545454
Bastion Place,HA,Hospital Act,Accredited,3.09,0.59,3.68,0,80,80,69,2,3,0,0,0,2,6,0,0,0,3,1,0.0,2.5,7.5,0.0,0.0,0.0,3.8,1.3,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bastion place,na,na,na,no,pre1994,True,True,0.0,1.0,74,0.9324324324324325,0.02702702702702703,0.04054054054054054
Belvedere Care Centre,PFP,Hospital Act,Unknown,2.66,0.29,2.95,67,56,123,146,2,0,5,1,0,1,7,0,0,0,3,0,0.0,0.8,5.7,0.0,0.0,0.0,2.4,0.0,0.58,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,belvedere care centre,na,na,na,no,post1994,True,True,0.5447154471544715,0.45528455284552843,148,0.9864864864864865,0.013513513513513514,0.0
Berkley Care Centre,HA,Community Care & Assisted Living Act,Accredited,3.26,0.24,3.5,0,177,177,159,9,0,0,0,1,0,5,0,0,0,0,1,0.6,0.0,2.8,0.0,0.0,0.0,0.0,0.6,0.58,1.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,berkley care centre,Berkley Care Centre,25.0,5.0,yes,post1994,True,True,0.0,1.0,168,0.9464285714285714,0.05357142857142857,0.0
Bevan Village,PFP,Community Care & Assisted Living Act,Not Accredited,2.64,0.31,2.95,100,22,122,105,5,0,1,1,0,0,6,0,0,0,3,1,0.0,0.0,4.9,0.0,0.0,0.0,2.5,0.8,0.6,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,bevan village,na,na,na,no,pre1994,True,True,0.819672131147541,0.18032786885245902,110,0.9545454545454546,0.045454545454545456,0.0
Blenheim Lodge,PNP,Community Care & Assisted Living Act,Not Accredited,2.66,0.18,2.84,6,94,100,65,17,0,2,1,0,1,24,0,0,3,0,9,0.0,1.0,24.0,0.0,0.0,3.0,0.0,9.0,0.6,6.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blenheim lodge,na,na,na,no,pre1994,True,True,0.06,0.94,82,0.7926829268292683,0.2073170731707317,0.0
