FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,BEDS_TOTAL,INCIDENT_OUTBREAK_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,rooms_semi_binary,rooms_multi_binary,rooms_shared,resident_council,family_council,res_fam_council,beds_privatebinary,complaints_100,sub_complaints_100,incident_100sumXoutbreak,infractions_disease_100,infractions_100Xdisease
Adanac Park Lodge,919G3,Vancouver Coastal Health,PNP,851 Boundary Road,Vancouver,V5K4T2,Community Care & Assisted Living Act,Not Accredited,73,2.7,63.0,24.8,7.1,55.3,19.1,14.7,8.5,39.6,7.8,2.4,61.1,0.49,0.0,72.4,0.0,59.7,58.9,3.3,2.0,49.2770771,-123.02459579999999,0.0,0.0,0,1,0,1,1,0,0,0,0.0,0.0,23.2,0.0,2.7397260273972597
Agassiz Seniors Community,936E0,Fraser Health,PFP,1525 MacKay Crescent,Agassiz,V0M1A3,Community Care & Assisted Living Act,Unknown,74,1.4,85.0,59.3,59.3,2.8,5.8,34.2,37.4,60.5,11.6,2.7,45.8,0.56,4.2,94.2,0.0,15.3,3.1,0.0,2.0,49.2335015,-121.7681608,0.0,0.0,0,0,0,0,1,1,1,1,1.351351351351351,0.0,9.6,0.0,6.756756756756758
Arbutus Care Centre,9B814,Vancouver Coastal Health,PFP,4505 Valley Drive,Vancouver,V6L2L1,Hospital Act,Accredited,156,0.6,86.0,71.4,64.3,4.0,15.3,31.0,20.2,61.9,3.0,1.5,79.3,0.55,19.7,0.2,0.6,24.8,22.8,0.1,7.0,49.247881899999996,-123.15790849999999,1.0,0.0,1,1,0,1,1,1,1,1,0.641025641025641,0.0,12.1,0.0,5.769230769230768
Baillie House,9A6G9,Fraser Health,HA,11666 Laity St,Maple Ridge,V2X7G5,Hospital Act,Unknown,148,1.4,86.0,63.6,63.5,4.1,17.3,24.7,20.1,50.9,5.8,2.8,47.5,0.58,13.1,53.0,6.7,38.2,19.6,5.0,2.0,49.2171373,-122.63189799999999,0.0,0.0,0,1,0,1,1,1,1,0,2.0270270270270268,1.351351351351351,13.5,0.0,1.351351351351351
Banfield Pavilion - Vancouver General Hospital,9A52F,Vancouver Coastal Health,HA,2785 Ash Street,Vancouver,V5Z1M9,Hospital Act,Accredited,156,0.0,82.0,54.0,49.8,7.5,25.7,44.1,32.3,47.7,6.3,2.6,52.6,0.64,23.5,0.6,40.7,39.7,13.3,10.8,4.0,49.2611939,-123.1187682,0.0,0.0,0,1,1,1,1,1,1,0,1.9230769230769231,0.0,8.9,0.0,0.641025641025641
Bastion Place,9C094,Interior Health,HA,700 11 St. NE,Salmon Arm,V1E4P9,Hospital Act,Accredited,80,0.0,82.0,67.6,46.3,9.4,30.1,39.1,28.9,53.8,4.5,3.2,42.5,0.62,18.4,0.4,4.1,55.3,23.9,10.7,0.0,50.7378252,-119.2720293,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,15.1,0.0,0.0
Belvedere Care Centre,9BG96,Fraser Health,PFP,739 Alderson Avenue,Coquitlam,V3K7B3,Hospital Act,Unknown,123,0.0,88.0,75.7,69.6,0.4,22.4,33.3,29.4,62.5,8.8,3.9,26.5,0.58,8.1,75.0,0.9,45.8,12.1,3.3,4.0,49.24008325,-122.87856982297993,0.0,0.0,0,1,0,1,1,1,1,1,4.065040650406504,0.8130081300813009,8.9,0.8130081300813009,0.8130081300813009
Bevan Village,923E0,Fraser Health,PFP,33386 Bevan Ave.,Abbotsford,V2S5G6,Community Care & Assisted Living Act,Not Accredited,122,0.0,88.0,65.5,73.4,1.4,40.3,41.5,11.9,71.6,15.3,3.2,26.1,0.6,2.3,0.0,0.0,56.3,29.4,8.7,1.0,49.0413325,-122.2992395,0.0,0.0,0,1,0,1,1,1,1,1,0.819672131147541,0.819672131147541,8.200000000000001,0.0,2.459016393442623
Blenheim Lodge,999BD,Vancouver Coastal Health,PNP,3263 Blenheim Street,Vancouver,V6L2X7,Community Care & Assisted Living Act,Not Accredited,100,0.0,88.0,83.5,67.0,0.0,22.5,46.2,44.9,69.5,4.7,2.2,59.3,0.6,0.0,89.6,0.0,45.7,17.0,2.4,6.0,49.2572761,-123.1791189,0.0,0.0,0,1,0,1,1,1,1,1,2.0,1.0,37.0,0.0,4.0
Braddan Private Hospital,91997,Vancouver Coastal Health,PFP,2450 West 2nd Ave,Vancouver,V6K1J6,Hospital Act,Not Accredited,62,0.0,85.0,78.7,63.6,1.6,13.3,26.1,17.8,54.4,3.3,2.1,61.0,0.54,0.0,71.8,0.0,36.9,8.0,14.7,2.0,49.2697848,-123.1610416529879,0.0,0.0,0,1,0,1,1,1,1,1,0.0,0.0,11.2,0.0,0.0
