FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,PHONE,OPERATOR_NAME,OPEN_DATE,COUNCIL,MEETINGS_HELD,PARKING_COSTS,REGULATION,ACCRED_STATUS,ACCRED_EXPIRY,COMPLAINT_CONTACT,COMPLAINT_PHONE,SPENDING_ACCOUNT,FOOD_SERVICE,FOOD_PREP,FOOD_COST_LASTYR,FOOD_COST_CURRENTYR,LANGUAGES,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,FEES_CABLE,FEES_TELE,FEES_INTERNET,FEES_OTHER,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,ADVERSE_EVENT,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,WEBPAGE,SURVEY_URL,MISSING_SURVEY,CONTRACTED_NURSING,CONTRACTED_CARE_AIDES,CONTRACTED_HOUSEKEEPING,CONTRACTED_PLANT,PER_DIEM_LASTYR,PER_DIEM_CURRENTYR,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,cleaned_name,Facility Name,Total Confirmed Cases,Total Deaths,outbreak
Aberdeen Hospital,9A616,Vancouver Island Health,HA,1450 Hillside Ave.,Victoria,V8T2B7,(250) 370-5648,Vancouver Island Health,1982,Resident & Family Council (combined),Regular Schedule,Yes (fee charged),Hospital Act,Accredited,April 2022,Manager,(250) 370-5678,Yes,Operator & Outside Contractor,Yes,$8.06,$8.16,English,4.36,0.38,4.74,4.36,0.38,4.74,No,No,No,,0,100,100,19,4,25,7,4,,,,,,,,,,,,,,,,,0,69,51.6%,21.7%,43.3%,844,24.3%,45.6%,16.0%,6.8%,0.5%,4.0,16.0%,0.77,9.2%,51.5%,45.1%,48.1%,22.7%,3.9%,https://www.islandhealth.ca/our-locations/long-term-care-locations/aberdeen-hospital,https://surveybcseniors.org/carehomeresults/aberdeen-hospital-island/,,No,No,Yes,No,,,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.442196700000004,-123.34324160465658,aberdeen hospital,,,,0
Acacia Ty Mawr,99549,Vancouver Island Health,PFP,2655 E Shawnigan Lake Rd,Shawnigan Lake,V0R2W0,(250) 743-2124,Trillium Communities,1990,Family Council,Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,2020,Director of Care,(250) 743-2124 ext 2,Yes,Operator,Yes,$10.92,$12.35,"English, German, Indonesian, Dutch",2.7,0.11,2.8,2.91,0.15,3.06,No,No,,Hygiene items ,0,35,35,31,2,0,1,0,0,0,2,0,0,0,1,3,0.0,0.0,5.7,0.0,0.0,0.0,2.9,8.6,not applicable,84,69.8%,52.2%,2.5%,862,10.4%,30.6%,38.9%,95.1%,10.4%,2.0,65.3%,0.56,0.0%,0.0%,0.0%,54.2%,37.8%,2.0%,https://www.trilliumcommunities.com/location/acacia-ty-mawr/,https://surveybcseniors.org/carehomeresults/acacia-ty-mawr-island/,,No,No,No,Some,$230.96,$239.10,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.649871000000005,-123.62358,acacia ty mawr,,,,0
Acropolis Manor,9A8ID,Northern Health,HA,1325 Summit Avenue,Prince Rupert,V8J4C1,(250) 622-6400,Northern Health,2009,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,June 2022,Site Manager,(250) 622-6450,Yes,Operator,No,$13.45,$14.09,"Filipino, Portuguese, Italian, Punjabi, Hindi, Tsimshianic, Cebuano, English",3.14,0.32,3.47,3.08,0.35,3.43,No,No,No,,0,61,61,49,6,0,1,1,1,1,8,0,0,3,1,3,1.6,1.6,13.1,0.0,0.0,4.9,1.6,4.9,not applicable,83,59.2%,50.7%,4.4%,2,10.8%,36.8%,35.4%,61.3%,19.8%,1.5,80.7%,0.58,0.5%,25.9%,0.9%,37.7%,25.1%,8.8%,https://www.northernhealth.ca/locations/long-term-care/acropolis-manor,https://surveybcseniors.org/carehomeresults/acropolis-manor-nha/,,Yes,No,No,,,,4.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,54.304055000000005,-130.33,acropolis manor,,,,0
Adanac Park Lodge,919G3,Vancouver Coastal Health,PNP,851 Boundary Road,Vancouver,V5K4T2,(604) 299-7567,Little Mountain Residential Care and Housing Society,2000,Resident Council,Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Not Accredited,not applicable,Site Leader / Manager,(604) 299-7567x345,Yes,Operator,Yes,$7.34,$6.82,"English, Tagalog, Mandarin, Cantonese, Punjabi, French",3.11,0.32,3.43,3.11,0.33,3.44,No,No,No,Specialized products as required,0,73,73,67,3,0,0,0,2,0,11,0,0,2,2,2,2.7,0.0,15.1,0.0,0.0,2.7,2.7,2.7,not applicable,63,24.8%,7.1%,55.3%,"3,225",19.1%,14.7%,8.5%,39.6%,7.8%,2.4,61.1%,0.49,0.0%,72.4%,0.0%,59.7%,58.9%,3.3%,http://littlemountaincare.org/adanac-park-lodge/,https://surveybcseniors.org/carehomeresults/adanac-park-lodge-vcha/,,No,No,No,No,$244.57,$248.86,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2770771,-123.02459579999999,adanac park lodge,,,,0
Agassiz Seniors Community,936E0,Fraser Health,PFP,1525 MacKay Crescent,Agassiz,V0M1A3,(604) 796-3886,Park Place Seniors Living Inc.,2008,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Team Leader / Director of Care,(604) 796-3886,Yes,Operator,Yes,$7.13,$5.39,"English, German, Dutch, Punjabi, Hindi, Tagalog, Japanese, Albanian, Spanish, Italian",2.6,0.26,2.87,3.03,0.33,3.36,No,No,No,,11,63,74,68,0,0,1,0,1,0,3,0,0,1,0,3,1.4,0.0,4.1,0.0,0.0,1.4,0.0,4.1,not applicable,85,59.3%,59.3%,2.8%,"1,144",5.8%,34.2%,37.4%,60.5%,11.6%,2.7,45.8%,0.56,4.2%,94.2%,0.0%,15.3%,3.1%,0.0%,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/lower-mainland/agassiz/,https://surveybcseniors.org/carehomeresults/cheam-village-fha/,,No,No,,,$233.24,$242.41,2.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.2335015,-121.7681608,agassiz seniors community,,,,0
Arbutus Care Centre,9B814,Vancouver Coastal Health,PFP,4505 Valley Drive,Vancouver,V6L2L1,(604) 261-4292,Revera Long Term Care Inc.,1986,"Resident Council, Family Council, Quality Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,May 2020,Dean Malone,(604) 261-4292,Yes,Outside Contractor,Yes,$5.92,$6.38,"Albanian, Amharic, Arabic, Bikol, Cantonese, Cebuano, Cree, Farsi, Fijian, French, German, Hindi, Ibanag, Igbo, Ilocano, Italian, Itawis, Japanese, Kapampangan, Korean, Madi, Mandarin, Nepali, Oromo, Punjabi, Serbian, Spanish, Swahili, Tagalog, Taishanese, Tigrinya, Urdu, Waray",2.58,0.22,2.8,2.64,0.21,2.85,No,No,Yes,Clothing labelling fee,4,152,156,58,49,0,1,0,1,1,10,0,0,5,0,3,0.6,0.6,6.4,0.0,0.0,3.2,0.0,1.9,not applicable,86,71.4%,64.3%,4.0%,914,15.3%,31.0%,20.2%,61.9%,3.0%,1.5,79.3%,0.55,19.7%,0.2%,0.6%,24.8%,22.8%,0.1%,https://www.reveraliving.com/long-term-care/locations/arbutus,https://surveybcseniors.org/carehomeresults/arbutus-care-centre-vcha/,,No,No,Yes,Yes,$210.48,$215.22,7.0,9.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,49.247881899999996,-123.15790849999999,arbutus care centre,"Arbutus Care Centre, LTCF",1.0,0.0,1
Arrowsmith Lodge,995A3,Vancouver Island Health,PNP,266 Moilliet St,Parksville,V9P1M9,(250) 248-4331,Arrowsmith Health Care (2011) Society,2005,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2022,Care Manager,(250) 248-4331,Yes,Operator,Yes,$7.36,$7.11,"Spanish, Russian, German, Korean, Japanese, Mandarin, Filipino, Tagalog, Punjabi, Croatian, Malay, Hindi",2.92,0.22,3.14,2.99,0.27,3.27,No,No,No,,0,75,75,75,0,0,6,4,0,3,6,0,0,4,0,3,0.0,4.0,8.0,0.0,0.0,5.3,0.0,4.0,not applicable,84,56.6%,54.4%,4.1%,"1,121",31.1%,33.8%,40.1%,79.8%,9.6%,2.2,56.8%,0.61,11.6%,0.0%,6.3%,60.9%,21.4%,14.9%,http://arrowsmithlodge.ca/,https://surveybcseniors.org/carehomeresults/arrowsmith-lodge-island/,,No,No,No,No,$236.56,$245.79,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,49.316385,-124.32359,arrowsmith lodge,,,,0
Ayre Manor,9357A,Vancouver Island Health,PNP,6764 Ayre Rd,Sooke,V9Z1K1,(250) 642-1750,Sooke Elderly Citizens Housing Society,2008,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2020,Director Resident Care,(250) 642-1750 ext. 105,Yes,Operator,Yes,$8.38,$8.37,"English, Spanish (Mexican)",2.9,0.23,3.13,2.97,0.23,3.2,Yes,No,No,,1,32,33,32,0,0,0,0,1,0,1,0,0,0,0,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,not applicable,82,59.7%,38.0%,6.2%,784,37.1%,41.1%,30.6%,75.0%,14.5%,2.4,53.2%,0.59,0.0%,0.0%,0.0%,76.6%,47.9%,24.2%,https://ayremanor.ca/,https://surveybcseniors.org/carehomeresults/ayre-manor-island/,,No,No,No,No,$243.60,$250.29,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.378338,-123.72716000000001,ayre manor,,,,0
Baillie House,9A6G9,Fraser Health,HA,11666 Laity St,Maple Ridge,V2X7G5,(604) 476-7888,Fraser Health,2006,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Manager Resident Care,1st/2nd floor: (604)-466-7933 3rd floor: (604) 466-7935,Yes,Operator,No,$7.92,$8.50,English,2.96,0.38,3.34,2.96,0.38,3.34,No,No,No,,0,148,148,116,16,0,3,2,2,1,16,0,0,0,3,0,1.4,0.7,10.8,0.0,0.0,0.0,2.0,0.0,not applicable,86,63.6%,63.5%,4.1%,"1,537",17.3%,24.7%,20.1%,50.9%,5.8%,2.8,47.5%,0.58,13.1%,53.0%,6.7%,38.2%,19.6%,5.0%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/1/8/baillie-house---residential-care#.XRORmkmouUk,https://surveybcseniors.org/carehomeresults/baillie-house-fha/,,No,No,Yes,Yes,,,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2171373,-122.63189799999999,baillie house,,,,0
Banfield Pavilion - Vancouver General Hospital,9A52F,Vancouver Coastal Health,HA,2785 Ash Street,Vancouver,V5Z1M9,(604) 875-4111,Vancouver Coastal Health,1972,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Hospital Act,Accredited,September 2020,Manager,(604) 875-4111x68957,Yes,Operator,No,$7.90,$8.06,"English, French, Mandarin, Japanese, Cantonese, Punjabi, Hindi, Tagalog, Swahili",2.79,0.27,3.06,2.79,0.27,3.06,No,No,No,,0,156,156,17,13,36,3,0,0,0,5,0,0,1,2,6,0.0,0.0,3.2,0.0,0.0,0.6,1.3,3.8,not applicable,82,54.0%,49.8%,7.5%,916,25.7%,44.1%,32.3%,47.7%,6.3%,2.6,52.6%,0.64,23.5%,0.6%,40.7%,39.7%,13.3%,10.8%,http://www.vch.ca/locations-services/result?res_id=109,https://surveybcseniors.org/carehomeresults/banfield-vcha/,,,,,,,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.2611939,-123.1187682,banfield pavilion - vancouver general hospital,,,,0
