,HCC_CODE,FACILITY_NAME,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,PHONE,OPERATOR_NAME,OPEN_DATE,COUNCIL,MEETINGS_HELD,PARKING_COSTS,REGULATION,ACCRED_STATUS,ACCRED_EXPIRY,COMPLAINT_CONTACT,COMPLAINT_PHONE,SPENDING_ACCOUNT,FOOD_SERVICE,FOOD_PREP,FOOD_COST_LASTYR,FOOD_COST_CURRENTYR,LANGUAGES,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,FEES_CABLE,FEES_TELE,FEES_INTERNET,FEES_OTHER,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,ADVERSE_EVENT,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,WEBPAGE,SURVEY_URL,MISSING_SURVEY,CONTRACTED_NURSING,CONTRACTED_CARE_AIDES,CONTRACTED_HOUSEKEEPING,CONTRACTED_PLANT,PER_DIEM_LASTYR,PER_DIEM_CURRENTYR,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,address,location,point,geo_lat,geo_lon
0,9A616,Aberdeen Hospital,Vancouver Island Health,HA,1450 Hillside Ave.,Victoria,V8T2B7,(250) 370-5648,Vancouver Island Health,1982,Resident & Family Council (combined),Regular Schedule,Yes (fee charged),Hospital Act,Accredited,April 2022,Manager,(250) 370-5678,Yes,Operator & Outside Contractor,Yes,$8.06,$8.16,English,4.36,0.38,4.74,4.36,0.38,4.74,No,No,No,,0,100,100,19,4,25,7,4,,,,,,,,,,,,,,,,,0,69,51.6%,21.7%,43.3%,844,24.3%,45.6%,16.0%,6.8%,0.5%,4.0,16.0%,0.77,9.2%,51.5%,45.1%,48.1%,22.7%,3.9%,https://www.islandhealth.ca/our-locations/long-term-care-locations/aberdeen-hospital,https://surveybcseniors.org/carehomeresults/aberdeen-hospital-island/,,No,No,Yes,No,,,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aberdeen hospital,,,,,,,,,,,,,,,48.4421967,-123.34324160465658,"1450 Hillside Ave., Victoria, British Columbia, Canada","Aberdeen Hospital, 1450, Hillside Avenue, Oaklands, Victoria, Capital Regional District, British Columbia, V8T 3B1, Canada","(48.4421967, -123.34324160465658, 0.0)",48.4421967,-123.34324160465658
5,9B814,Arbutus Care Centre,Vancouver Coastal Health,PFP,4505 Valley Drive,Vancouver,V6L2L1,(604) 261-4292,Revera Long Term Care Inc.,1986,"Resident Council, Family Council, Quality Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,May 2020,Dean Malone,(604) 261-4292,Yes,Outside Contractor,Yes,$5.92,$6.38,"Albanian, Amharic, Arabic, Bikol, Cantonese, Cebuano, Cree, Farsi, Fijian, French, German, Hindi, Ibanag, Igbo, Ilocano, Italian, Itawis, Japanese, Kapampangan, Korean, Madi, Mandarin, Nepali, Oromo, Punjabi, Serbian, Spanish, Swahili, Tagalog, Taishanese, Tigrinya, Urdu, Waray",2.58,0.22,2.8,2.64,0.21,2.85,No,No,Yes,Clothing labelling fee,4,152,156,58,49,0,1,0,1,1,10,0,0,5,0,3,0.6,0.6,6.4,0.0,0.0,3.2,0.0,1.9,not applicable,86,71.4%,64.3%,4.0%,914,15.3%,31.0%,20.2%,61.9%,3.0%,1.5,79.3%,0.55,19.7%,0.2%,0.6%,24.8%,22.8%,0.1%,https://www.reveraliving.com/long-term-care/locations/arbutus,https://surveybcseniors.org/carehomeresults/arbutus-care-centre-vcha/,,No,No,Yes,Yes,$210.48,$215.22,7.0,9.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,arbutus care centre,,,,,,,,,,,,,,,49.2478819,-123.1579085,"4505 Valley Drive, Vancouver, British Columbia, Canada","Valley Drive, Arbutus Ridge, Vancouver, Metro Vancouver Regional District, British Columbia, V6L","(49.2478819, -123.1579085, 0.0)",49.2478819,-123.1579085
8,9A6G9,Baillie House,Fraser Health,HA,11666 Laity St,Maple Ridge,V2X7G5,(604) 476-7888,Fraser Health,2006,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Manager Resident Care,1st/2nd floor: (604)-466-7933 3rd floor: (604) 466-7935,Yes,Operator,No,$7.92,$8.50,English,2.96,0.38,3.34,2.96,0.38,3.34,No,No,No,,0,148,148,116,16,0,3,2,2,1,16,0,0,0,3,0,1.4,0.7,10.8,0.0,0.0,0.0,2.0,0.0,not applicable,86,63.6%,63.5%,4.1%,"1,537",17.3%,24.7%,20.1%,50.9%,5.8%,2.8,47.5%,0.58,13.1%,53.0%,6.7%,38.2%,19.6%,5.0%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/1/8/baillie-house---residential-care#.XRORmkmouUk,https://surveybcseniors.org/carehomeresults/baillie-house-fha/,,No,No,Yes,Yes,,,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baillie house,428.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2X7G5,maple ridge,bc,,Maple Ridge,,59.0,49.2171373,-122.631898,"11666 Laity St, Maple Ridge, British Columbia, Canada","Laity Street, Haney, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2L1, Canada","(49.2171373, -122.631898, 0.0)",49.2171373,-122.631898
10,9C094,Bastion Place,Interior Health,HA,700 11 St. NE,Salmon Arm,V1E4P9,(250) 833-3616,Interior Health,1991,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Long Term Care Coordinator / Manager,(250) 803-4539 / (250) 803-4538,Yes,Operator,Yes,$8.12,$9.28,"English, Croatian, German, Russian, Ukrainian, Filipino, Tagalog",2.84,0.32,3.16,3.09,0.59,3.68,No,No,No,"Medical Alert, and clothing labelling",0,80,80,69,2,3,0,0,0,2,6,0,0,0,3,1,0.0,2.5,7.5,0.0,0.0,0.0,3.8,1.3,not applicable,82,67.6%,46.3%,9.4%,"1,040",30.1%,39.1%,28.9%,53.8%,4.5%,3.2,42.5%,0.62,18.4%,0.4%,4.1%,55.3%,23.9%,10.7%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Bastion%20Place,https://surveybcseniors.org/carehomeresults/bastion-place-iha/,,No,No,No,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bastion place,442.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V1E2S5,salmon arm,bc,,Salmon Arm,,59.0,50.7378252,-119.2720293,"700 11 St. NE, Salmon Arm, British Columbia, Canada","11 Street Northeast, Canoe, Salmon Arm, Columbia-Shuswap Regional District, British Columbia, V1E 2G3, Canada","(50.7378252, -119.2720293, 0.0)",50.7378252,-119.2720293
14,9BG96,Belvedere Care Centre,Fraser Health,PFP,739 Alderson Avenue,Coquitlam,V3K7B3,(604) 939-5991,Belvedere Seniors Living,2006,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Operations Manager / Resident Services Manager,(604) 939-5991,No,Outside Contractor,Yes,$7.70,$9.16,"English, French, Hindi, Tagalog, German, Romanian, Cantonese, Mandarin",2.49,0.29,2.78,2.66,0.29,2.95,No,No,No,Clothing labelling fee,67,56,123,146,2,0,5,1,0,1,7,0,0,0,3,0,0.0,0.8,5.7,0.0,0.0,0.0,2.4,0.0,not applicable,88,75.7%,69.6%,0.4%,660,22.4%,33.3%,29.4%,62.5%,8.8%,3.9,26.5%,0.58,8.1%,75.0%,0.9%,45.8%,12.1%,3.3%,https://belvederebc.com/belvedere-care-centre,https://surveybcseniors.org/carehomeresults/belvedere-care-centre-fha/,,No,No,,,$205.97,$215.56,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,belvedere care centre,,,,,,,,,,,,,,,49.24008325,-122.8785698229799,"739 Alderson Avenue, Coquitlam, British Columbia, Canada","Belvedere Care Centre, 739, Alderson Avenue, Maillardville, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 7B3, Canada","(49.24008325, -122.8785698229799, 0.0)",49.24008325,-122.8785698229799
16,93A60,Berkley Care Centre - Special Unit,Vancouver Coastal Health,HA,2444 Burr Place,North Vancouver,V7H3A5,(604) 924-8300,Vancouver Coastal Health,1998,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2020,Manager,(604) 924-8356,Yes,Operator,Yes,$7.95,$8.11,"English, Tagalog, Spanish, Korean, Cantonese, Mandarin, Greek, Romanian, Khmer, Gujarati, Slovene, Hindi, Punjabi, Serbian, Bengali, Polish, Russian, Italian",3.26,0.24,3.5,3.26,0.24,3.5,No,No,No,Clothing labelling fee,0,12,12,12,0,0,,,,,,,,,,,,,,,,,,,not applicable,78,39.7%,13.8%,13.8%,317,30.0%,18.0%,70.0%,86.0%,32.0%,1.5,70.0%,0.53,0.0%,50.0%,0.0%,84.0%,71.3%,21.7%,http://www.vch.ca/locations-services/result?res_id=36,https://surveybcseniors.org/carehomeresults/kiwanis-care-centre-vcha/,,No,No,Yes,No,,,,,,,,,,,,,,,,,berkley care centre - special unit,,,,,,,,,,,,,,,49.1415955,-122.9054267,"2444 Burr Place, North Vancouver, British Columbia, Canada","Burr Place, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4E 1V4, Canada","(49.1415955, -122.9054267, 0.0)",49.1415955,-122.9054267
20,91997,Braddan Private Hospital,Vancouver Coastal Health,PFP,2450 West 2nd Ave,Vancouver,V6K1J6,(604) 731-2127,The Care Group,1979,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Not Accredited,not applicable,Care Coordinator / Administrator,(604) 731-2121x3,Yes,Operator,Yes,$7.16,$7.17,"English, Spanish, Tagalog, Mandarin, Cantonese, Vietnamese, French, Greek, Polish",2.69,0.12,2.81,2.72,0.12,2.84,No,No,No,"Hairdressing, foot care",2,60,62,22,20,0,0,0,0,1,3,0,1,2,0,0,0.0,1.6,4.8,0.0,1.6,3.2,0.0,0.0,not applicable,85,78.7%,63.6%,1.6%,"1,111",13.3%,26.1%,17.8%,54.4%,3.3%,2.1,61.0%,0.54,0.0%,71.8%,0.0%,36.9%,8.0%,14.7%,http://tcgcare.com/braddanprivatehospital,https://surveybcseniors.org/carehomeresults/braddan-private-hospital-vcha/,,Yes,No,No,Yes,$213.96,$216.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,braddan private hospital,,,,,,,,,,,,,,,49.2697848,-123.1610416529879,"2450 West 2nd Ave, Vancouver, British Columbia, Canada","Braddan Private Hospital, 2450, West 2nd Avenue, Kitsilano, Vancouver, Metro Vancouver Regional District, British Columbia, V6K, Canada","(49.2697848, -123.1610416529879, 0.0)",49.2697848,-123.1610416529879
21,9A6JG,Bradley Center,Fraser Health,HA,45600 Menholm Rd,Chilliwack,V2P1P7,(604) 795-4102,Fraser Health,,Resident Council,Regular Schedule,Yes (fee charged),Hospital Act,Unknown,not available,Manager - Kim Norman,(604) 795-4103,Yes,Outside Contractor,Yes,$8.88,$8.20,"English, Cantonese, Mandarin, Punjabi",3.02,0.23,3.25,3.02,0.23,3.25,No,No,Yes,Escorts to medical appointments if required,0,90,90,8,1,20,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,not applicable,87,69.3%,69.5%,5.2%,648,19.0%,25.2%,19.7%,48.0%,4.1%,2.7,46.9%,0.59,0.3%,41.8%,0.7%,51.4%,25.4%,9.0%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/C/7/residential-care----bradley-centre#.XROIuUmouUk,https://surveybcseniors.org/carehomeresults/bradley-center-fha/,,No,No,Yes,No,,,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,bradley center,,,,,,,,,,,,,,,49.16730645,-121.96485716719084,"45600 Menholm Rd, Chilliwack, British Columbia, Canada","Chilliwack General Hospital, 45600, Menholm Road, Five Corners, Chilliwack, British Columbia, V2P 2N6, Canada","(49.16730645, -121.96485716719084, 0.0)",49.16730645,-121.96485716719084
26,917I9,Brookhaven Care Centre,Interior Health,HA,1775 Shannon Lake Rd,West Kelowna,V4T2N7,(250) 862-4040,Interior Health,1995,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Resident Care Coordinator,(250) 862-4040,Yes,Outside Contractor,Yes,$8.76,$9.40,"English, French, Filipino, Hungarian, German, Spanish, Russian",2.82,0.34,3.16,3.03,0.39,3.42,No,No,No,,0,84,84,0,0,0,0,0,1,1,16,0,0,0,3,2,1.2,1.2,19.0,0.0,0.0,0.0,3.6,2.4,not applicable,83,56.6%,55.2%,7.9%,645,28.0%,36.0%,32.5%,72.8%,10.2%,2.5,54.8%,0.59,8.1%,67.5%,51.6%,63.7%,26.8%,0.0%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Brookhaven,https://surveybcseniors.org/carehomeresults/brookhaven-care-centre-iha/,,No,No,No,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brookhaven care centre,510.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V4T2N7,westbank,bc,,,,59.0,49.8648276,-119.5896005,"1775 Shannon Lake Rd, West Kelowna, British Columbia, Canada","1775, Shannon Lake Road, Shannon Lake, West Kelowna, Regional District of Central Okanagan, British Columbia, V1Z 1L9, Canada","(49.8648276, -119.5896005, 0.0)",49.8648276,-119.5896005
28,9A500,Buchanan Lodge,Fraser Health,PNP,409 Blair Ave,New Westminster,V3L4A4,(604) 522-7033,Governing Council of the Salvation Army in Canada,1997,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Famella Altejos,(604) 517-4125,Yes,Operator,Yes,$7.98,$7.86,"English, Mandarin, Cantonese, Hindi, Persian, Hebrew, Italian",2.71,0.35,3.06,2.76,0.36,3.12,No,No,Yes,,0,112,112,104,4,0,1,0,3,2,10,0,0,2,1,1,2.7,1.8,8.9,0.0,0.0,1.8,0.9,0.9,not applicable,86,69.2%,60.0%,3.3%,"1,386",13.7%,39.9%,26.7%,67.0%,8.4%,2.2,62.0%,0.57,8.4%,2.3%,0.2%,39.6%,19.4%,12.6%,http://buchanan-lodge.com/,https://surveybcseniors.org/carehomeresults/buchanan-lodge-fha/,,No,No,,,$201.99,$207.77,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,buchanan lodge,,,,,,,,,,,,,,,49.228773149999995,-122.89808629846814,"409 Blair Ave, New Westminster, British Columbia, Canada","Buchanan Lodge, 409, Blair Avenue, Victory Heights, Sapperton, New Westminster, Metro Vancouver Regional District, British Columbia, V3L 4C9, Canada","(49.228773149999995, -122.89808629846814, 0.0)",49.228773149999995,-122.89808629846814
