"Facility Name","Facility Address",City,Province,Postal,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Riding Code","Riding Name (French)","Riding Name (English)","Statcan Census Division id","Statcan Census Division Name","Statcan Census Division Type","Statcan Census Division Type Description","Statcan Census Consolidated Subdivision id","Statcan Census Consolidated Subdivision Name","Statcan Census Subdivision id","Statcan Census Subdivision Name","Statcan Census Subdivision Type","Statcan Census Subdivision Type Description","Statcan Census Economic Region","Statcan Census Statistical Area Code","Statcan Census Statistical Area Code Description","Statcan Census Statistical Area Type","Statcan Census Statistical Area Type Description","Statcan Census CMA/CA id","Statcan Census CMA/CA Name","Statcan Census CMA/CA Type","Statcan Census CMA/CA Type Description","Statcan Census Tract","Statcan Census Year"
"Edson Healthcare Centre (LTC) [Edson Continuing Care]","3825 - 6th Avenue EDSON, Alberta T7E0C5"," EDSON",Alberta," T7E0C5",Canada,53.587909,-116.425207,0.6,street_center,,"6th Ave",,,Edson,AB,,T7E,CA,"CanVec+ by Natural Resources Canada",48034,Yellowhead,Yellowhead,4814,"Division No. 14",CDR,"Census division / Division de recensement CT County / Comté",4814003,"Yellowhead County",4814024,Edson,T,Town,"Banff--Jasper--Rocky Mountain House",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Allen Gray Continuing Care Centre","5005 28 Avenue EDMONTON, Alberta T6L 7G1"," EDMONTON",Alberta,"T6L 7G1",Canada,53.458554,-113.422149,0.9,rooftop,5005,"28th Ave NW",,,Edmonton,AB,,T6L,CA,"City of Edmonton",48017,"Edmonton Mill Woods","Edmonton Mill Woods",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350090.15,2016
"Athabasca Healthcare Centre","3100 48 Avenue ATHABASCA, Alberta T9S1M9",ABASCA,Alberta," T9S1M9",Canada,54.717219,-113.253375,1,range_interpolation,3100,"48th Ave",,,Athabasca,AB,,T9S,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4813,"Division No. 13",CDR,"Census division / Division de recensement CT County / Comté",4813044,"Athabasca County",4813048,Athabasca,T,Town,"Athabasca--Grande Prairie--Peace River",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"BaAssspaenno  RHidegaelth L Codegnetre","1610080  52 0A Avevennuue e BADSIDSSABNUOR, YA,l bAelrbtear Tta0 J T0M0B 00W0",,Alberta,"0B 00W0",Canada,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bow View Manor","4628 Montgomery NW, CALGARY, Alberta T3B0K7",CALGARY,Alberta," T3B0K7",Canada,51.06917,-114.163665,0.8,rooftop,4628,"Montgomery Ave NW",,,Calgary,AB,,T3B,CA,"City of Calgary",48005,"Calgary Confederation","Calgary Confederation",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250053.00,2016
"Carewest Sarcee","3504 Sarcee Road SW 608 5 Avenue CALGARY, Alberta T3E BASSANO, Alberta T0J4T4",BASSANO,Alberta," T0J4T4",Canada,51.023011,-114.128451,0.9,rooftop,3504,"Sarcee Rd SW",,,Calgary,AB,,T3E,CA,"City of Calgary",48004,Calgary-Centre,"Calgary Centre",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250022.00,2016
"Bethany Airdrie","1736 1 Avenue NW 608 5 Avenue AIRDRIE, Alberta T4B BASSANO, Alberta T0J2C4",BASSANO,Alberta," T0J2C4",Canada,51.293003,-114.036075,0.9,rooftop,1736,"1st Ave NW",,,Airdrie,AB,,T4B,CA,"City of Airdrie",48001,Banff--Airdrie,Banff--Airdrie,4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806014,"Rocky View County",4806021,Airdrie,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250206.10,2016
"Bassano Health Centre","608 5 Avenue BASSANO, Alberta T0J 0B0",BASSANO,Alberta,"T0J 0B0",Canada,50.789379,-112.46122,1,rooftop,608,"5th Ave",,,Bassano,AB,,T0J,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48003,"Bow River","Bow River",4802,"Division No.  2",CDR,"Census division / Division de recensement CT County / Comté",4802031,"Newell County",4802039,Bassano,T,Town,"Lethbridge--Medicine Hat",806,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",806,Brooks,D,"Census agglomeration (CA) that is not tracted",,2016
"Bentley Care Centre","4834 52 Avenue BENTLEY, Alberta T0C 0J0",BENTLEY,Alberta,"T0C 0J0",Canada,52.221981,-111.904827,0.76,nearest_rooftop_match,4802,"52nd Ave",,,Castor,AB,,T0C,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4807,"Division No.  7",CDR,"Census division / Division de recensement CT County / Comté",4807011,"Paintearth County No. 18",4807014,Castor,T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Bethany Calgary","916 18A Street NW CALGARY, Alberta T2N 1C6",CALGARY,Alberta,"T2N 1C6",Canada,51.060618,-114.103671,1,rooftop,916,"18A St NW",,,Calgary,AB,,T2N,CA,"City of Calgary",48005,"Calgary Confederation","Calgary Confederation",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250057.00,2016
