,GEOGRAPHIC,Name (*1),Information,and Identity (*3),Registration #,ZONE
3,Blairmore,CROWSNEST PASS HEALTH CENTRE,"2001 – 107 Street Blairmore, AB, T0K 0E0 Ph: 403-562-5011 Fax: 403-562-8992",RHA – Alberta Health Services,402,SOUTH ZONE 1 - ALBERTA HEALTH SERVICES (AHS)
4,Brooks,BROOKS HEALTH CENTRE,"440 3rd St. E. Brooks, AB, T1R 0X8 Ph: 403-501-3232 Fax: 403-362-6039",RHA – Alberta Health Services,442,SOUTH ZONE 1 - ALBERTA HEALTH SERVICES (AHS)
5,Fort Macleod,EXTENDICARE FORT MACLEOD,"654 – 29 Street Fort Macleod, AB, T0L 0Z0 Ph: 403-553-3955 Fax: 403-553-2812",PRIV – Extendicare (Canada) Inc.,414,SOUTH ZONE 1 - ALBERTA HEALTH SERVICES (AHS)
6,Lethbridge,EDITH CAVELL CARE CENTRE,"1255 – 5 Avenue S Lethbridge, AB, T1J 0V6 Ph: 403-328-6631 Fax: 403-320-9061",PRIV – Chantelle Management Ltd.,449,SOUTH ZONE 1 - ALBERTA HEALTH SERVICES (AHS)
7,Medicine Hat,CLUB SIERRA  (CLUB SIERRA AT RIVER RIDGE),"#4 River Ridge Drive NW Medicine Hat, AB, T1A 8V1 Ph: 403-526-8338 Fax: 403-528-8001",PRIV – Club Sierra Lifestyles at River Ridge Inc.,563,SOUTH ZONE 1 - ALBERTA HEALTH SERVICES (AHS)
8,Medicine Hat,GOOD SAMARITAN SOUTH RIDGE VILLAGE,"550 Spruce Way SE Medicine Hat, AB, T1B 4P1 Ph: 403-528-5050 Fax: 403-504-2520",VOL – The Good Samaritan Society (A Lutheran Social Service Organization),437,SOUTH ZONE 1 - ALBERTA HEALTH SERVICES (AHS)
9,Stand Off,KAINAI CONTINUING CARE CENTRE,"Building 1 Main Street, PO Box 380, Stand Off, AB, T0L1Y0 Ph: 403-737-3652",PRIV – Blood Tribe Department of Health Inc.,579,SOUTH ZONE 1 - ALBERTA HEALTH SERVICES (AHS)
10,Medicine Hat,MASTERPIECE SOUTHLAND MEADOWS,"4401 – Southland Drive SE Medicine Hat, AB T1B 0E9 Ph: 403-612-3500",PRIV – Masterpiece Southland Meadows Ltd.,580,SOUTH ZONE 1 - ALBERTA HEALTH SERVICES (AHS)
13,Medicine Hat,RIVERVIEW CARE CENTRE,"603 Prospect Drive SW Medicine Hat, AB, T1A 4C2 Ph: (416) 955-4860 Fax: (416) 955-4877 Email: info@axiuminfra.com",PRIV – AXR Operating (National) LP.,456,Nursing Home Common
14,Medicine Hat,SUNNYSIDE CARE CENTRE  (SOUTH COUNTRY VILLAGE CAMPUS),"1720 Bell Street SW Medicine Hat, AB, T1A 5G1 Ph: 403-527-3838 Fax: 403-527- 4690",VOL – Sunnyside Nursing Home Society,424,Nursing Home Common
15,Medicine Hat,THE VALLEYVIEW,"65 Valleyview Dr. SW Medicine Hat, AB, T1A 7K5 Ph: 403-526-7000 Fax: 403-526-7449",PRIV - Age Care Investments Ltd.,453,Nursing Home Common
17,Airdrie,BETHANY AIRDRIE,"1736 – 1 Avenue NW Airdrie, AB, T4B 2C4 Ph: 403- 948-6022 Fax: 403- 948-3897",VOL - Bethany Care Society,472,CALGARY ZONE 2 - ALBERTA HEALTH SERVICES (AHS)
18,Calgary,BETHANY HARVEST HILLS,"19 Harvest Gold Manor NE Calgary, AB, T3K 4Y1 Ph: 403-226-8200 Fax: 403-226-7265",VOL – Bethany Care Society,492,CALGARY ZONE 2 - ALBERTA HEALTH SERVICES (AHS)
19,Calgary,BEVERLY CENTRE GLENMORE,"1729 – 90 Avenue SW Calgary, AB, T2V 4S1 Ph: 403-253-8806 Fax: 403-212-3530",PRIV - Age Care Investments Ltd.,407,CALGARY ZONE 2 - ALBERTA HEALTH SERVICES (AHS)
20,Calgary,BEVERLY CENTRE LAKE MIDNAPORE,"500 Midpark Way SE Calgary, AB, T2X 3S3 Ph: 403-254-8885 Fax: 403-873-2892",PRIV – Age Care Investments Ltd.,446,CALGARY ZONE 2 - ALBERTA HEALTH SERVICES (AHS)
23,Calgary,BOW CREST CARE CENTRE,"5927 – Bowness Road NW Calgary, AB, T3B 0C7 Ph: (416) 955-4860 Fax: (416) 955-4877 Email: info@axiuminfra.com",PRIV – AXR Operating (National) LP.,,CALGARY ZONE 2 - ALBERTA HEALTH SERVICES (AHS)
24,Calgary,BOW VIEW MANOR,"4628 Montgomery Blvd. Calgary, AB, T3B 0K7 Ph: 403-288-4446 Fax: 403-288-8522",VOL  – Brenda Strafford Foundation Ltd.,,CALGARY ZONE 2 - ALBERTA HEALTH SERVICES (AHS)
25,Calgary,CAREWEST GARRISON GREEN,"3108 Don Ethell Blvd. Calgary, AB, T3E 6Z5 Ph: 403 - 944-0100 Fax: 403- 944-0180",RHA – Carewest [wholly owned subsidiary of AHS],,CALGARY ZONE 2 - ALBERTA HEALTH SERVICES (AHS)
26,Calgary,CAREWEST GEORGE BOYACK,"1203 Centre Avenue NE Calgary, AB, T2E 0A5 Ph: 403-267-2750 Fax: 403-267-2757",RHA – Carewest [wholly owned subsidiary of AHS],,CALGARY ZONE 2 - ALBERTA HEALTH SERVICES (AHS)
27,Calgary,CAREWEST ROULEAU MANOR,"2208 – 2nd Street S.W. Calgary, AB, T2S 3C3 Ph: 403-943-9850 Fax: 403-943-9887",RHA – Carewest [wholly owned subsidiary of AHS],,CALGARY ZONE 2 - ALBERTA HEALTH SERVICES (AHS)
