Site Name,Address 1,Visit Result,Site Name
CAREWEST DR. VERNON FANNING CENTRE,722 16 Avenue NE,Compliant,1
EDMONTON GENERAL CONTINUING CARE,11111 Jasper Avenue,Non-Compliant,5
EXTENDICARE CEDARS VILLA,3330 8 Avenue SW,Compliant,1
EXTENDICARE HOLYROOD (SOUTH),8008 95 Avenue,Compliant,2
MANOIR DU LAC,164 3 Avenue NW,Non-Compliant,8
MASTERPIECE SOUTHLAND MEADOWS LTD.,4401 Southlands Drive SE,Non-Compliant,1
MCKENZIE TOWNE CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,80 Promenade Way SE,Compliant,1
ST. MICHAEL'S HEALTH CENTRE (COVENANT HEALTH),1400 9 Avenue South,Compliant,1
ST. MICHAEL'S HEALTH CENTRE (COVENANT HEALTH),1400 9 Avenue South,Non-Compliant,3
WETASKIWIN HOSPITAL AND CARE CENTRE,6910 47 Street,Non-Compliant,1
YOUVILLE AUXILIARY HOSPITAL (GREY NUNS) OF ST. ALBERT,9 St. Vital Avenue,Non-Compliant,2
