Site Name,Address 1,Visit Type,Visit Result,Site Name
AGECARE SAGEWOOD,140 Cambridge Glen Drive,Consultation,Compliant,1
AGECARE SAGEWOOD,140 Cambridge Glen Drive,Inspection Visit,Compliant,1
AGECARE SETON,4963 Front Street SE,Consultation,Compliant,1
AGECARE SETON,4963 Front Street SE,Inspection Visit,Compliant,1
AGECARE SKYPOINTE,179 Skyview Circle NE,Consultation,Compliant,1
AGECARE SKYPOINTE,179 Skyview Circle NE,Inspection Visit,Compliant,1
ALLEN GRAY CONTINUING CARE,5005 28 Avenue,Consultation,Compliant,1
ASTER JOINT VENTURE LIMITED PARTNERSHIP A/O AGECARE WALDEN HEIGHTS,250 Walden Drive SE,Consultation,Compliant,1
ASTER JOINT VENTURE LIMITED PARTNERSHIP A/O AGECARE WALDEN HEIGHTS,250 Walden Drive SE,Inspection Visit,Compliant,1
ATHABASCA HEALTHCARE CENTRE,3100 48 Avenue,Consultation,Non-Compliant,3
ATHABASCA HEALTHCARE CENTRE,3100 48 Avenue,Inspection Visit,Compliant,1
ATHABASCA HEALTHCARE CENTRE,3100 48 Avenue,Inspection Visit,Non-Compliant,4
BASSANO HEALTH CENTRE,608 5 Avenue,Consultation,Compliant,1
BASSANO HEALTH CENTRE,608 5 Avenue,Inspection Visit,Compliant,1
BASSANO HEALTH CENTRE,608 5 Avenue,Mini Inspection Visit,Compliant,1
BENEVOLENCE CARE CENTRE,9810 165 Street,Consultation,Compliant,1
BENEVOLENCE CARE CENTRE,9810 165 Street,Inspection Visit,Compliant,1
BENEVOLENCE CARE CENTRE,9810 165 Street,Inspection Visit,Non-Compliant,1
BENTLEY CARE CENTRE,4834 52 Avenue,Consultation,Compliant,1
BENTLEY CARE CENTRE,4834 52 Avenue,Inspection Visit,Compliant,1
BENTLEY CARE CENTRE,4834 52 Avenue,Inspection Visit,Non-Compliant,2
BETHANY CALGARY,916 18A Street NW,Consultation,Compliant,1
BETHANY CALGARY,916 18A Street NW,Inspection Visit,Compliant,1
BETHANY CALGARY,916 18A Street NW,Inspection Visit,Non-Compliant,2
BETHANY CARE CENTRE - HARVEST HILLS,19 Harvest Gold Manor NE,Consultation,Compliant,1
BETHANY CARE CENTRE - HARVEST HILLS,19 Harvest Gold Manor NE,Inspection Visit,Compliant,2
BETHANY CARE CENTRE AIRDRIE,1736 1 Avenue NW,Consultation,Compliant,1
BETHANY CARE CENTRE AIRDRIE,1736 1 Avenue NW,Inspection Visit,Compliant,2
BETHANY CARE CENTRE COCHRANE,1000-32 Quigley Drive,Consultation,Compliant,1
BETHANY CARE CENTRE COCHRANE,1000-32 Quigley Drive,Inspection Visit,Compliant,1
BETHANY CARE CENTRE COCHRANE,1000-32 Quigley Drive,Mini Inspection Visit,Compliant,1
BETHANY COLLEGESIDE,99 College Circle,Consultation,Compliant,1
BETHANY COLLEGESIDE,99 College Circle,Inspection Visit,Compliant,2
BETHANY MEADOWS,4209 55 Street,Consultation,Compliant,1
BETHANY MEADOWS,4209 55 Street,Inspection Visit,Non-Compliant,1
BETHANY MEADOWS,4209 55 Street,Mini Inspection Visit,Compliant,1
BETHANY RIVERVIEW,2915 26 Avenue SE,Inspection Visit,Compliant,2
BETHANY SYLVAN LAKE,4700 47 Avenue,Consultation,Compliant,1
BETHANY SYLVAN LAKE,4700 47 Avenue,Inspection Visit,Compliant,1
BETHANY SYLVAN LAKE,4700 47 Avenue,Mini Inspection Visit,Compliant,1
BEVERLY CENTRE GLENMORE,1729 90 Avenue SW,Consultation,Compliant,1
BEVERLY CENTRE LAKE MIDNAPORE/BEVERLY ESTATE,500 Midpark Way SE,Inspection Visit,Compliant,1
BEVERLY CENTRE LAKE MIDNAPORE/BEVERLY ESTATE,500 Midpark Way SE,Mini Inspection Visit,Compliant,1
BIG COUNTRY HOSPITAL,312 3 Avenue East,Consultation,Compliant,1
BIG COUNTRY HOSPITAL,312 3 Avenue East,Inspection Visit,Non-Compliant,3
BONNYVILLE HEALTHCARE CENTRE,5001 Lakeshore Drive,Consultation,Non-Compliant,2
BONNYVILLE HEALTHCARE CENTRE,5001 Lakeshore Drive,Inspection Visit,Compliant,1
BONNYVILLE HEALTHCARE CENTRE,5001 Lakeshore Drive,Inspection Visit,Non-Compliant,3
BOW CREST CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,5927 Bowness Road NW,Consultation,Compliant,1
BOW CREST CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,5927 Bowness Road NW,Inspection Visit,Compliant,2
BOW ISLAND HEALTH CENTRE,"938 Centre Street, PO Bag 3990",Consultation,Compliant,1
BOW VIEW MANOR,4628 Montgomery Boulevard NW,Consultation,Compliant,1
BRENTWOOD CARE CENTRE,2727 16 Avenue NW,Consultation,Compliant,1
BRETON HEALTH CENTRE,4919 49 Avenue,Consultation,Compliant,1
BROOKS HEALTH CENTRE,440 Third Street East,Consultation,Compliant,1
BROOKS HEALTH CENTRE,440 Third Street East,Inspection Visit,Compliant,2
CANMORE GENERAL HOSPITAL (GOLDEN EAGLE VIEW LTC),1100 Hospital Place,Consultation,Compliant,1
CANMORE GENERAL HOSPITAL (GOLDEN EAGLE VIEW LTC),1100 Hospital Place,Inspection Visit,Compliant,2
CAPITAL CARE DICKINSFIELD,14225 94 Street NW,Consultation,Compliant,1
CAPITAL CARE DICKINSFIELD,14225 94 Street NW,Follow-Up Visit,Compliant,1
CAPITAL CARE DICKINSFIELD,14225 94 Street NW,Inspection Visit,Non-Compliant,1
CAPITAL CARE DICKINSFIELD,14225 94 Street NW,Mini Inspection Visit,Non-Compliant,1
CAPITAL CARE GRANDVIEW,6215 124 Street,Consultation,Compliant,1
CAPITAL CARE GRANDVIEW,6215 124 Street,Inspection Visit,Compliant,1
CAPITAL CARE GRANDVIEW,6215 124 Street,Mini Inspection Visit,Compliant,1
CAPITAL CARE LYNNWOOD,8740 165 Street,Consultation,Compliant,1
CAPITAL CARE LYNNWOOD,8740 165 Street,Inspection Visit,Compliant,1
CAPITAL CARE LYNNWOOD,8740 165 Street,Mini Inspection Visit,Compliant,1
