Facility Name,Location,Facility Address,Operator Name,Operator Type,LTC-Auxilary Hospital,LTC-Nursing Home,facility_name,latitude,longitude,outbreak_status
Edson Healthcare Centre (LTC) [Edson Continuing Care],Edson,"3825 - 6th Avenue EDSON, Alberta T7E0C5",Alberta Health Services,Alberta Health Services,False,True,edson healthcare centre,53.59182,-116.407,0
Allen Gray Continuing Care Centre,Edmonton,"5005 28 Avenue EDMONTON, Alberta T6L 7G1",The Gray House Guild,Voluntary,True,False,allen gray continuing care centre,53.45855400000001,-113.422149,0
Athabasca Healthcare Centre,Athabasca,"3100 48 Avenue ATHABASCA, Alberta T9S1M9",Alberta Health Services,Alberta Health Services,True,False,athabasca healthcare centre,54.71724,-113.254056,0
Bow View Manor,Calgary,"4628 Montgomery NW, CALGARY, Alberta T3B0K7",The Brenda Strafford Foundation,Voluntary,True,True,bow view manor,0.0,0.0,0
Carewest Sarcee,Calgary,"3504 Sarcee Road SW 608 5 Avenue CALGARY, Alberta T3E BASSANO, Alberta T0J4T4",Carewest,Alberta Health Services,True,True,carewest sarcee,51.06917,-114.163665,0
Bethany Airdrie,Airdrie,"1736 1 Avenue NW 608 5 Avenue AIRDRIE, Alberta T4B BASSANO, Alberta T0J2C4",Bethany Care Society,Voluntary,True,True,bethany airdrie,51.023011,-114.128451,0
Bassano Health Centre,Bassano,"608 5 Avenue BASSANO, Alberta T0J 0B0",Alberta Health Services,Alberta Health Services,True,False,bassano health centre,50.7892616,-112.461057,0
Bentley Care Centre,Bentley,"4834 52 Avenue BENTLEY, Alberta T0C 0J0",Alberta Health Services,Alberta Health Services,True,False,bentley care centre,52.467744,-114.04616,0
Bethany Calgary,Calgary,"916 18A Street NW CALGARY, Alberta T2N 1C6",Bethany Care Society,Voluntary,True,False,bethany calgary,52.221981,-111.904827,0
Bethany Cochrane,Cochrane,"302 Quigley Drive COCHRANE, Alberta T4C 1X9",Bethany Care Society,Voluntary,False,True,bethany cochrane,51.060618,-114.10367099999999,0
Bethany Collegeside (Red Deer),Red Deer,"99 College Circle RED DEER, Alberta, T4R0M3",Bethany Care Society,Voluntary,False,True,bethany collegeside,51.196748,-114.513826,0
Bethany Harvest Hills,Calgary,"19 Harvest Gold Manor NE CALGARY, Alberta T3K 4Y1",Bethany Care Society,Voluntary,False,True,bethany harvest hills,52.248599,-113.83041599999999,0
Bethany Meadows (LTC),Camrose,"4209 55 Street CAMROSE, Alberta T4V 1Y6",The Bethany Group,Voluntary,True,False,bethany meadows,51.142466999999996,-114.06426699999999,0
Bethany Sylvan Lake (LTC),Sylvan Lake,"4700 47 Avenue SYLVAN LAKE, Alberta T4S 2M3",Bethany Care Society,Voluntary,False,True,bethany sylvan lake,53.007238,-112.83421899999999,0
Beverly Centre Glenmore,Calgary,"1729 90 Avenue SW CALGARY, Alberta T2V 4S1",Age Care Investments Ltd [AgeCare Ltd.],Private,False,True,beverly centre glenmore,52.304663,-114.092077,0
Beverly Centre Lake Midnapore,Calgary,"500 Midpark Way SE CALGARY, Alberta T2X 3S3",Age Care Investments Ltd [AgeCare Ltd.],Private,False,True,beverly centre lake midnapore,50.972087,-114.10228000000001,0
Big Country Hospital,Oyen,312 3 Avenue East OYEN Alberta T0J2J0,Alberta Health  Services,Alberta Health Services,True,False,big country hospital,51.351585,-110.4793,0
Bonnyville Healthcare Centre,Bonnyville,"5001 Lakeshore Drive BONNYVILLE, Alberta T9N 2J7",Covenant Health,Voluntary,True,False,bonnyville healthcare centre,54.26373,-110.7393,0
Bow Crest Care Centre,Calgary,"5927 Bowness Road, NW CALGARY, Alberta T3B 0C7",Revera Long Term Care Inc.,Private,False,True,bow crest care centre,54.26166,-110.737417,1
Bow Island Health Centre,Bow Island,"938 Centre Street,   PO Bag 3990 BOW ISLAND, Alberta T0K 0G0",Alberta Health Services,Alberta Health Services,True,False,bow island health centre,49.8655484,-111.3793987,0
Breton Health Centre,Breton,"4919 49 Avenue BRETON, Alberta T0C 0P0",Alberta Health Services,Alberta Health Services,True,False,breton health centre,53.1092291,-114.4712943,0
Brooks Health Centre,Brooks,"440 Third Street East (Bag 300, T1R 1B3) BROOKS, Alberta T1R 0X8",Alberta Health Services,Alberta Health Services,False,True,brooks health centre,50.5676564,-111.890977,0
