,Zone,Location,Facility Name,Facility Address,OperatorName,Operator Type,DSL-3,DSL-4,DSL-4-Dementia,LTC-Auxilary Hospital,LTC-Nursing Home
1,,Bassano,Bassano Health Centre,"608 5 Avenue BASSANO, Alberta T0J 0B0",Alberta Health Services,Alberta Health Services,,,,,
2,,Blairmore,Crowsnest Pass Health Centre,"2001 107 Street BLAIRMORE, Alberta T0K 0E0",Alberta Health Services,Alberta Health Services,,,,,
4,,Bow Island,Bow Island Health Centre,"938 Centre Street,   PO Bag 3990 BOW ISLAND, Alberta T0K 0G0",Alberta Health Services,Alberta Health Services,,,,,
6,,Brooks,Brooks Health Centre,"440 Third Street East (Bag 300, T1R 1B3) BROOKS, Alberta T1R 0X8",Alberta Health Services,Alberta Health Services,,,,,
9,,Bassano Brooks,Bassano Health Centre Sunrise Gardens,"608 5 Avenue BA1S2S35A N3 OS,t rAelebte Wrtae sTt0 J BROOK0SB,0 Alberta T1R 0P7",Age Care Health ASlbeervrticae Hs eInaclt.h [ SunSriseerv Gicaersdens General Partnership],Alberta Health SPerrivviactees,,,,,
10,,Cardston,Cardston Health Centre,"144 2 Street West PO Box 1440 CARDSTON, Alberta T0K 0K0",Alberta Health Services,Alberta Health Services,,,,,
13,,Coaldale,Coaldale Health Centre,"2100 11 Street COALDALE, Alberta T1M 1L2",Alberta Health Services,Alberta Health Services,,,,,
15,,Fort MacLeod,Extendicare Fort MacLeod,"654 29 Street Box 189 FORT MACLEOD, Alberta T0L 0Z0",Extendicare (Canada) Inc.,Private,,,,,
17,,FoBrt aMssaacnLoeod,MBacsLseaondo PHieoanlethe rC Leondtrgee,"6606 208 S5 tAreveetn FuOe RT BAMSASCALNEOO, DA,l bAelbrtear tTa0  J T00LB 00Z 0",AWlbiellortwa HCereaeltkh  FSouenrvdiacetiosn,Alberta Health Voluntary Services,,,,,
19,,Lethbridge,Edith Cavell Care Centre,"1255 5 Avenue South LETHBRIDGE, Alberta T1J 0V6",Chantelle Management Ltd.,Private,,,,,
25,,Lethbridge Bassano,Legacy Lodge Bassano Health Centre,"335 Lettice Perry Road 608 5 Avenue North LETHBRIDGE, BASSANO, Alberta T0J Alberta T1H 5V7 0B0",Choices In CoAmlbmerutan iHtye Lailvthin g SeIrnvcic.es,AlbePrrtaiv aHtealth Services,,,,,
26,,Lethbridge,St. Michael's Health Centre,"1400 9 Avenue South LETHBRIDGE, Alberta T1J 4V5",Covenant Health,Voluntary,,,,,
35,,MeBdaicsisnaen Hoat,Leisure Way [Leisure Way Community Group BHaosmsaen aon Hde Caolthn sCueltnintgre Services Inc.],"PO Box 1267 (11404 R6a0n8g e5  RAovaedn u5e2 ) MBEADSSICAINNEO ,H AAlbTe, rAtalb Te0rtJa T10AB 70M 9",Leisure Way Community GArolbuepr tHao Hmeea lAthn d CSoenrsvuiclteinsg Services Inc.,AlbePrrtaiv aHteealth Services,,,,,
37,,Medicine Hat,Riverview Care Centre,"603 Prospect Drive SW MEDICINE HAT, Alberta T1A 4C2",Revera Long Term Care Inc.,Private,,,,,
46,,MBialks sRaivneor,MBialks sRaivneor  HHeeaaltlhth C Ceenntrtree,"517 C6e0n8t r5e  AAvveennuuee  East BMASILSKA RNIOV,E ARl,b Aerlbtae rTta0 J T00KB 10M0",AAllbbeerrttaa  HHeeaalltthh SSeerrvviicceess,AAllbbeerrttaa  HHeeaalltthh SSeerrvviicceess,,,,,
48,,Oyen,Big Country Hospital,312 3 Avenue East OYEN Alberta T0J2J0,Alberta Health  Services,Alberta Health Services,,,,,
52,,Pincher Creek,Pincher Creek Health Centre,"1222 Mill Ave PINCHER CREEK, Alberta T0K 1W0",Alberta Health Services,Alberta Health Services,,,,,
53,,Raymond,Raymond Health Centre,"150 N 4 Street East RAYMOND, Alberta T0K 2S0",Alberta Health Services,Alberta Health Services,,,,,
