,Location,Facility Name,Facility Address,Operator Name,Operator Type,DSL-3,DSL-4,DSL-4-Dementia,LTC-Auxilary Hospital,LTC-Nursing Home
0,Edson,Edson Healthcare Centre (LTC) [Edson Continuing Care],"3825 - 6th Avenue EDSON, Alberta T7E0C5",Alberta Health Services,Alberta Health Services,False,False,False,False,True
1,Edmonton,Allen Gray Continuing Care Centre,"5005 28 Avenue EDMONTON, Alberta T6L 7G1",The Gray House Guild,Voluntary,False,False,False,True,False
2,Jasper,Alpine Summit Seniors Lodge,"509 Turret Street JASPER, Alberta T0E 1E0",The Evergreens Foundation,Voluntary,False,True,False,False,False
3,Edmonton,Ashbourne,"11148 84 Avenue EDMONTON, Alberta T6G 0V8",Garneau United Assisted Living Place,Voluntary,False,True,False,False,False
4,Morinville,Aspen House,"9706 100 Avenue MORINVILLE, Alberta T8R 1T2",Alberta Health Services,Alberta Health Services,False,True,True,False,False
5,Athabasca,Athabasca Healthcare Centre,"3100 48 Avenue ATHABASCA, Alberta T9S1M9",Alberta Health Services,Alberta Health Services,False,False,False,True,False
6,Alexander Reserve,Kipohtakawmik Elders Lodge,"SE of Section 3 TWNSHP 57, Range 27, West of 4th, Alexander Reserve, PO Box 2570 Alberta T8R1S3",Alexander First Services Nation,Voluntary,False,True,False,False,False
7,Edmonton,BRaosseadnaole H Aeta Glthri eCsebnatcrhe,"4480 McCrae Avenue EDMONTON Alberta, T5E0Y5",Rosedale Partnership,Private,False,True,True,False,False
8,Raymond,The Good Samaritan Society - Prairie Ridge,"328 Broadway South RAYMOND, Alberta T0K2S0",The Good Samaritan Alberta Health Society (A Lutheran Social Service Organization),Voluntary,False,True,True,False,False
9,DBaidsssbaunroy,BaAssspaenno  RHidegaelth L Codegnetre,"1610080  52 0A Avevennuue e BADSIDSSABNUOR, YA,l bAelrbtear Tta0 J T0M0B 00W0",MAlobuenrttaa iHn eVaieltwh SenSioerr vHicoeussing,Voluntary,False,True,True,True,False
10,Edmonton,Balwin Villa – Excel Society [Balwin Villa],"6920 128 Avenue NW EDMONTON, Alberta T5C 1S7",Excel Resources Society,Voluntary,False,True,True,False,False
11,Calgary,Bow View Manor,"4628 Montgomery NW, CALGARY, Alberta T3B0K7",The Brenda Strafford Foundation,Voluntary,False,False,False,True,True
12,Calgary,Carewest Sarcee,"3504 Sarcee Road SW 608 5 Avenue CALGARY, Alberta T3E BASSANO, Alberta T0J4T4",Carewest,Alberta Health Services,False,False,False,True,True
13,Bashaw,Bashaw Meadows,"5502 56 Avenue PO BAG 2000 BASHAW, Alberta T0B 0H0",The Bethany Group,Voluntary,False,True,True,False,False
14,Airdrie,Bethany Airdrie,"1736 1 Avenue NW 608 5 Avenue AIRDRIE, Alberta T4B BASSANO, Alberta T0J2C4",Bethany Care Society,Voluntary,False,False,False,True,True
15,Bassano,Bassano Health Centre,"608 5 Avenue BASSANO, Alberta T0J 0B0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
16,Brooks,Sunrise Gardens,"1235 3 Street West BROOKS, Alberta T1R0P7",Age Care Health Services Inc.[Sunrise Gardens General Partnership],Private,False,True,True,False,False
17,Bentley,Bentley Care Centre,"4834 52 Avenue BENTLEY, Alberta T0C 0J0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
18,Calgary,Bethany Calgary,"916 18A Street NW CALGARY, Alberta T2N 1C6",Bethany Care Society,Voluntary,False,False,False,True,False
