Site Name,Address 1,Site Name
1914969 ALBERTA INC.,18435 121 Avenue,4
"9385452 CANADA INC., O/A CHARTWELL WESCOTT RETIREMENT RESIDENCE",3841 Allan Drive SW,1
AGECARE COLUMBIA,785 Columbia Boulevard West,3
ALBERTA LIFE CARE HOUSING FOUNDATION,108 West Haven Drive,2
ALBERTA LIFE CARE HOUSING FOUNDATION,200 Falconer Court NW,1
ALBERTA LIFE CARE HOUSING FOUNDATION,4069 106 Street,1
ALDRICH CARE,6512 134 Avenue NW,2
ALLEN GRAY CONTINUING CARE,5005 28 Avenue,2
AMICA ASPEN WOODS,10 Aspenshire Drive SW,1
AMICA BRITANNIA,750 49 Avenue SW,1
ASHBOURNE,11148 84 Avenue,1
ASPEN COMMUNITY,1171 Bow Valley Lane NE,6
ASPEN RIDGE,3100 22 Street,2
ASPEN RIDGE LODGE,1100 20 Avenue,3
AUBURN HEIGHTS RETIREMENT RESIDENCE,21 Auburn Bay Street SE,1
AUTUMN GLEN LODGE,4045 50 Avenue,1
BALWIN VILLA,6920 128 Avenue NW,1
BASHAW MEADOWS,5502 56 Avenue,1
BATTLE RIVER FOUNDATION,429 5 Avenue,1
BEAVERHILL PIONEER LODGE,5203 52 Street,1
BENEVOLENCE CARE CENTRE,9810 165 Street,1
BETHANY CALGARY,916 18A Street NW,3
BETHANY CARE CENTRE AIRDRIE,1736 1 Avenue NW,1
BETHANY COLLEGESIDE,99 College Circle,1
BETHANY DIDSBURY,1201 15 Avenue,3
BETHANY MEADOWS,4209 55 Street,1
BEVERLY CENTRE GLENMORE,1729 90 Avenue SW,5
BIG COUNTRY HOSPITAL,312 3 Avenue East,1
BIGSTONE HEALTH COMMISSION,92 Bigstone Cree Nation Road,1
BOARDWALK RETIREMENT COMMUNITY,10531 90 Street,3
BOARDWALK RETIREMENT COMMUNITY AT VARSITY,3524 31 Street NW,3
BONNY LODGE (REG),4712 47 Avenue,2
BOW ISLAND HEALTH CENTRE,"938 Centre Street, PO Bag 3990",4
BOW VIEW MANOR,4628 Montgomery Boulevard NW,2
BRENTWOOD CARE CENTRE,2727 16 Avenue NW,1
BRIGHTMORNINGSTAR CARE HOMES,4 Panatella Lane NW,3
CAPITAL CARE GRANDVIEW,6215 124 Street,1
CAREWEST DR. VERNON FANNING CENTRE,722 16 Avenue NE,1
CAREWEST GEORGE BOYACK,1203 Centre Avenue NE,1
CAREWEST ROYAL PARK,4222 Sarcee Road SW,1
CAREWEST SARCEE,3504 Sarcee Road SW,1
CASTLEWOOD CARE HOMES INC.,18929 99A Avenue,6
CATHOLIC SOCIAL SERVICES - BETHANY HOUSE,7403 / 7405 112 Avenue,9
CATHOLIC SOCIAL SERVICES - GABRIEL PLACE,8815 - 99th Street,1
CENTURY PARK LODGE,4613 50 Street,35
CHATEAU STURGEON,5320 46 Street,1
CHATEAU THREE HILLS,920 Main Street,16
CHINOOK CARE CENTRE,1261 Glenmore Trail SW,3
CHINOOK LODGE,451 3 Street W,1
CHINOOK WINDS LODGE,1401 Gough Road,3
CHURCHILL RETIREMENT COMMUNITY (THE),10015 103 Avenue,2
CLIFTON MANOR,4726 8 Avenue SE,9
CLOVERLEAF MANOR,5204 53 Avenue,1
COMMUNITY CARE COTTAGES - ASPEN COTTAGE,156 Dempsey Street,4
COMMUNITY CARE COTTAGES - MAPLE COTTAGE,152 Dempsey Street,6
COMMUNITY CARE COTTAGES INC.,11528 9 Avenue NW,8
DALHOUSIE CARE CENTRE INC.,233 Hidden Circle NW,1
DEVONSHIRE CARE CENTRE,1808 142 Street,4
DEVONSHIRE MANOR LTD.,1718 Rabbit Hill Road,2
DIDSBURY DISTRICT HEALTH SERVICES,1210 20 Avenue,2
DRUMHELLER HEALTH CENTRE,351  9 Street NW,3
EAU CLAIRE RETIREMENT RESIDENCE,301 7 Street SW,2
EDITH CAVELL CARE CENTRE,1255 5 Avenue South,7
EDMONTON CHINATOWN CARE CENTRE,9539 102A Avenue,1
EDMONTON GENERAL CONTINUING CARE,11111 Jasper Avenue,8
EDMONTON PEOPLE IN NEED SHELTER SOCIETY,9518 102A Avenue,1
EDSON CONTINUING CARE,3825 6 Avenue,7
EVANSTON GRAND VILLAGE,40 Evanston Way NW,1
EVERGREEN,2220 162 Avenue SW,1
EXTENDICARE BONNYVILLE,4602 47 Avenue,1
EXTENDICARE CEDARS VILLA,3330 8 Avenue SW,3
EXTENDICARE EAUX CLAIRES,16503 95 Street,4
EXTENDICARE FAIRMONT PARK,115 Fairmont Boulevard South,1
EXTENDICARE HOLYROOD (SOUTH),8008 95 Avenue,4
EXTENDICARE MAYERTHORPE,4706 54 Street,1
EXTENDICARE MICHENER HILL,12 Michener Boulevard,16
EXTENDICARE VIKING,5020 57 Avenue ,1
FAIRVIEW HEALTH COMPLEX (CONTINUING CARE CENTRE),10628 110 Street,10
GARNEAU HALL,10923 82 Avenue,5
GLAMORGAN NURSING HOME,105 Galbraith Drive SW,1
GLASTONBURY MEWS,1585 Glastonbury Boulevard,3
GOLDEN HILLS LODGE,814 1 Street North,1
GOOD SAMARITAN SOCIETY 1601 WEDMAN VILLAGE (THE),10525 19 Avenue NW,1
GOOD SAMARITAN SOCIETY 1603 WEDMAN VILLAGE (THE),10525 19 Avenue NW,1
GOOD SAMARITAN SOCIETY 1609 WEDMAN VILLAGE (THE),10525 19 Avenue NW,1
GOOD SAMARITAN SOCIETY CLEARWATER CENTRE,(Main Office) 8861 75 Street,6
GOOD SAMARITAN SOCIETY DR. GERALD ZETTER,9649 71 Avenue NW,2
GOOD SAMARITAN SOCIETY GOOD SHEPHERD HOME,4702 Northmount Drive,3
GOOD SAMARITAN SOCIETY LINDEN VIEW,4700 64 Avenue,3
GOOD SAMARITAN SOCIETY MILLWOODS CENTRE,101 Youville Drive East,5
GOOD SAMARITAN SOCIETY PEMBINA VILLAGE,5225 50 Street,6
GOOD SAMARITAN SOCIETY SOUTH RIDGE VILLAGE (THE),550 Spruce Way SE,6
GOOD SAMARITAN SOCIETY SOUTHGATE,4225 107 Street NW,5
GOOD SAMARITAN SOCIETY WEDMAN HOUSE (THE),10525 19 Avenue NW,1
HANNA LODGE,603 Palliser Trail,5
HARDISTY CARE CENTRE,6420 101 Avenue,5
HERITAGE HOUSE,4570 Maple Street,3
HIGH RIVER GENERAL HOSPITAL,560 9 Avenue SW,1
HINTON MOUNTAIN VIEW CONTINUING CARE,1290 Switzer Drive,12
HOMESTEAD SENIOR CITIZEN'S LODGE,5253 46 Avenue,1
HOPE COTTAGE INC. - RESIDENCE #1,3931 30 Street,4
ISLAY ASSISTED LIVING,5016 53 Street,1
JASPER PLACE CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,8903 168 Street,1
JUBILEE LODGE NURSING HOME,10333 76 Street,1
KAHKIYOW KEYKANOW ELDERS CARE HOME,"Lots 7 & 8, Block 9, Plan 5642 NY",13
KLONDIKE PLACE,4310 51 Avenue,1
LA CRETE CONTINUING CARE CENTRE,10603 100 Avenue,1
LAUREL HEIGHTS RETIREMENT RESIDENCE,3110 22 Avenue NW,2
LEWIS ESTATES RETIREMENT RESIDENCE,9310 211 Street NW,4
LOUISE JENSEN CARE CENTRE,5400 46 Avenue,1
LOVE AND CARE HOME,12217/12219 83 Street,4
LUXSTONE MANOR,2014 Luxstone Boulevard SW,1
MACTAGGART PLACE RETIREMENT RESIDENCE,5149 Mullen Road,1
MADISON MANOR LTD.,2401 26 Avenue,1
MANOIR DU LAC,164 3 Avenue NW,13
MANOR VILLAGE AT GARRISON WOODS (THE),2400 Sorrel Mews SW,3
MANOR VILLAGE AT ROCKY RIDGE (THE),450 Rocky Vista Gardens NW,1
MARTHA'S HOUSE,950 14 Street South,1
MARY IMMACULATE CARE CENTRE,Polomark Drive and 53 Street,1
MASTERPIECE SOUTHLAND MEADOWS LTD.,4401 Southlands Drive SE,1
MAYERTHORPE HEALTHCARE CENTRE,4417 45 Street,1
MAYFAIR CARE CENTRE,8240 Collicut Street SW,1
MCKENZIE TOWNE CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,80 Promenade Way SE,1
MCQUEEN PLACE LODGE,10938 142 Street NW,4
MEADOW RIDGE SENIORS VILLAGE,259 Park Meadows Drive,4
MEADOWLARK SENIOR CARE HOMES,203 Hillcrest Boulevard,2
MEDI-HOME INDIVIDUALIZED SUPPORT SERVICES LTD. #6,13920 64 Street,3
MEDICINE HAT RETIREMENT VILLA,530 4 Street SE,2
MILLRISE SENIORS VILLAGE,14911 5 Street SW,3
MOUNTAIN PLAINS COMMUNITY SERVICES SOCIETY OF THE NORTH,8854 104 Avenue,1
MULTI GENERATIONAL HOUSING AND COMMUNITY CENTRE,120 Skyview Ranch Drive NE,1
NEWPORT HARBOUR CARE CENTRE,10 Country Village Cove NE,1
NIGINAN HOUSING VENTURES,9629 106 Avenue NW,10
NORTHERN LIGHTS REGIONAL HEALTH CENTRE,7 Hospital Street,1
ORCHARD MANOR ,951 Cassils Road West,1
OYEN LODGE,310 2 Street West,1
PARK AVENUE AT CREEKSIDE,5810 47 Avenue,1
PARKVALE LODGE,4277 46A Avenue,2
PIONEER LODGE,9508 100 Avenue,1
PLEASANT VALLEY LODGE,4102 50 Street,1
POINTS WEST LIVING PEACE RIVER INC.,11011 99 Street,1
POINTS WEST LIVING RED DEER,6950 Taylor Drive,3
POINTS WEST LIVING SLAVE LAKE INC.,105 6 Avenue NE,1
PRINCE OF PEACE HARBOUR,243205 Garden Road NE,3
RIDGEVALLEY HOME,RR 1,3
RIVER RIDGE BY REVERA,78C McKenney Avenue,3
RIVER RIDGE SENIORS VILLAGE,4 River Ridge Drive NW,1
RIVERBEND RETIREMENT RESIDENCE,103 Rabbit Hill Court NW,1
ROSEALTA LODGE,4318 53 Street,1
ROYAL OAK MANOR,4501 College Avenue,3
RUTHERFORD HEIGHTS RETIREMENT RESIDENCE,949 Rutherford Road,3
SAINT THOMAS HEALTH CENTRE - COVENANT CARE,8411 91 Street NW,5
SALVATION ARMY - GRACE MANOR,12510 140 Avenue,1
SEASONS CAMROSE,6821 50 Avenue,8
