,FACILITY_NAME,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,residents_council,family_council,accreditation,home_type,years_operating,facility_name,latitude,longitude
0,Langley Lodge,26.0,98JIE,Fraser Health,5451-204th St,Langley,V3A5M9,(604) 530-2305,1974,"Resident Council, Family Council",Accredited,14,125,139,127,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7,88,0.662,0.714,0.023,831,0.189,0.298,0.292,0.579,0.107,2.4,0.583,0.57,0.085,0.11,0.002,0.472,0.181,0.014,2.0,9.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,yes,yes,yes,yes,non-profit,46.0,langley lodge,49.1015673,-122.6573035
1,Lynn Valley Care Centre,20.0,9B5JB,Vancouver Coastal Health,"1070 Lynn Valley Rd, North",North Vancouver,V7J1Z8,(604) 988-4181,1985,"Resident Council, Family Council",Accredited,62,139,201,178,13,0,0,0,0,0,9,0,0,0,0,0,0,0,4.5,0,0,0,0,0,87,0.643,0.693,0.024,1442,0.199,0.313,0.169,0.629,0.077,2.6,0.473,0.56,0.072,0.082,0,0.582,0.256,0.087,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,yes,yes,yes,yes,for-profit,35.0,lynn valley care centre,49.33396,-123.045
2,Holy Family Hospital,15.0,9A5D8,Vancouver Coastal Health,7801 Argyle St.,Vancouver,V5P3L6,(604) 321-2661,1947,Resident & Family Council (combined),Accredited,0,126,126,9,6,21,0,0,2,0,7,0,0,0,0,0,1.6,0,5.6,0,0,0,0,0,85,0.791,0.583,0.04,761,0.248,0.366,0.297,0.528,0.039,2.8,0.486,0.62,0.073,0.096,0.073,0.492,0.175,0.029,2.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,yes,yes,yes,non-profit,73.0,holy family hospital,49.213284,-123.073098
3,Haro Park Centre,13.0,9A4I4,Vancouver Coastal Health,1233 Haro Street,Vancouver,V6E3Y5,(604) 687-5584,1980,Resident Council,Unknown,0,154,154,154,0,0,2,0,0,1,26,1,0,16,4,13,0,0.6,16.9,0.6,0,10.4,2.6,8.4,84,0.735,0.551,0.043,839,0.361,0.214,0.221,0.671,0.087,3.3,0.335,0.52,0.039,0.837,0.011,0.533,0.341,0.072,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,yes,yes,no,unknown,non-profit,40.0,haro park centre,49.285771,-123.129
4,Royal Arch Masonic Home,12.0,9AAG7,Vancouver Coastal Health,7850 Champlain Cresc,Vancouver,V5S4C7,(604) 437-7343,1982,"Resident Council, Family Council",Not Accredited,0,151,151,151,0,0,0,0,2,0,30,0,0,1,6,0,1.3,0,19.9,0,0,0.7,4,0,86,0.601,0.61,0.042,1502,0.174,0.371,0.216,0.619,0.062,3.4,0.294,0.54,0.155,0.837,0.134,0.412,0.234,0.051,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,yes,yes,no,non-profit,38.0,royal arch masonic home,49.2135328,-123.0288043
5,Evergreen House - Lions Gate Hospital,8.0,9A55C,Vancouver Coastal Health,231 East 15th Street,North Vancouver,V7L2L7,(604) 984-5811,1971,"Resident Council, Family Council",Accredited,0,289,289,22,11,60,0,0,1,0,25,0,0,3,8,1,0.3,0,8.7,0,0,1,2.8,0.3,84,0.637,0.558,0.057,575,0.236,0.364,0.28,0.559,0.056,3,0.391,0.61,0.282,0.146,0.069,0.555,0.286,0.016,3.0,9.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,yes,yes,yes,yes,health_authority,49.0,evergreen house - lions gate hospital,49.320978350000004,-123.06767192461284
6,Berkley Care Centre,5.0,91GB3,Vancouver Coastal Health,2444 Burr Place,North Vancouver,V7H3A5,(604) 924-8300,1998,"Resident Council, Family Council",Accredited,0,177,177,159,9,0,0,0,1,0,5,0,0,0,0,1,0.6,0,2.8,0,0,0,0,0.6,84,0.605,0.579,0.065,1296,0.229,0.493,0.518,0.661,0.108,2.1,0.663,0.58,0.16,0.656,0.049,0.564,0.32,0.28,1.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,yes,yes,yes,yes,health_authority,22.0,berkley care centre,49.312278,-123.006
7,Dufferin Care Centre,4.0,919C4,Fraser Health,1131 Dufferin St,Coquitlam,V3B7X5,(604) 552-1166,,,Accredited,25,128,153,0,0,0,4,1,1,0,23,0,0,1,2,0,0.7,0,15,0,0,0.7,1.3,0,84,0.739,0.536,0.014,601,0.19,0.391,0.498,0.773,0.156,0.9,0.884,0.57,0,0.553,0,0.431,0.273,0.046,3.0,6.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,yes,no,no,yes,for-profit,,dufferin care centre,49.2791682,-122.8039958
8,Baillie House,3.0,9A6G9,Fraser Health,11666 Laity St,Maple Ridge,V2X7G5,(604) 476-7888,2006,"Resident Council, Family Council",Unknown,0,148,148,116,16,0,3,2,2,1,16,0,0,0,3,0,1.4,0.7,10.8,0,0,0,2,0,86,0.636,0.635,0.041,1537,0.173,0.247,0.201,0.509,0.058,2.8,0.475,0.58,0.131,0.53,0.067,0.382,0.196,0.05,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,yes,yes,unknown,health_authority,14.0,baillie house,49.2171373,-122.631898
9,Cottage and Worthington Pavilions - MSA Hospital,3.0,9A6GA,Fraser Health,33457 Cottage Lane,Abbotsford,V2S0B3,(604) 870-7999,,Resident & Family Council (combined),Unknown,0,119,119,11,6,24,3,1,1,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,89,0.656,0.739,0.032,90,0.173,0.388,0.271,0.32,0.058,2.3,0.626,0.58,0.252,0.757,0.012,0.486,0.207,0.078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,yes,yes,unknown,health_authority,,cottage and worthington pavilions - msa hospital,49.0411856,-122.2963164
10,The Residence at Clayton Heights,2.0,93CAA,Fraser Health,18788 71st Avenue,Surrey,V4N6L9,(604) 576-2273,2012,Resident Council,Not Accredited,0,87,87,87,0,0,3,1,0,0,9,0,0,0,1,0,0,0,10.3,0,0,0,1.1,0,83,0.422,0.478,0.017,632,0.206,0.341,0.166,0.725,0.152,2.5,0.533,0.57,0.017,0.223,0.011,0.504,0.281,0.005,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,yes,yes,no,no,for-profit,8.0,the residence at clayton heights,49.1317703,-122.7026815
11,Eden Care Centre,1.0,9AB4F,Fraser Health,9100 Charles Street,Chilliwack,V2P5K6,(604) 792-8166,1973,"Resident Council, Family Council",Not Accredited,0,89,89,89,0,0,7,3,4,0,12,0,0,2,0,1,4.5,0,13.5,0,0,2.2,0,1.1,88,0.646,0.661,0.002,586,0.168,0.035,0.204,0.571,0.027,2.5,0.646,0.48,0,0.761,0,0.434,0.359,0.085,7.0,8.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,yes,yes,yes,no,for-profit,47.0,eden care centre,49.1672383,-121.9419001
12,New Vista Care Home,1.0,99C37,Fraser Health,7550 Rosewood Street,Burnaby,V5E3Z3,(604) 521-7764,1975,"Resident Council, Family Council",Accredited,0,236,236,236,0,0,3,1,0,1,27,1,0,7,4,17,0,0.4,11.4,0.4,0,3,1.7,7.2,83,0.625,0.493,0.047,1087,0.144,0.295,0.319,0.729,0.133,2.7,0.488,0.52,0.21,0.376,0,0.524,0.328,0.081,5.0,16.0,0.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,yes,yes,yes,yes,non-profit,45.0,new vista care home,49.2239438,-122.94541269093861
13,Valhaven Rest Home,1.0,98H9F,Fraser Health,4212 Balmoral St,Abbotsford,V4X1Y5,(604) 856-2812,1969,"Resident Council, Family Council",Accredited,4,22,26,26,0,0,1,0,0,0,2,0,0,0,0,0,0,0,7.7,0,0,0,0,0,91,0.737,0.825,0.015,1063,0.043,0.277,0.213,0.745,0.106,3.8,0.287,0.62,0.149,0,0,0.532,0.293,0.053,3.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,yes,yes,yes,yes,non-profit,51.0,valhaven rest home,49.0789671,-122.3857153
14,Windermere Care Centre,1.0,9C2G9,Vancouver Coastal Health,900 West 12th Avenue,Vancouver,V5Z1N3,(604) 736-8676,1992,Resident & Family Council (combined),Not Accredited,6,204,210,170,22,0,0,0,2,0,26,0,0,0,2,0,1,0,12.4,0,0,0,1,0,87,0.782,0.61,0.005,959,0.229,0.268,0.07,0.64,0.026,4.6,0.004,0.54,0.058,0.026,0,0.418,0.153,0.044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,yes,yes,no,for-profit,28.0,windermere care centre,49.260325,-123.125
15,Aberdeen Hospital,0.0,9A616,Vancouver Island Health,1450 Hillside Ave.,Victoria,V8T2B7,(250) 370-5648,1982,Resident & Family Council (combined),Accredited,0,100,100,19,4,25,7,4,,,,,,,,,,,,,,,,,69,0.516,0.217,0.433,844,0.243,0.456,0.16,0.068,0.005,4,0.16,0.77,0.092,0.515,0.451,0.481,0.227,0.039,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,38.0,aberdeen hospital,48.4421967,-123.34324160465658
16,Acacia Ty Mawr,0.0,99549,Vancouver Island Health,2655 E Shawnigan Lake Rd,Shawnigan Lake,V0R2W0,(250) 743-2124,1990,Family Council,Accredited,0,35,35,31,2,0,1,0,0,0,2,0,0,0,1,3,0,0,5.7,0,0,0,2.9,8.6,84,0.698,0.522,0.025,862,0.104,0.306,0.389,0.951,0.104,2,0.653,0.56,0,0,0,0.542,0.378,0.02,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,no,yes,yes,for-profit,30.0,acacia ty mawr,48.649871,-123.62358
