,Facility,Location,Prov.,Number of dead,Number of beds (appx),%,Public or private,Link,Street address,city/postal,phone,Health authority,Accreditation status,Councils,Private beds (not publicly funded),Publicly funded beds (short- and long-term),Total beds,Private rooms,Semi-private rooms,Multi-person rooms,Total direct care hours (hours per resident per day),Number of licensing complaints,Number substantiated licensing complaints,Number of Inspections,Number of licensing infractions found,Hygiene & communicable disease control,Average age of population,outbreak_status,residents_council,family_council,accreditation
0,Langley Lodge,Langley,BC,26,121,21.49%,"Private, not for profit",https://www.seniorsadvocatebc.ca/quickfacts/location/98JIE, 5451-204th St, Langley V3A5M9, (604) 530-2305,Fraser Health,Accredited,"Resident Council, Family Council",14,125,139,127,6,0,2.85,0,0,2,9,1,88,yes,yes,yes,yes
1,Lynn Valley Care Centre,North Vancouver,BC,20,204,9.80%,Private,https://www.seniorsadvocatebc.ca/quickfacts/location/9B5JB," 1070 Lynn Valley Rd, North", North Vancouver V7J1Z8, (604) 988-4181,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",62,139,201,178,13,0,3.19,0,0,3,2,0,87,yes,yes,yes,yes
2,Holy Family Hospital,Vancouver,BC,15,126,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A5D8, 7801 Argyle St., Vancouver V5P3L6, (604) 321-2661,Vancouver Coastal Health,Accredited,Resident & Family Council (combined),0,126,126,9,6,21,3.19,0,0,2,4,0,85,yes,yes,yes,yes
3,Haro Park Centre,Vancouver,BC,13,,#DIV/0!,"Private, not for profit",https://www.seniorsadvocatebc.ca/quickfacts/location/9A4I4, 1233 Haro Street, Vancouver V6E3Y5, (604) 687-5584,Vancouver Coastal Health,Unknown,Resident Council,0,154,154,154,0,0,2.8,2,0,7,4,0,84,yes,yes,no,unknown
4,Royal Arch Masonic Home,Vancouver,BC,12,,#DIV/0!,"Private, not for profit",https://www.seniorsadvocatebc.ca/quickfacts/location/9AAG7, 7850 Champlain Cresc, Vancouver V5S4C7, (604) 437-7343,Vancouver Coastal Health,Not Accredited,"Resident Council, Family Council",0,151,151,151,0,0,3.19,0,0,1,0,0,86,yes,yes,yes,no
5,Evergreen House - Lions Gate Hospital,Vancouver,BC,8,,,Public,https://www.seniorsadvocatebc.ca/quickfacts/location/9A55C, 231 East 15th Street, North Vancouver V7L2L7, (604) 984-5811,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,289,289,22,11,60,3.29,0,0,3,9,0,84,yes,yes,yes,yes
6,Berkley Care Centre,North Vancouver,BC,5,,#DIV/0!,Public,https://www.seniorsadvocatebc.ca/quickfacts/location/91GB3, 2444 Burr Place, North Vancouver V7H3A5, (604) 924-8300,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,177,177,159,9,0,3.5,0,0,1,4,0,84,yes,yes,yes,yes
7,Dufferin Care Centre,Coquitlam,BC,4,,#DIV/0!,"Private, for profit",https://www.seniorsadvocatebc.ca/quickfacts/location/919C4, 1131 Dufferin St, Coquitlam V3B7X5, (604) 552-1166,Fraser Health,Accredited,n/a,25,128,153,0,0,0,2.73,4,1,3,6,0,84,yes,no,no,yes
8,Baillie House,Maple Ridge,BC,3,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A6G9, 11666 Laity St, Maple Ridge V2X7G5, (604) 476-7888,Fraser Health,Unknown,"Resident Council, Family Council",0,148,148,116,16,0,3.34,3,2,2,2,0,86,yes,yes,yes,unknown
9,Cottage and Worthington Pavilions - MSA Hospital,Abbotsford,BC,3,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A6GA, 33457 Cottage Lane, Abbotsford V2S0B3, (604) 870-7999,Fraser Health,Unknown,Resident & Family Council (combined),0,119,119,11,6,24,3.35,3,1,1,0,0,89,yes,yes,yes,unknown
10,The Residence at Clayton Heights,Surrey,BC,2,,#DIV/0!,,https://www.seniorsadvocatebc.ca/quickfacts/location/93CAA, 18788 71st Avenue, Surrey V4N6L9, (604) 576-2273,Fraser Health,Not Accredited,Resident Council,0,87,87,87,0,0,3.19,3,1,3,2,0,83,yes,yes,no,no
11,Eden Care Centre,Chilliwack,BC,1,,#DIV/0!,"Private, for profit",https://www.seniorsadvocatebc.ca/quickfacts/location/9AB4F, 9100 Charles Street, Chilliwack V2P5K6, (604) 792-8166,Fraser Health,Not Accredited,"Resident Council, Family Council",0,89,89,89,0,0,2.79,7,3,7,8,1,88,yes,yes,yes,no
12,New Vista Care Home,Burnaby,BC,1,,#DIV/0!,"Public, not for profit",https://www.seniorsadvocatebc.ca/quickfacts/location/99C37, 7550 Rosewood Street, Burnaby V5E3Z3, (604) 521-7764,Fraser Health,Accredited,"Resident Council, Family Council",0,236,236,236,0,0,2.73,3,1,5,16,0,83,yes,yes,yes,yes
13,Valhaven Rest Home,Abbotsford,BC,1,,#DIV/0!,"Private, not for profit",https://www.seniorsadvocatebc.ca/quickfacts/location/98H9F, 4212 Balmoral St, Abbotsford V4X1Y5, (604) 856-2812,Fraser Health,Accredited,"Resident Council, Family Council",4,22,26,26,0,0,2.73,1,0,3,5,0,91,yes,yes,yes,yes
14,Windermere Care Centre,Vancouver,BC,1,,#DIV/0!,"Private, for profit",https://www.seniorsadvocatebc.ca/quickfacts/location/9C2G9, 900 West 12th Avenue, Vancouver V5Z1N3, (604) 736-8676,Vancouver Coastal Health,Not Accredited,Resident & Family Council (combined),6,204,210,170,22,0,2.95,0,0,1,0,0,87,yes,yes,yes,no
15,Acropolis Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A8ID, 1325 Summit Avenue, Prince Rupert V8J4C1, (250) 622-6400,Northern Health,Accredited,"Resident Council, Family Council",0,61,61,49,6,0,3.47,1,1,4,8,0,83,no,yes,yes,yes
