facility_name,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,point,latitude_x,longitude_x,residents_council,family_council,accreditation,home_type,years_operating,source_facility_type,odhf_facility_type,provider,province,CSDname,Pruid
langley lodge,26.0,98JIE,Fraser Health,5451-204th St,Langley,V3A5M9,(604) 530-2305,1974,"Resident Council, Family Council",Accredited,14.0,125.0,139.0,127.0,6.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7,88,0.662,0.714,0.023,831,0.189,0.298,0.292,0.579,0.107,2.4,0.583,0.57,0.085,0.11,0.002,0.472,0.181,0.014,2.0,9.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,yes,"(40.7067509, -73.7538139, 0.0)",40.706750899999996,-73.75381390000001,yes,yes,yes,non-profit,46.0,,,,,,
lynn valley care centre,20.0,9B5JB,Vancouver Coastal Health,"1070 Lynn Valley Rd, North",North Vancouver,V7J1Z8,(604) 988-4181,1985,"Resident Council, Family Council",Accredited,62.0,139.0,201.0,178.0,13.0,0.0,0,0,0,0,9,0,0,0,0,0,0,0,4.5,0,0,0,0,0,87,0.643,0.693,0.024,1442,0.199,0.313,0.169,0.629,0.077,2.6,0.473,0.56,0.072,0.082,0,0.582,0.256,0.087,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,yes,"(42.82631409121095, -80.1962033793893, 0.0)",42.82631409121095,-80.19620337938929,yes,yes,yes,for-profit,35.0,,,,,,
haro park centre,13.0,9A4I4,Vancouver Coastal Health,1233 Haro Street,Vancouver,V6E3Y5,(604) 687-5584,1980,Resident Council,Unknown,0.0,154.0,154.0,154.0,0.0,0.0,2,0,0,1,26,1,0,16,4,13,0,0.6,16.9,0.6,0,10.4,2.6,8.4,84,0.735,0.551,0.043,839,0.361,0.214,0.221,0.671,0.087,3.3,0.335,0.52,0.039,0.837,0.011,0.533,0.341,0.072,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,yes,"(49.28589735, -123.12839455976311, 0.0)",49.28589735,-123.12839455976312,yes,no,unknown,non-profit,40.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Vancouver,59.0
royal arch masonic home,12.0,9AAG7,Vancouver Coastal Health,7850 Champlain Cresc,Vancouver,V5S4C7,(604) 437-7343,1982,"Resident Council, Family Council",Not Accredited,0.0,151.0,151.0,151.0,0.0,0.0,0,0,2,0,30,0,0,1,6,0,1.3,0,19.9,0,0,0.7,4,0,86,0.601,0.61,0.042,1502,0.174,0.371,0.216,0.619,0.062,3.4,0.294,0.54,0.155,0.837,0.134,0.412,0.234,0.051,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,,49.250103,-123.049278,yes,yes,no,non-profit,38.0,,,,,,
berkley care centre,5.0,91GB3,Vancouver Coastal Health,2444 Burr Place,North Vancouver,V7H3A5,(604) 924-8300,1998,"Resident Council, Family Council",Accredited,0.0,177.0,177.0,159.0,9.0,0.0,0,0,1,0,5,0,0,0,0,1,0.6,0,2.8,0,0,0,0,0.6,84,0.605,0.579,0.065,1296,0.229,0.493,0.518,0.661,0.108,2.1,0.663,0.58,0.16,0.656,0.049,0.564,0.32,0.28,1.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,yes,"(40.0116905, -105.2384121, 0.0)",40.0116905,-105.2384121,yes,yes,yes,health_authority,22.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,North Vancouver,59.0
dufferin care centre,4.0,919C4,Fraser Health,1131 Dufferin St,Coquitlam,V3B7X5,(604) 552-1166,,,Accredited,25.0,128.0,153.0,0.0,0.0,0.0,4,1,1,0,23,0,0,1,2,0,0.7,0,15,0,0,0.7,1.3,0,84,0.739,0.536,0.014,601,0.19,0.391,0.498,0.773,0.156,0.9,0.884,0.57,0,0.553,0,0.431,0.273,0.046,3.0,6.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,yes,"(-41.3011618, 174.7812633, 0.0)",-41.301161799999996,174.7812633,no,no,yes,for-profit,,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Coquitlam,59.0
baillie house,3.0,9A6G9,Fraser Health,11666 Laity St,Maple Ridge,V2X7G5,(604) 476-7888,2006,"Resident Council, Family Council",Unknown,0.0,148.0,148.0,116.0,16.0,0.0,3,2,2,1,16,0,0,0,3,0,1.4,0.7,10.8,0,0,0,2,0,86,0.636,0.635,0.041,1537,0.173,0.247,0.201,0.509,0.058,2.8,0.475,0.58,0.131,0.53,0.067,0.382,0.196,0.05,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,"(-37.8137108, 145.0056133, 0.0)",-37.813710799999996,145.00561330000002,yes,yes,unknown,health_authority,14.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Maple Ridge,59.0
the residence at clayton heights,2.0,93CAA,Fraser Health,18788 71st Avenue,Surrey,V4N6L9,(604) 576-2273,2012,Resident Council,Not Accredited,0.0,87.0,87.0,87.0,0.0,0.0,3,1,0,0,9,0,0,0,1,0,0,0,10.3,0,0,0,1.1,0,83,0.422,0.478,0.017,632,0.206,0.341,0.166,0.725,0.152,2.5,0.533,0.57,0.017,0.223,0.011,0.504,0.281,0.005,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,yes,"(40.7522978, -73.7224718, 0.0)",40.752297799999994,-73.7224718,yes,no,no,for-profit,8.0,,,,,,
eden care centre,1.0,9AB4F,Fraser Health,9100 Charles Street,Chilliwack,V2P5K6,(604) 792-8166,1973,"Resident Council, Family Council",Not Accredited,0.0,89.0,89.0,89.0,0.0,0.0,7,3,4,0,12,0,0,2,0,1,4.5,0,13.5,0,0,2.2,0,1.1,88,0.646,0.661,0.002,586,0.168,0.035,0.204,0.571,0.027,2.5,0.646,0.48,0,0.761,0,0.434,0.359,0.085,7.0,8.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,yes,"(40.0402864, -75.0289697, 0.0)",40.0402864,-75.0289697,yes,yes,no,for-profit,47.0,,,,,,
new vista care home,1.0,99C37,Fraser Health,7550 Rosewood Street,Burnaby,V5E3Z3,(604) 521-7764,1975,"Resident Council, Family Council",Accredited,0.0,236.0,236.0,236.0,0.0,0.0,3,1,0,1,27,1,0,7,4,17,0,0.4,11.4,0.4,0,3,1.7,7.2,83,0.625,0.493,0.047,1087,0.144,0.295,0.319,0.729,0.133,2.7,0.488,0.52,0.21,0.376,0,0.524,0.328,0.081,5.0,16.0,0.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,yes,"(55.8946524, -4.3288138, 0.0)",55.8946524,-4.3288138,yes,yes,yes,non-profit,45.0,,,,,,
