facility_name,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,location,point,latitude,longitude,residents_council,family_council,accreditation,home_type,years_operating,LONGITUDE,LATITUDE
langley lodge,26.0,98JIE,Fraser Health,5451-204th St,Langley,V3A5M9,(604) 530-2305,1974,"Resident Council, Family Council",Accredited,14.0,125.0,139.0,127.0,6.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7,88,0.662,0.714,0.023,831,0.189,0.298,0.292,0.579,0.107,2.4,0.583,0.57,0.085,0.11,0.002,0.472,0.181,0.014,2.0,9.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,yes,"2269, Mills Road, Sidney, Capital Regional District, British Columbia, V8L 4W6, Canada","(48.6552479, -123.4057214, 0.0)",48.6552479,-123.4057214,yes,yes,yes,non-profit,46.0,-122.6573035,49.10156729999999
lynn valley care centre,20.0,9B5JB,Vancouver Coastal Health,"1070 Lynn Valley Rd, North",North Vancouver,V7J1Z8,(604) 988-4181,1985,"Resident Council, Family Council",Accredited,62.0,139.0,201.0,178.0,13.0,0.0,0,0,0,0,9,0,0,0,0,0,0,0,4.5,0,0,0,0,0,87,0.643,0.693,0.024,1442,0.199,0.313,0.169,0.629,0.077,2.6,0.473,0.56,0.072,0.082,0,0.582,0.256,0.087,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,yes,"Lynn Valley Road, West Lynn, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V7K 2B1, Canada","(49.3305212, -123.050553, 0.0)",49.33052120000001,-123.05055300000001,yes,yes,yes,for-profit,35.0,-123.04469640000002,49.3340774
holy family hospital,15.0,9A5D8,Vancouver Coastal Health,7801 Argyle St.,Vancouver,V5P3L6,(604) 321-2661,1947,Resident & Family Council (combined),Accredited,0.0,126.0,126.0,9.0,6.0,21.0,0,0,2,0,7,0,0,0,0,0,1.6,0,5.6,0,0,0,0,0,85,0.791,0.583,0.04,761,0.248,0.366,0.297,0.528,0.039,2.8,0.486,0.62,0.073,0.096,0.073,0.492,0.175,0.029,2.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,"Argyle Street, Victoria-Fraserview, Vancouver, Metro Vancouver Regional District, British Columbia, V5P, Canada","(49.213724, -123.072042, 0.0)",49.213724,-123.072042,yes,yes,yes,non-profit,73.0,-123.073086,49.21251029999999
haro park centre,13.0,9A4I4,Vancouver Coastal Health,1233 Haro Street,Vancouver,V6E3Y5,(604) 687-5584,1980,Resident Council,Unknown,0.0,154.0,154.0,154.0,0.0,0.0,2,0,0,1,26,1,0,16,4,13,0,0.6,16.9,0.6,0,10.4,2.6,8.4,84,0.735,0.551,0.043,839,0.361,0.214,0.221,0.671,0.087,3.3,0.335,0.52,0.039,0.837,0.011,0.533,0.341,0.072,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,yes,"Haro Park Centre, 1233, Haro Street, West End, Vancouver, Metro Vancouver Regional District, British Columbia, V6G, Canada","(49.28589735, -123.12839455976311, 0.0)",49.28589735,-123.12839455976312,yes,no,unknown,non-profit,40.0,-123.12845,49.2856282
royal arch masonic home,12.0,9AAG7,Vancouver Coastal Health,7850 Champlain Cresc,Vancouver,V5S4C7,(604) 437-7343,1982,"Resident Council, Family Council",Not Accredited,0.0,151.0,151.0,151.0,0.0,0.0,0,0,2,0,30,0,0,1,6,0,1.3,0,19.9,0,0,0.7,4,0,86,0.601,0.61,0.042,1502,0.174,0.371,0.216,0.619,0.062,3.4,0.294,0.54,0.155,0.837,0.134,0.412,0.234,0.051,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,"90, Linden Avenue, Cook Street Village, Fairfield, Victoria, Capital Regional District, British Columbia, V8V 2R4, Canada","(48.4096736, -123.3542259, 0.0)",48.4096736,-123.3542259,yes,yes,no,non-profit,38.0,-123.0288043,49.213532799999996
evergreen house - lions gate hospital,8.0,9A55C,Vancouver Coastal Health,231 East 15th Street,North Vancouver,V7L2L7,(604) 984-5811,1971,"Resident Council, Family Council",Accredited,0.0,289.0,289.0,22.0,11.0,60.0,0,0,1,0,25,0,0,3,8,1,0.3,0,8.7,0,0,1,2.8,0.3,84,0.637,0.558,0.057,575,0.236,0.364,0.28,0.559,0.056,3,0.391,0.61,0.282,0.146,0.069,0.555,0.286,0.016,3.0,9.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,yes,"Lions Gate Hospital, 231, East 15th Street, Central Lonsdale, Keith-Lynn, North Vancouver City, Metro Vancouver Regional District, British Columbia, V7M, Canada","(49.320978350000004, -123.06767192461284, 0.0)",49.32097835,-123.06767192461285,yes,yes,yes,health_authority,49.0,-123.0677812,49.321087899999995
berkley care centre,5.0,91GB3,Vancouver Coastal Health,2444 Burr Place,North Vancouver,V7H3A5,(604) 924-8300,1998,"Resident Council, Family Council",Accredited,0.0,177.0,177.0,159.0,9.0,0.0,0,0,1,0,5,0,0,0,0,1,0.6,0,2.8,0,0,0,0,0.6,84,0.605,0.579,0.065,1296,0.229,0.493,0.518,0.661,0.108,2.1,0.663,0.58,0.16,0.656,0.049,0.564,0.32,0.28,1.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,yes,"Burr Place, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4E 1V4, Canada","(49.1415955, -122.9054267, 0.0)",49.1415955,-122.90542669999999,yes,yes,yes,health_authority,22.0,-123.00604740000001,49.3121351
dufferin care centre,4.0,919C4,Fraser Health,1131 Dufferin St,Coquitlam,V3B7X5,(604) 552-1166,,,Accredited,25.0,128.0,153.0,0.0,0.0,0.0,4,1,1,0,23,0,0,1,2,0,0.7,0,15,0,0,0.7,1.3,0,84,0.739,0.536,0.014,601,0.19,0.391,0.498,0.773,0.156,0.9,0.884,0.57,0,0.553,0,0.431,0.273,0.046,3.0,6.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,yes,"Dufferin Street, Hoy Creek Housing Coop, Harbour Village, Coquitlam, Metro Vancouver Regional District, British Columbia, V3B 7G5, Canada","(49.2791682, -122.8039958, 0.0)",49.2791682,-122.80399579999998,no,no,yes,for-profit,,-122.80399579999998,49.2791682
baillie house,3.0,9A6G9,Fraser Health,11666 Laity St,Maple Ridge,V2X7G5,(604) 476-7888,2006,"Resident Council, Family Council",Unknown,0.0,148.0,148.0,116.0,16.0,0.0,3,2,2,1,16,0,0,0,3,0,1.4,0.7,10.8,0,0,0,2,0,86,0.636,0.635,0.041,1537,0.173,0.247,0.201,0.509,0.058,2.8,0.475,0.58,0.131,0.53,0.067,0.382,0.196,0.05,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,"Laity Street, Haney, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2L1, Canada","(49.2171373, -122.631898, 0.0)",49.2171373,-122.63189799999999,yes,yes,unknown,health_authority,14.0,-122.63189799999999,49.2171373
cottage and worthington pavilions - msa hospital,3.0,9A6GA,Fraser Health,33457 Cottage Lane,Abbotsford,V2S0B3,(604) 870-7999,,Resident & Family Council (combined),Unknown,0.0,119.0,119.0,11.0,6.0,24.0,3,1,1,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,89,0.656,0.739,0.032,90,0.173,0.388,0.271,0.32,0.058,2.3,0.626,0.58,0.252,0.757,0.012,0.486,0.207,0.078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,"Cottage Lane, Mill Lake, Abbotsford, British Columbia, V2S 6B8, Canada","(49.0411856, -122.2963164, 0.0)",49.041185600000006,-122.29631640000001,yes,yes,unknown,health_authority,,-122.29631640000001,49.041185600000006
the residence at clayton heights,2.0,93CAA,Fraser Health,18788 71st Avenue,Surrey,V4N6L9,(604) 576-2273,2012,Resident Council,Not Accredited,0.0,87.0,87.0,87.0,0.0,0.0,3,1,0,0,9,0,0,0,1,0,0,0,10.3,0,0,0,1.1,0,83,0.422,0.478,0.017,632,0.206,0.341,0.166,0.725,0.152,2.5,0.533,0.57,0.017,0.223,0.011,0.504,0.281,0.005,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,yes,"156 Street, Guildford, Surrey, Metro Vancouver Regional District, British Columbia, V3R 4J6, Canada","(49.1838775, -122.7898178, 0.0)",49.1838775,-122.7898178,yes,no,no,for-profit,8.0,-122.7026815,49.1317703
