,FACILITY_NAME,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,residents_council,family_council,accreditation,home_type,years_operating,facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,address,location,point,geo_lat,geo_lon
5,Evergreen House - Lions Gate Hospital,8,9A55C,Vancouver Coastal Health,231 East 15th Street,North Vancouver,V7L2L7,(604) 984-5811,1971,"Resident Council, Family Council",Accredited,0,289,289,22,11,60,0,0,1,0,25,0,0,3,8,1,0.3,0,8.7,0,0,1,2.8,0.3,84,0.637,0.558,0.057,575,0.236,0.364,0.28,0.559,0.056,3,0.391,0.61,0.282,0.146,0.069,0.555,0.286,0.016,3,9,0,3,0,0,3,0,0,2,0,1,0,0,yes,yes,yes,yes,health_authority,49,evergreen house - lions gate hospital,,,,,,,,,,,,,,,49.32097835,-123.0676719,"231 East 15th Street, North Vancouver, British Columbia, Canada","Lions Gate Hospital, 231, East 15th Street, Central Lonsdale, Keith-Lynn, North Vancouver City, Metro Vancouver Regional District, British Columbia, V7M, Canada","(49.320978350000004, -123.06767192461284, 0.0)",49.32097835,-123.0676719
7,Dufferin Care Centre,4,919C4,Fraser Health,1131 Dufferin St,Coquitlam,V3B7X5,(604) 552-1166,,,Accredited,25,128,153,0,0,0,4,1,1,0,23,0,0,1,2,0,0.7,0,15,0,0,0.7,1.3,0,84,0.739,0.536,0.014,601,0.19,0.391,0.498,0.773,0.156,0.9,0.884,0.57,0,0.553,0,0.431,0.273,0.046,3,6,0,2,1,0,2,0,1,0,0,0,0,0,yes,no,no,yes,for-profit,,dufferin care centre,,,,,,,,,,,,,,,49.2791682,-122.8039958,"1131 Dufferin St, Coquitlam, British Columbia, Canada","Dufferin Street, Hoy Creek Housing Coop, Harbour Village, Coquitlam, Metro Vancouver Regional District, British Columbia, V3B 7G5, Canada","(49.2791682, -122.8039958, 0.0)",49.2791682,-122.8039958
8,Baillie House,3,9A6G9,Fraser Health,11666 Laity St,Maple Ridge,V2X7G5,(604) 476-7888,2006,"Resident Council, Family Council",Unknown,0,148,148,116,16,0,3,2,2,1,16,0,0,0,3,0,1.4,0.7,10.8,0,0,0,2,0,86,0.636,0.635,0.041,1537,0.173,0.247,0.201,0.509,0.058,2.8,0.475,0.58,0.131,0.53,0.067,0.382,0.196,0.05,2,2,0,1,1,0,0,0,0,0,0,0,0,0,yes,yes,yes,unknown,health_authority,14,baillie house,428,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2X7G5,maple ridge,bc,,Maple Ridge,,59,49.2171373,-122.631898,"11666 Laity St, Maple Ridge, British Columbia, Canada","Laity Street, Haney, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2L1, Canada","(49.2171373, -122.631898, 0.0)",49.2171373,-122.631898
9,Cottage and Worthington Pavilions - MSA Hospital,3,9A6GA,Fraser Health,33457 Cottage Lane,Abbotsford,V2S0B3,(604) 870-7999,,Resident & Family Council (combined),Unknown,0,119,119,11,6,24,3,1,1,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,89,0.656,0.739,0.032,90,0.173,0.388,0.271,0.32,0.058,2.3,0.626,0.58,0.252,0.757,0.012,0.486,0.207,0.078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,yes,unknown,health_authority,,cottage and worthington pavilions - msa hospital,,,,,,,,,,,,,,,49.0411856,-122.2963164,"33457 Cottage Lane, Abbotsford, British Columbia, Canada","Cottage Lane, Mill Lake, Abbotsford, British Columbia, V2S 6B8, Canada","(49.0411856, -122.2963164, 0.0)",49.0411856,-122.2963164
12,New Vista Care Home,1,99C37,Fraser Health,7550 Rosewood Street,Burnaby,V5E3Z3,(604) 521-7764,1975,"Resident Council, Family Council",Accredited,0,236,236,236,0,0,3,1,0,1,27,1,0,7,4,17,0,0.4,11.4,0.4,0,3,1.7,7.2,83,0.625,0.493,0.047,1087,0.144,0.295,0.319,0.729,0.133,2.7,0.488,0.52,0.21,0.376,0,0.524,0.328,0.081,5,16,0,3,4,4,2,0,1,0,0,2,0,0,yes,yes,yes,yes,non-profit,45,new vista care home,,,,,,,,,,,,,,,49.2239438,-122.9454127,"7550 Rosewood Street, Burnaby, British Columbia, Canada","New Vista Care Home, 7550, Rosewood Street, Eastburn, Burnaby, Metro Vancouver Regional District, British Columbia, V5E 0B1, Canada","(49.2239438, -122.94541269093861, 0.0)",49.2239438,-122.9454127
15,Aberdeen Hospital,0,9A616,Vancouver Island Health,1450 Hillside Ave.,Victoria,V8T2B7,(250) 370-5648,1982,Resident & Family Council (combined),Accredited,0,100,100,19,4,25,7,4,,,,,,,,,,,,,,,,,69,0.516,0.217,0.433,844,0.243,0.456,0.16,0.068,0.005,4,0.16,0.77,0.092,0.515,0.451,0.481,0.227,0.039,1,2,0,0,0,0,2,0,0,0,0,0,0,0,no,yes,yes,yes,health_authority,38,aberdeen hospital,,,,,,,,,,,,,,,48.4421967,-123.3432416,"1450 Hillside Ave., Victoria, British Columbia, Canada","Aberdeen Hospital, 1450, Hillside Avenue, Oaklands, Victoria, Capital Regional District, British Columbia, V8T 3B1, Canada","(48.4421967, -123.34324160465658, 0.0)",48.4421967,-123.3432416
20,Arbutus Care Centre,0,9B814,Vancouver Coastal Health,4505 Valley Drive,Vancouver,V6L2L1,(604) 261-4292,1986,"Resident Council, Family Council, Quality Council",Accredited,4,152,156,58,49,0,1,0,1,1,10,0,0,5,0,3,0.6,0.6,6.4,0,0,3.2,0,1.9,86,0.714,0.643,0.04,914,0.153,0.31,0.202,0.619,0.03,1.5,0.793,0.55,0.197,0.002,0.006,0.248,0.228,0.001,7,9,1,1,0,2,2,0,0,1,0,2,3,0,no,yes,yes,yes,for-profit,34,arbutus care centre,,,,,,,,,,,,,,,49.2478819,-123.1579085,"4505 Valley Drive, Vancouver, British Columbia, Canada","Valley Drive, Arbutus Ridge, Vancouver, Metro Vancouver Regional District, British Columbia, V6L","(49.2478819, -123.1579085, 0.0)",49.2478819,-123.1579085
24,Bastion Place,0,9C094,Interior Health,700 11 St. NE,Salmon Arm,V1E4P9,(250) 833-3616,1991,"Resident Council, Family Council",Accredited,0,80,80,69,2,3,0,0,0,2,6,0,0,0,3,1,0,2.5,7.5,0,0,0,3.8,1.3,82,0.676,0.463,0.094,1040,0.301,0.391,0.289,0.538,0.045,3.2,0.425,0.62,0.184,0.004,0.041,0.553,0.239,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,yes,yes,health_authority,29,bastion place,442,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V1E2S5,salmon arm,bc,,Salmon Arm,,59,50.7378252,-119.2720293,"700 11 St. NE, Salmon Arm, British Columbia, Canada","11 Street Northeast, Canoe, Salmon Arm, Columbia-Shuswap Regional District, British Columbia, V1E 2G3, Canada","(50.7378252, -119.2720293, 0.0)",50.7378252,-119.2720293
28,Belvedere Care Centre,0,9BG96,Fraser Health,739 Alderson Avenue,Coquitlam,V3K7B3,(604) 939-5991,2006,"Resident Council, Family Council",Unknown,67,56,123,146,2,0,5,1,0,1,7,0,0,0,3,0,0,0.8,5.7,0,0,0,2.4,0,88,0.757,0.696,0.004,660,0.224,0.333,0.294,0.625,0.088,3.9,0.265,0.58,0.081,0.75,0.009,0.458,0.121,0.033,4,2,0,0,0,0,1,1,0,0,0,0,0,0,no,yes,yes,unknown,for-profit,14,belvedere care centre,,,,,,,,,,,,,,,49.24008325,-122.8785698,"739 Alderson Avenue, Coquitlam, British Columbia, Canada","Belvedere Care Centre, 739, Alderson Avenue, Maillardville, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 7B3, Canada","(49.24008325, -122.8785698229799, 0.0)",49.24008325,-122.8785698
29,Berkley Care Centre - Special Unit,0,93A60,Vancouver Coastal Health,2444 Burr Place,North Vancouver,V7H3A5,(604) 924-8300,1998,"Resident Council, Family Council",Accredited,0,12,12,12,0,0,,,,,,,,,,,,,,,,,,,78,0.397,0.138,0.138,317,0.3,0.18,0.7,0.86,0.32,1.5,0.7,0.53,0,0.5,0,0.84,0.713,0.217,,,,,,,,,,,,,,,no,yes,yes,yes,health_authority,22,berkley care centre - special unit,,,,,,,,,,,,,,,49.1415955,-122.9054267,"2444 Burr Place, North Vancouver, British Columbia, Canada","Burr Place, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4E 1V4, Canada","(49.1415955, -122.9054267, 0.0)",49.1415955,-122.9054267
